,Position,Player,Salary,Opponent,AvgPointsPerGame,Team,PlayerID
205,TE,Ed Dickson,3400,CAR@TB 10/29/2017 01:00PM ET,7.643,CAR,00-0027675
206,WR,Russell Shepard,3400,CAR@TB 10/29/2017 01:00PM ET,3.986,CAR,00-0030147
207,RB,Charles Sims,3400,CAR@TB 10/29/2017 01:00PM ET,4.617,TB,00-0031390
208,WR,Brice Butler,3400,DAL@WAS 10/29/2017 04:25PM ET,6.7829999999999995,DAL,00-0030516
209,WR,Kenny Britt,3300,MIN@CLE 10/29/2017 09:30AM ET,5.76,CLE,00-0027006
210,WR,Laquon Treadwell,3300,MIN@CLE 10/29/2017 09:30AM ET,3.3,MIN,00-0032951
211,WR,Seth Roberts,3300,OAK@BUF 10/29/2017 01:00PM ET,5.314,OAK,00-0031166
212,RB,Jeremy Hill,3300,IND@CIN 10/29/2017 01:00PM ET,2.6830000000000003,CIN,00-0031301
213,WR,Curtis Samuel,3300,CAR@TB 10/29/2017 01:00PM ET,2.017,CAR,00-0033282
214,WR,Bruce Ellington,3300,HOU@SEA 10/29/2017 04:05PM ET,6.74,HOU,00-0031326
215,RB,J.D. McKissic,3300,HOU@SEA 10/29/2017 04:05PM ET,10.467,SEA,00-0032602
216,WR,Brandon Tate,3200,OAK@BUF 10/29/2017 01:00PM ET,2.625,BUF,00-0027057
217,WR,Andre Holmes,3200,OAK@BUF 10/29/2017 01:00PM ET,4.1,BUF,00-0028263
218,WR,John Ross,3200,IND@CIN 10/29/2017 01:00PM ET,0.2,CIN,00-0033460
219,TE,Zach Miller,3200,CHI@NO 10/29/2017 01:00PM ET,7.943,CHI,00-0027125
220,WR,Markus Wheaton,3200,CHI@NO 10/29/2017 01:00PM ET,0.633,CHI,00-0030460
221,WR,Nick Williams,3200,ATL@NYJ 10/29/2017 01:00PM ET,6.0,ATL,00-0029848
222,WR,Trent Taylor,3200,SF@PHI 10/29/2017 01:00PM ET,5.557,SF,00-0033292
223,DST,Seahawks ,3200,HOU@SEA 10/29/2017 04:05PM ET,9.5,SEA,
224,RB,Rod Smith,3200,DAL@WAS 10/29/2017 04:25PM ET,1.867,DAL,00-0031900
225,WR,Jarius Wright,3100,MIN@CLE 10/29/2017 09:30AM ET,3.1860000000000004,MIN,00-0029572
226,TE,Nick O'Leary,3100,OAK@BUF 10/29/2017 01:00PM ET,4.25,BUF,00-0032117
227,WR,Tyler Boyd,3100,IND@CIN 10/29/2017 01:00PM ET,2.575,CIN,00-0033009
228,WR,Tanner Gentry,3100,CHI@NO 10/29/2017 01:00PM ET,2.167,CHI,00-0033633
229,DST,Falcons ,3100,ATL@NYJ 10/29/2017 01:00PM ET,5.0,ATL,
230,TE,Ryan Griffin,3100,HOU@SEA 10/29/2017 04:05PM ET,6.96,HOU,00-0030108
231,WR,Michael Floyd,3000,MIN@CLE 10/29/2017 09:30AM ET,2.2,MIN,00-0029638
