Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Jimmy Graham,TE,2,NO,TB,16,10,63,179,1,56,11,18,0,0,0,0,0,36.90,2013
2,Martellus Bennett,TE,2,CHI,MIN,9,7,78,76,2,23,8,11,0,0,0,0,0,26.60,2013
3,Charles Clay,TE,2,MIA,IND,7,5,71,109,0,67,16,22,1,1,1,0,0,25.00,2013
4,Antonio Gates,TE,2,LAC,PHI,10,8,80,124,0,24,12,16,0,0,0,1,1,22.40,2013
5,Greg Olsen,TE,2,CAR,BUF,8,7,88,84,1,31,11,12,0,0,0,0,0,21.40,2013
6,Jermichael Finley,TE,2,GB,WAS,7,6,86,65,1,27,9,11,0,0,0,0,0,18.50,2013
7,Coby Fleener,TE,2,IND,MIA,8,4,50,69,1,40,9,17,0,0,0,0,0,16.90,2013
8,Julius Thomas,TE,2,DEN,NYG,9,6,67,47,1,19,5,8,0,0,0,0,0,16.70,2013
9,Jordan Cameron,TE,2,CLE,BAL,7,5,71,95,0,53,14,19,0,0,0,0,0,14.50,2013
10,Brandon Myers,TE,2,NYG,DEN,10,6,60,74,0,27,7,12,0,0,0,0,0,13.40,2013
11,Kyle Rudolph,TE,2,MIN,CHI,6,3,50,42,1,20,7,14,0,0,0,0,0,13.20,2013
12,Jermaine Gresham,TE,2,CIN,PIT,9,6,67,66,0,26,7,11,0,0,0,0,0,12.60,2013
13,Clay Harbor,TE,2,JAX,OAK,4,3,75,34,1,17,9,11,0,0,0,0,0,12.40,2013
14,Garrett Graham,TE,2,HOU,TEN,5,3,60,30,1,18,6,10,0,0,0,0,0,12.00,2013
15,Jordan Reed,TE,2,WAS,GB,3,3,100,18,1,11,6,6,0,0,0,0,0,10.80,2013
16,Owen Daniels,TE,2,HOU,TEN,5,2,40,24,1,12,5,12,0,0,0,0,0,10.40,2013
17,Tyler Eifert,TE,2,CIN,PIT,5,3,60,66,0,61,13,22,0,0,0,0,0,9.60,2013
18,Jim Dray,TE,2,ARI,DET,7,5,71,31,0,14,4,6,0,0,0,0,0,8.10,2013
19,Delanie Walker,TE,2,TEN,HOU,2,1,50,10,1,10,5,10,0,0,0,0,0,8.00,2013
20,Zach Ertz,TE,2,PHI,LAC,2,2,100,58,0,31,29,29,0,0,0,0,0,7.80,2013
21,Tony Gonzalez,TE,2,ATL,LAR,8,4,50,33,0,11,4,8,0,0,0,0,0,7.30,2013
22,David Paulson,TE,2,PIT,CIN,4,3,75,49,0,34,12,16,0,0,0,1,1,6.90,2013
23,Brandon Pettigrew,TE,2,DET,ARI,6,3,50,32,0,17,5,11,0,0,0,0,0,6.20,2013
24,Mychal Rivera,TE,2,OAK,JAX,3,3,100,32,0,11,11,11,0,0,0,0,0,6.20,2013
25,Larry Donnell,TE,2,NYG,DEN,3,3,100,31,0,11,10,10,0,0,0,0,0,6.10,2013
26,James Hanna,TE,2,DAL,KC,5,4,80,20,0,8,4,5,0,0,0,0,0,6.00,2013
27,Sean McGrath,TE,2,KC,DAL,4,2,50,31,0,22,8,16,0,0,0,0,0,5.10,2013
28,Vernon Davis,TE,2,SF,SEA,5,3,60,20,0,8,4,7,0,0,0,0,0,5.00,2013
29,Anthony Fasano,TE,2,KC,DAL,2,2,100,26,0,14,13,13,0,0,0,0,0,4.60,2013
30,Kellen Winslow,TE,2,NYJ,NE,6,3,50,16,0,9,3,5,0,0,0,0,0,4.60,2013
31,Nate Byham,TE,2,TB,NO,1,1,100,34,0,34,34,34,0,0,0,0,0,4.40,2013
32,Lance Kendricks,TE,2,LAR,ATL,3,2,67,23,0,17,8,12,0,0,0,0,0,4.30,2013
33,Zach Miller,TE,2,SEA,SF,4,2,50,22,0,15,6,11,0,0,0,0,0,4.20,2013
34,Jason Witten,TE,2,DAL,KC,8,3,38,12,0,10,2,4,0,0,0,0,0,4.20,2013
35,Scott Chandler,TE,2,BUF,CAR,6,3,50,10,0,7,2,3,0,0,0,0,0,4.00,2013
