Player,Position,Team,Opponent,Points
Philip Rivers,QB,LAC,PHI,32.86
Sam Bradford,QB,LAR,ATL,30.58
Robert Griffin III,QB,WAS,GB,26.90
Matt Ryan,QB,ATL,LAR,25.96
Peyton Manning,QB,DEN,NYG,22.98
Andrew Luck,QB,IND,MIA,22.64
Alex Smith,QB,KC,DAL,22.62
Matt Schaub,QB,HOU,TEN,21.92
Jay Cutler,QB,CHI,MIN,21.50
Ryan Tannehill,QB,MIA,IND,18.86
Matthew Stafford,QB,DET,ARI,18.22
Drew Brees,QB,NO,TB,17.88
Cam Newton,QB,CAR,BUF,17.66
Eli Manning,QB,NYG,DEN,17.48
EJ Manuel,QB,BUF,CAR,17.14
Andy Dalton,QB,CIN,PIT,16.20
Tony Romo,QB,DAL,KC,15.22
Jake Locker,QB,TEN,HOU,14.92
Chad Henne,QB,JAX,OAK,14.54
Christian Ponder,QB,MIN,CHI,13.88
Ben Roethlisberger,QB,PIT,CIN,13.64
Joe Flacco,QB,BAL,CLE,13.04
Carson Palmer,QB,ARI,DET,12.72
Russell Wilson,QB,SEA,SF,11.98
Tom Brady,QB,NE,NYJ,11.20
Brandon Weeden,QB,CLE,BAL,9.78
Colin Kaepernick,QB,SF,SEA,9.78
Josh Freeman,QB,TB,NO,8.60
Geno Smith,QB,NYJ,NE,7.26
Jason Campbell,QB,CLE,BAL,0.24
Joe Webb,QB,MIN,CHI,0.00
Luke McCown,QB,NO,TB,0.00
Nick Foles,QB,PHI,LAC,0.00
Eddie Royal,WR,LAC,PHI,34.00
Calvin Johnson,WR,DET,ARI,32.60
Dez Bryant,WR,DAL,KC,32.10
Pierre Garcon,WR,WAS,GB,31.30
Randall Cobb,WR,GB,WAS,30.80
James Jones,WR,GB,WAS,30.80
Mike Wallace,WR,MIA,IND,29.50
Steve Johnson,WR,BUF,CAR,28.10
DeAndre Hopkins,WR,HOU,TEN,27.70
Brandon Marshall,WR,CHI,MIN,27.30
Tavon Austin,WR,LAR,ATL,23.50
Victor Cruz,WR,NYG,DEN,22.80
Austin Pettis,WR,LAR,ATL,21.80
Jordy Nelson,WR,GB,WAS,21.60
TY Hilton,WR,IND,MIA,21.40
Julian Edelman,WR,NE,NYJ,21.20
Chris Givens,WR,LAR,ATL,18.50
Kendall Wright,WR,TEN,HOU,18.40
Malcom Floyd,WR,LAC,PHI,18.20
Eric Decker,WR,DEN,NYG,17.70
Cecil Shorts,WR,JAX,OAK,17.30
Dwayne Bowe,WR,KC,DAL,15.60
Andre Johnson,WR,HOU,TEN,15.60
Torrey Smith,WR,BAL,CLE,15.50
Ted Ginn,WR,CAR,BUF,15.20
Aaron Dobson,WR,NE,NYJ,14.60
Marlon Brown,WR,BAL,CLE,14.50
Greg Jennings,WR,MIN,CHI,13.40
Santana Moss,WR,WAS,GB,13.10
Robert Woods,WR,BUF,CAR,13.10
Wes Welker,WR,DEN,NYG,12.90
Emmanuel Sanders,WR,PIT,CIN,12.80
Vincent Jackson,WR,TB,NO,12.70
Hakeem Nicks,WR,NYG,DEN,12.30
Brian Hartline,WR,MIA,IND,11.80
Antonio Brown,WR,PIT,CIN,11.70
Stephen Hill,WR,NYJ,NE,11.60
Ace Sanders,WR,JAX,OAK,11.40
Nate Burleson,WR,DET,ARI,10.70
Riley Cooper,WR,PHI,LAC,10.50
Marques Colston,WR,NO,TB,10.30
Demaryius Thomas,WR,DEN,NYG,10.20
Steve Smith,WR,CAR,BUF,10.20
AJ Green,WR,CIN,PIT,10.10
Terrelle Pryor,WR,OAK,JAX,10.04
Reggie Wayne,WR,IND,MIA,9.60
Mohamed Sanu,WR,CIN,PIT,9.40
Cordarrelle Patterson,WR,MIN,CHI,9.40
Charles Clay,TE,MIA,IND,25.00
Antonio Gates,TE,LAC,PHI,22.40
Greg Olsen,TE,CAR,BUF,21.40
Jermichael Finley,TE,GB,WAS,18.50
Coby Fleener,TE,IND,MIA,16.90
Julius Thomas,TE,DEN,NYG,16.70
Jordan Cameron,TE,CLE,BAL,14.50
Brandon Myers,TE,NYG,DEN,13.40
Kyle Rudolph,TE,MIN,CHI,13.20
Jermaine Gresham,TE,CIN,PIT,12.60
Clay Harbor,TE,JAX,OAK,12.40
Garrett Graham,TE,HOU,TEN,12.00
Jordan Reed,TE,WAS,GB,10.80
Owen Daniels,TE,HOU,TEN,10.40
Tyler Eifert,TE,CIN,PIT,9.60
Jim Dray,TE,ARI,DET,8.10
Delanie Walker,TE,TEN,HOU,8.00
Zach Ertz,TE,PHI,LAC,7.80
Tony Gonzalez,TE,ATL,LAR,7.30
David Paulson,TE,PIT,CIN,6.90
Brandon Pettigrew,TE,DET,ARI,6.20
Mychal Rivera,TE,OAK,JAX,6.20
Larry Donnell,TE,NYG,DEN,6.10
James Hanna,TE,DAL,KC,6.00
Sean McGrath,TE,KC,DAL,5.10
Vernon Davis,TE,SF,SEA,5.00
Anthony Fasano,TE,KC,DAL,4.60
Kellen Winslow,TE,NYJ,NE,4.60
Nate Byham,TE,TB,NO,4.40
Lance Kendricks,TE,LAR,ATL,4.30
Zach Miller,TE,SEA,SF,4.20
Jason Witten,TE,DAL,KC,4.20
Scott Chandler,TE,BUF,CAR,4.00
Logan Paulsen,TE,WAS,GB,3.30
Bear Pascoe,TE,NYG,DEN,3.20
Vance McDonald,TE,SF,SEA,2.90
Allen Reisner,TE,JAX,OAK,2.90
Billy Bajema,TE,BAL,CLE,2.80
Dominique Jones,TE,IND,MIA,2.30
Jared Cook,TE,LAR,ATL,2.00
Gavin Escobar,TE,DAL,KC,1.90
Dallas Clark,TE,BAL,CLE,1.80
Andrew Quarless,TE,GB,WAS,1.70
Cory Harkey,TE,LAR,ATL,1.60
Mike McNeill,TE,LAR,ATL,1.50
Virgil Green,TE,DEN,NYG,1.50
Levine Toilolo,TE,ATL,LAR,1.40
Fred Davis,TE,WAS,GB,1.30
Matt Forte,RB,CHI,MIN,26.10
Knowshon Moreno,RB,DEN,NYG,25.70
LeSean McCoy,RB,PHI,LAC,24.70
Jamaal Charles,RB,KC,DAL,24.30
Darren McFadden,RB,OAK,JAX,21.70
CJ Spiller,RB,BUF,CAR,19.90
Giovani Bernard,RB,CIN,PIT,19.50
Arian Foster,RB,HOU,TEN,17.50
Rashard Mendenhall,RB,ARI,DET,17.40
Doug Martin,RB,TB,NO,17.40
Ahmad Bradshaw,RB,IND,MIA,17.40
Alfred Morris,RB,WAS,GB,17.00
Jason Snelling,RB,ATL,LAR,16.00
Lamar Miller,RB,MIA,IND,15.50
Fred Jackson,RB,BUF,CAR,15.30
Bilal Powell,RB,NYJ,NE,15.00
Danny Woodhead,RB,LAC,PHI,14.40
Andre Ellington,RB,ARI,DET,14.20
Adrian Peterson,RB,MIN,CHI,13.70
Ben Tate,RB,HOU,TEN,13.10
Daryl Richardson,RB,LAR,ATL,13.00
Trent Richardson,RB,CLE,BAL,12.90
Bernard Pierce,RB,BAL,CLE,12.50
DeMarco Murray,RB,DAL,KC,12.40
Joique Bell,RB,DET,ARI,12.20
Darren Sproles,RB,NO,TB,12.20
Da'Rel Scott,RB,NYG,DEN,11.20
Chris Johnson,RB,TEN,HOU,10.70
Reggie Bush,RB,DET,ARI,9.90
BenJarvus Green-Ellis,RB,CIN,PIT,9.00
Pierre Thomas,RB,NO,TB,8.80
DeAngelo Williams,RB,CAR,BUF,8.50
Jacquizz Rodgers,RB,ATL,LAR,8.50
Steven Jackson,RB,ATL,LAR,7.80
Ryan Mathews,RB,LAC,PHI,7.60
Marcel Reece,FB,OAK,JAX,7.50
Frank Summers,FB,BUF,CAR,6.90
Ray Rice,RB,BAL,CLE,6.50
Brandon Jacobs,RB,NYG,DEN,6.40
Mike Tolbert,FB,CAR,BUF,6.30
Montee Ball,RB,DEN,NYG,5.30
Chris Ivory,RB,NYJ,NE,5.20
Daniel Thomas,RB,MIA,IND,5.00
Rashad Jennings,RB,OAK,JAX,4.40
Chris Ogbonnaya,RB,CLE,BAL,4.40
Bruce Miller,FB,SF,SEA,4.20
Stevan Ridley,RB,NE,NYJ,4.00
Frank Gore,RB,SF,SEA,4.00
Jay Feely,K,ARI,DET,0.00
Sebastian Janikowski,K,OAK,JAX,0.00
Alex Henery,K,PHI,LAC,0.00
Blair Walsh,K,MIN,CHI,0.00
Dan Carpenter,K,BUF,CAR,0.00
Matt Prater,K,DEN,NYG,0.00
Graham Gano,K,CAR,BUF,0.00
Josh Brown,K,NYG,DEN,0.00
Garrett Hartley,K,NO,TB,0.00
Steven Hauschka,K,SEA,SF,0.00
Mason Crosby,K,GB,WAS,0.00
Mike Nugent,K,CIN,PIT,0.00
Caleb Sturgis,K,MIA,IND,0.00
Adam Vinatieri,K,IND,MIA,0.00
Billy Cundiff,K,CLE,BAL,0.00
Stephen Gostkowski,K,NE,NYJ,0.00
Matt Bryant,K,ATL,LAR,0.00
