Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Nick Novak,K,2,LAC,PHI,4,4,100,49,3,3,0.00,2013
2,Dan Bailey,K,2,DAL,KC,3,3,100,53,1,1,0.00,2013
3,Sebastian Janikowski,K,2,OAK,JAX,4,5,80,46,1,1,0.00,2013
4,Jay Feely,K,2,ARI,DET,4,4,100,47,1,1,0.00,2013
5,Blair Walsh,K,2,MIN,CHI,3,3,100,28,3,3,0.00,2013
6,Dan Carpenter,K,2,BUF,CAR,3,4,75,55,1,1,0.00,2013
7,Alex Henery,K,2,PHI,LAC,3,4,75,48,3,3,0.00,2013
8,Graham Gano,K,2,CAR,BUF,3,3,100,39,2,2,0.00,2013
9,Josh Brown,K,2,NYG,DEN,3,3,100,41,2,2,0.00,2013
10,Matt Prater,K,2,DEN,NYG,2,2,100,47,5,5,0.00,2013
11,Garrett Hartley,K,2,NO,TB,3,4,75,44,1,1,0.00,2013
12,Steven Hauschka,K,2,SEA,SF,2,2,100,37,3,3,0.00,2013
13,Adam Vinatieri,K,2,IND,MIA,2,3,67,38,2,2,0.00,2013
14,Caleb Sturgis,K,2,MIA,IND,1,1,100,54,3,3,0.00,2013
15,Mason Crosby,K,2,GB,WAS,1,1,100,28,5,5,0.00,2013
16,Billy Cundiff,K,2,CLE,BAL,2,2,100,51,0,0,0.00,2013
17,Mike Nugent,K,2,CIN,PIT,2,2,100,41,2,2,0.00,2013
18,Stephen Gostkowski,K,2,NE,NYJ,2,3,67,30,1,1,0.00,2013
19,Robbie Gould,K,2,CHI,MIN,1,1,100,20,4,4,0.00,2013
20,Matt Bryant,K,2,ATL,LAR,1,1,100,38,4,4,0.00,2013
21,Rob Bironas,K,2,TEN,HOU,1,2,50,47,3,3,0.00,2013
22,Greg Zuerlein,K,2,LAR,ATL,1,1,100,29,3,3,0.00,2013
23,Ryan Succop,K,2,KC,DAL,1,2,50,40,2,2,0.00,2013
24,Nick Folk,K,2,NYJ,NE,1,1,100,37,1,1,0.00,2013
25,Shaun Suisham,K,2,PIT,CIN,1,1,100,44,1,1,0.00,2013
26,David Akers,K,2,DET,ARI,0,2,0,0,3,3,0.00,2013
27,Josh Scobee,K,2,JAX,OAK,1,1,100,27,0,0,0.00,2013
28,Phil Dawson,K,2,SF,SEA,1,1,100,21,0,0,0.00,2013
29,Randy Bullock,K,2,HOU,TEN,0,3,0,0,2,2,0.00,2013
30,Justin Tucker,K,2,BAL,CLE,0,2,0,0,2,2,0.00,2013
31,John Potter,K,2,WAS,GB,0,1,0,0,2,2,0.00,2013
32,Rian Lindell,K,2,TB,NO,0,1,0,0,2,2,0.00,2013
