Player,Position,Team,Opponent,Points
Jason Campbell,QB,OAK,BUF,29.22
Matthew Stafford,QB,DET,KC,26.86
Tony Romo,QB,DAL,SF,24.80
Aaron Rodgers,QB,GB,CAR,24.62
Andy Dalton,QB,CIN,DEN,24.58
Philip Rivers,QB,LAC,NE,24.32
Ryan Fitzpatrick,QB,BUF,OAK,23.86
Drew Brees,QB,NO,CHI,23.00
Matt Ryan,QB,ATL,PHI,22.40
Sam Bradford,QB,LAR,NYG,20.74
Matt Hasselbeck,QB,TEN,BAL,20.32
Matt Schaub,QB,HOU,MIA,17.40
Michael Vick,QB,PHI,ATL,17.18
Rex Grossman,QB,WAS,ARI,17.14
Kevin Kolb,QB,ARI,WAS,17.04
Ben Roethlisberger,QB,PIT,SEA,16.72
Alex Smith,QB,SF,DAL,16.26
Mark Sanchez,QB,NYJ,JAX,16.18
Kyle Orton,QB,DEN,CIN,14.60
Josh Freeman,QB,TB,MIN,14.32
Jay Cutler,QB,CHI,NO,13.96
Eli Manning,QB,NYG,LAR,13.80
Colt McCoy,QB,CLE,IND,13.44
Chad Henne,QB,MIA,HOU,12.40
Donovan McNabb,QB,MIN,TB,10.32
Joe Flacco,QB,BAL,TEN,9.88
Kerry Collins,QB,IND,CLE,9.54
Tarvaris Jackson,QB,SEA,PIT,7.56
Jon Kitna,QB,DAL,SF,5.48
Mike Kafka,QB,PHI,ATL,3.08
Blaine Gabbert,QB,JAX,NYJ,2.18
Matt Cassel,QB,KC,DET,1.32
Shaun Hill,QB,DET,KC,1.12
Chase Daniel,QB,NO,CHI,0.00
Tyler Palko,QB,KC,DET,0.00
Mark Brunell,QB,NYJ,JAX,0.00
Charlie Batch,QB,PIT,SEA,0.00
Tim Tebow,QB,DEN,CIN,0.00
Luke McCown,QB,JAX,NYJ,-1.24
Vincent Jackson,WR,LAC,NE,42.20
Kenny Britt,WR,TEN,BAL,31.50
AJ Green,WR,CIN,DEN,31.40
Denarius Moore,WR,OAK,BUF,31.10
Eric Decker,WR,DEN,CIN,30.30
Mike Wallace,WR,PIT,SEA,29.60
Larry Fitzgerald,WR,ARI,WAS,29.30
David Nelson,WR,BUF,OAK,24.30
Danario Alexander,WR,LAR,NYG,24.20
Deion Branch,WR,NE,LAC,23.90
Steve Johnson,WR,BUF,OAK,23.60
Steve Smith,WR,CAR,GB,23.60
Devery Henderson,WR,NO,CHI,22.30
Andre Johnson,WR,HOU,MIA,22.30
Jerome Simpson,WR,CIN,DEN,20.60
Brandon Marshall,WR,MIA,HOU,19.90
Dwayne Bowe,WR,KC,DET,19.30
Calvin Johnson,WR,DET,KC,17.90
Santana Moss,WR,WAS,ARI,17.10
Nate Washington,WR,TEN,BAL,16.90
