Rank,Player,Position,Week,Team,Opponent,TFL,Sacks,QBHits,Interceptions,FumRec,Safeties,DefTD,ReturnTD,PtsAllowed,Points,Year
1,Detroit Lions,DST,2,DET,KC,2,2,3,3,3,0,0,0,3,21.00,2011
2,New York Jets,DST,2,NYJ,JAX,4,2,4,4,0,1,0,0,3,19.00,2011
3,Pittsburgh Steelers,DST,2,PIT,SEA,6,5,8,0,0,0,0,0,0,15.00,2011
4,New York Giants,DST,2,NYG,LAR,6,2,9,0,2,0,1,0,16,13.00,2011
5,Tennessee Titans,DST,2,TEN,BAL,4,3,5,2,1,0,0,0,13,13.00,2011
6,Green Bay Packers,DST,2,GB,CAR,4,4,7,3,1,0,0,0,23,12.00,2011
7,New Orleans Saints,DST,2,NO,CHI,7,6,10,0,1,0,0,0,13,12.00,2011
8,Houston Texans,DST,2,HOU,MIA,2,2,7,1,1,0,0,0,13,10.00,2011
9,New England Patriots,DST,2,NE,LAC,1,2,4,2,2,0,0,0,21,10.00,2011
10,Dallas Cowboys,DST,2,DAL,SF,8,6,9,1,0,0,0,0,24,8.00,2011
11,Cleveland Browns,DST,2,CLE,IND,3,2,4,1,1,0,0,0,19,7.00,2011
12,Washington Redskins,DST,2,WAS,ARI,3,3,5,1,1,0,0,0,21,7.00,2011
13,Arizona Cardinals,DST,2,ARI,WAS,3,1,8,2,0,0,0,0,22,7.00,2011
14,Cincinnati Bengals,DST,2,CIN,DEN,4,2,1,0,2,0,0,0,24,6.00,2011
15,Atlanta Falcons,DST,2,ATL,PHI,2,0,6,1,2,0,0,0,31,5.00,2011
16,San Francisco 49ers,DST,2,SF,DAL,4,1,7,2,0,0,0,0,27,5.00,2011
17,Los Angeles Rams,DST,2,LAR,NYG,7,3,4,1,0,0,0,0,28,5.00,2011
18,Tampa Bay Buccaneers,DST,2,TB,MIN,6,2,2,0,1,0,0,0,20,5.00,2011
19,Jacksonville Jaguars,DST,2,JAX,NYJ,3,1,4,2,0,0,0,0,32,4.00,2011
20,Minnesota Vikings,DST,2,MIN,TB,5,2,5,1,0,0,0,0,24,4.00,2011
21,Philadelphia Eagles,DST,2,PHI,ATL,8,4,6,2,0,0,0,0,35,4.00,2011
22,Indianapolis Colts,DST,2,IND,CLE,2,1,4,0,1,0,0,0,27,3.00,2011
23,Miami Dolphins,DST,2,MIA,HOU,7,3,8,0,0,0,0,0,23,3.00,2011
24,Baltimore Ravens,DST,2,BAL,TEN,2,0,2,1,0,0,0,0,26,2.00,2011
25,Carolina Panthers,DST,2,CAR,GB,3,1,1,0,1,0,0,0,30,2.00,2011
26,Chicago Bears,DST,2,CHI,NO,4,1,2,0,1,0,0,0,30,2.00,2011
27,Denver Broncos,DST,2,DEN,CIN,5,2,4,0,0,0,0,0,22,2.00,2011
28,Seattle Seahawks,DST,2,SEA,PIT,4,2,3,0,0,0,0,0,24,2.00,2011
29,Buffalo Bills,DST,2,BUF,OAK,1,0,4,1,1,0,0,0,35,0.00,2011
30,Kansas City Chiefs,DST,2,KC,DET,3,0,6,1,0,0,0,0,48,-2.00,2011
31,Oakland Raiders,DST,2,OAK,BUF,3,0,3,1,0,0,0,0,38,-2.00,2011
32,Los Angeles Chargers,DST,2,LAC,NE,4,2,5,0,0,0,0,0,35,-2.00,2011
