Rank,Player,Position,Week,Team,Opponent,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Rec,RecYds,RecTDs,Fumbles,FumLost,Points,Year
1,Darren McFadden,RB,3,OAK,NYJ,19,171,9,2,3,3,7,0,0,0,35.80,2011
2,Ryan Mathews,RB,3,LAC,KC,21,98,5,2,4,4,51,0,0,0,30.90,2011
3,LaDainian Tomlinson,RB,3,NYJ,OAK,6,38,6,0,6,5,116,1,0,0,29.40,2011
4,Fred Jackson,RB,3,BUF,NE,12,74,6,1,6,5,87,0,0,0,27.10,2011
5,LeSean McCoy,RB,3,PHI,NYG,24,128,5,1,3,3,13,0,0,0,26.10,2011
6,Ahmad Bradshaw,RB,3,NYG,PHI,15,86,6,0,5,5,53,1,0,0,24.90,2011
7,Maurice Jones-Drew,RB,3,JAX,CAR,24,122,5,0,3,3,45,0,1,0,22.70,2011
8,Felix Jones,RB,3,DAL,WAS,14,115,8,0,3,3,40,0,1,0,21.50,2011
9,Daniel Thomas,RB,3,MIA,CLE,23,95,4,0,3,3,27,1,0,0,21.20,2011
10,Ray Rice,RB,3,BAL,LAR,8,79,10,0,7,5,83,0,0,0,21.20,2011
11,Darren Sproles,RB,3,NO,HOU,2,35,18,1,9,6,50,0,0,0,20.50,2011
12,Adrian Peterson,RB,3,MIN,DET,17,78,5,1,5,4,19,0,0,0,19.70,2011
13,Tim Hightower,RB,3,WAS,DAL,14,41,3,0,6,5,39,1,0,0,19.00,2011
14,Shonn Greene,RB,3,NYJ,OAK,15,59,4,0,7,7,47,0,0,0,17.60,2011
15,Brandon Jacobs,RB,3,NYG,PHI,7,19,3,0,3,2,42,1,0,0,16.10,2011
16,Joseph Addai,RB,3,IND,PIT,17,86,5,1,2,1,2,0,0,0,15.80,2011
17,Matt Forte,RB,3,CHI,GB,9,2,0,0,8,7,80,0,0,0,15.20,2011
18,Willis McGahee,RB,3,DEN,TEN,22,52,2,0,5,3,2,1,0,0,14.40,2011
19,Jahvid Best,RB,3,DET,MIN,12,14,1,0,7,5,74,0,0,0,13.80,2011
20,Michael Bush,RB,3,OAK,NYJ,8,22,3,1,2,2,35,0,0,0,13.70,2011
21,Kendall Hunter,RB,3,SF,CIN,9,26,3,1,2,2,12,0,0,0,11.80,2011
22,Montario Hardesty,RB,3,CLE,MIA,14,67,5,0,4,3,19,0,0,0,11.60,2011
23,Mark Ingram,RB,3,NO,HOU,9,38,4,1,2,2,-3,0,0,0,11.50,2011
24,Jonathan Stewart,RB,3,CAR,JAX,10,59,6,0,4,3,26,0,0,0,11.50,2011
25,Chris Johnson,RB,3,TEN,DEN,13,21,2,0,7,4,54,0,0,0,11.50,2011
26,Dexter McCluster,RB,3,KC,LAC,9,45,5,0,6,5,17,0,0,0,11.20,2011
27,Earnest Graham,RB,3,TB,ATL,2,-1,-1,0,8,7,37,0,0,0,10.60,2011
28,Alfonso Smith,RB,3,ARI,SEA,17,54,3,0,5,3,21,0,0,0,10.50,2011
29,LeGarrette Blount,RB,3,TB,ATL,24,81,3,0,3,1,13,0,0,0,10.40,2011
30,Ben Tate,RB,3,HOU,NO,19,82,4,0,4,1,8,0,0,0,10.00,2011
31,Ryan Grant,RB,3,GB,CHI,17,92,5,0,1,0,0,0,0,0,9.20,2011
32,Cadillac Williams,RB,3,LAR,BAL,18,75,4,0,2,1,4,0,0,0,8.90,2011
33,Marshawn Lynch,RB,3,SEA,ARI,19,73,4,0,3,1,2,0,0,0,8.50,2011
34,Rashard Mendenhall,RB,3,PIT,IND,18,37,2,0,4,3,9,0,0,0,7.60,2011
35,Mike Tolbert,FB,3,LAC,KC,4,19,5,0,5,3,24,0,0,0,7.30,2011
36,Danny Woodhead,RB,3,NE,BUF,6,21,4,0,5,3,20,0,0,0,7.10,2011
37,Bruce Miller,FB,3,SF,CIN,1,2,2,0,5,4,25,0,1,0,6.70,2011
38,Cedric Benson,RB,3,CIN,SF,17,64,4,0,1,0,0,0,0,0,6.40,2011
39,Ricky Williams,RB,3,BAL,LAR,5,42,8,0,1,1,11,0,0,0,6.30,2011
40,Stevan Ridley,RB,3,NE,BUF,7,44,6,0,1,1,8,0,0,0,6.20,2011
41,DeAngelo Williams,RB,3,CAR,JAX,10,18,2,0,3,2,17,0,0,0,5.50,2011
42,Pierre Thomas,RB,3,NO,HOU,7,28,4,0,1,1,15,0,0,0,5.30,2011
43,Roy Helu,RB,3,WAS,DAL,5,15,3,0,2,2,17,0,0,0,5.20,2011
44,Lance Ball,RB,3,DEN,TEN,1,7,7,0,5,3,11,0,0,0,4.80,2011
45,Jacquizz Rodgers,RB,3,ATL,TB,2,7,4,0,3,2,19,0,0,0,4.60,2011
46,Thomas Jones,RB,3,KC,LAC,14,31,2,0,1,1,2,0,0,0,4.30,2011
47,Deji Karim,RB,3,JAX,CAR,5,4,1,0,2,2,19,0,0,0,4.30,2011
48,Chester Taylor,RB,3,ARI,SEA,8,20,3,0,2,1,12,0,0,0,4.20,2011
49,Mewelde Moore,RB,3,PIT,IND,2,9,5,0,1,1,22,0,0,0,4.10,2011
50,Vonta Leach,RB,3,BAL,LAR,0,0,0,0,4,3,11,0,0,0,4.10,2011
