Player,Position,Team,Opponent,Points
Tom Brady,QB,NE,BUF,30.98
Mark Sanchez,QB,NYJ,OAK,30.96
Matt Schaub,QB,HOU,NO,28.92
Matthew Stafford,QB,DET,MIN,26.02
Eli Manning,QB,NYG,PHI,25.86
Aaron Rodgers,QB,GB,CHI,23.18
Ryan Fitzpatrick,QB,BUF,NE,23.16
Matt Hasselbeck,QB,TEN,DEN,22.24
Jay Cutler,QB,CHI,GB,22.18
Ben Roethlisberger,QB,PIT,IND,20.06
Matt Ryan,QB,ATL,TB,18.40
Colt McCoy,QB,CLE,MIA,15.20
Cam Newton,QB,CAR,JAX,15.02
Chad Henne,QB,MIA,CLE,14.70
Josh Freeman,QB,TB,ATL,14.70
Matt Cassel,QB,KC,LAC,14.14
Tarvaris Jackson,QB,SEA,ARI,13.84
Kevin Kolb,QB,ARI,SEA,13.68
Donovan McNabb,QB,MIN,DET,13.54
Kyle Orton,QB,DEN,TEN,12.92
Rex Grossman,QB,WAS,DAL,12.60
Sam Bradford,QB,LAR,BAL,10.84
Michael Vick,QB,PHI,NYG,9.14
Tony Romo,QB,DAL,WAS,9.10
Blaine Gabbert,QB,JAX,CAR,8.76
Philip Rivers,QB,LAC,KC,8.44
Alex Smith,QB,SF,CIN,8.04
Jason Campbell,QB,OAK,NYJ,7.24
Andy Dalton,QB,CIN,SF,4.78
Kerry Collins,QB,IND,PIT,3.72
Curtis Painter,QB,IND,PIT,1.40
Joe Webb,QB,MIN,DET,0.00
Mark Brunell,QB,NYJ,OAK,0.00
Chase Daniel,QB,NO,HOU,0.00
Mike Kafka,QB,PHI,NYG,-0.60
Calvin Johnson,WR,DET,MIN,32.80
Victor Cruz,WR,NYG,PHI,29.00
Mike Wallace,WR,PIT,IND,28.40
Lance Moore,WR,NO,HOU,27.80
Roddy White,WR,ATL,TB,26.00
Greg Jennings,WR,GB,CHI,23.90
Andre Johnson,WR,HOU,NO,23.60
Steve Johnson,WR,BUF,NE,23.40
Nate Washington,WR,TEN,DEN,23.20
Sidney Rice,WR,SEA,ARI,21.90
Julio Jones,WR,ATL,TB,19.60
Donald Jones,WR,BUF,NE,18.30
Michael Jenkins,WR,MIN,DET,17.80
Larry Fitzgerald,WR,ARI,SEA,17.40
Dwayne Bowe,WR,KC,LAC,16.70
Brandon Gibson,WR,LAR,BAL,16.50
Robert Meachem,WR,NO,HOU,16.10
Denarius Moore,WR,OAK,NYJ,15.70
Mike Thomas,WR,JAX,CAR,15.50
Plaxico Burress,WR,NYJ,OAK,14.50
David Nelson,WR,BUF,NE,14.40
Anquan Boldin,WR,BAL,LAR,14.40
Pierre Garcon,WR,IND,PIT,14.20
Joshua Cribbs,WR,CLE,MIA,13.90
Dane Sanzenbacher,WR,CHI,GB,13.70
Brian Hartline,WR,MIA,CLE,12.70
Kevin Walter,WR,HOU,NO,12.50
Johnny Knox,WR,CHI,GB,12.40
Santana Moss,WR,WAS,DAL,12.00
Jeremy Maclin,WR,PHI,NYG,11.90
