Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Jermichael Finley,TE,3,GB,CHI,8,7,88,85,3,24,11,12,0,0,0,0,0,33.50,2011
2,Rob Gronkowski,TE,3,NE,BUF,9,7,78,109,2,29,12,16,0,0,0,0,0,32.90,2011
3,James Casey,TE,3,HOU,NO,7,5,71,126,1,62,18,25,1,11,0,0,0,27.70,2011
4,Brandon Pettigrew,TE,3,DET,MIN,13,11,85,112,0,27,9,10,0,0,0,0,0,25.20,2011
5,Jimmy Graham,TE,3,NO,HOU,8,4,50,100,1,32,13,25,0,0,0,0,0,23.00,2011
6,Vernon Davis,TE,3,SF,CIN,9,8,89,114,0,39,13,14,1,-2,0,1,0,22.20,2011
7,Greg Olsen,TE,3,CAR,JAX,10,7,70,57,1,16,6,8,0,0,0,0,0,20.70,2011
8,Owen Daniels,TE,3,HOU,NO,9,5,56,76,1,23,8,15,0,0,0,0,0,18.60,2011
9,Dustin Keller,TE,3,NYJ,OAK,9,5,56,87,0,33,10,17,0,0,0,0,0,13.70,2011
10,Leonard Pope,TE,3,KC,LAC,3,3,100,32,1,23,11,11,0,0,0,0,0,12.20,2011
11,Heath Miller,TE,3,PIT,IND,6,5,83,71,0,30,12,14,0,0,0,0,0,12.10,2011
12,Todd Heap,TE,3,ARI,SEA,10,6,60,61,0,28,6,10,0,0,0,0,0,12.10,2011
13,Jason Witten,TE,3,DAL,WAS,9,6,67,60,0,23,7,10,0,0,0,0,0,12.00,2011
14,Benjamin Watson,TE,3,CLE,MIA,10,5,50,64,0,17,6,13,0,0,0,0,0,11.40,2011
15,Kellen Davis,TE,3,CHI,GB,2,1,50,32,1,32,16,32,0,0,0,0,0,10.20,2011
16,Ed Dickson,TE,3,BAL,LAR,9,5,56,51,0,19,6,10,0,0,0,0,0,10.10,2011
17,Tony Gonzalez,TE,3,ATL,TB,8,2,25,18,1,10,2,9,0,0,0,0,0,9.80,2011
18,Jermaine Gresham,TE,3,CIN,SF,8,4,50,51,0,22,6,13,0,0,0,0,0,9.10,2011
19,Randy McMichael,TE,3,LAC,KC,5,4,80,51,0,26,10,13,0,0,0,0,0,9.10,2011
20,Scott Chandler,TE,3,BUF,NE,3,2,67,10,1,7,3,5,0,0,0,0,0,9.00,2011
21,Chris Cooley,TE,3,WAS,DAL,5,4,80,41,0,17,8,10,2,3,0,0,0,8.40,2011
22,Visanthe Shiancoe,TE,3,MIN,DET,2,1,50,8,1,8,4,8,0,0,0,0,0,7.80,2011
23,Daniel Graham,TE,3,TEN,DEN,1,1,100,4,1,4,4,4,0,0,0,0,0,7.40,2011
24,Kyle Rudolph,TE,3,MIN,DET,3,3,100,39,0,20,13,13,0,0,0,0,0,6.90,2011
25,Craig Stevens,TE,3,TEN,DEN,1,1,100,58,0,58,58,58,0,0,0,0,0,6.80,2011
26,Daniel Fells,TE,3,DEN,TEN,4,2,50,42,0,32,11,21,0,0,0,0,0,6.20,2011
27,Jeremy Shockey,TE,3,CAR,JAX,7,3,43,30,0,16,4,10,0,0,0,0,0,6.00,2011
28,Kevin Boss,TE,3,OAK,NYJ,2,2,100,36,0,28,18,18,0,0,0,0,0,5.60,2011
29,Luke Stocker,TE,3,TB,ATL,2,2,100,33,0,24,17,17,0,0,0,0,0,5.30,2011
30,Kellen Winslow,TE,3,TB,ATL,5,2,40,20,0,14,4,10,0,0,0,0,0,4.00,2011
31,Evan Moore,TE,3,CLE,MIA,3,2,67,19,0,11,6,10,0,0,0,0,0,3.90,2011
32,Lance Kendricks,TE,3,LAR,BAL,3,2,67,25,0,13,8,13,1,-8,0,0,0,3.70,2011
