Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Joel Dreessen,TE,5,HOU,OAK,9,5,56,112,1,56,12,22,0,0,0,0,0,25.20,2011
2,Jimmy Graham,TE,5,NO,CAR,12,8,67,129,0,30,11,16,0,0,0,0,0,23.90,2011
3,Vernon Davis,TE,5,SF,TB,3,3,100,39,2,23,13,13,1,-3,0,0,0,18.60,2011
4,Jake Ballard,TE,5,NYG,SEA,4,3,75,72,1,32,18,24,0,0,0,0,0,16.20,2011
5,Owen Daniels,TE,5,HOU,OAK,11,7,64,89,0,28,8,13,0,0,0,0,0,15.90,2011
6,Brandon Pettigrew,TE,5,DET,CHI,5,4,80,39,1,18,8,10,0,0,0,0,0,13.90,2011
7,Heath Miller,TE,5,PIT,TEN,4,3,75,46,1,20,12,15,0,0,0,0,0,13.60,2011
8,Jermaine Gresham,TE,5,CIN,JAX,7,5,71,21,1,9,3,4,0,0,0,0,0,13.10,2011
9,Tony Gonzalez,TE,5,ATL,GB,8,6,75,60,0,23,8,10,0,0,0,0,0,12.00,2011
10,Delanie Walker,TE,5,SF,TB,3,2,67,37,1,26,12,19,0,0,0,0,0,11.70,2011
11,Kellen Davis,TE,5,CHI,DET,3,3,100,25,1,17,8,8,0,0,0,0,0,11.50,2011
12,Greg Olsen,TE,5,CAR,NO,5,3,60,21,1,9,4,7,0,0,0,0,0,11.10,2011
13,Jermichael Finley,TE,5,GB,ATL,7,4,57,67,0,24,10,17,0,0,0,0,0,10.70,2011
14,Aaron Hernandez,TE,5,NE,NYJ,9,5,56,56,0,21,6,11,0,0,0,0,0,10.60,2011
15,Kellen Winslow,TE,5,TB,SF,9,5,56,54,0,17,6,11,0,0,0,0,0,10.40,2011
16,Jared Cook,TE,5,TEN,PIT,9,4,44,59,0,19,7,15,0,0,0,0,0,9.90,2011
17,David Johnson,TE,5,PIT,TEN,2,2,100,5,1,4,3,3,0,0,0,0,0,8.50,2011
18,Jeff King,TE,5,ARI,MIN,6,5,83,35,0,11,6,7,0,0,0,0,0,8.50,2011
19,Daniel Fells,TE,5,DEN,LAC,4,3,75,47,0,31,12,16,0,0,0,0,0,7.70,2011
20,Rob Gronkowski,TE,5,NE,NYJ,4,4,100,31,0,17,8,8,0,0,0,0,0,7.10,2011
21,Randy McMichael,TE,5,LAC,DEN,6,4,67,29,0,12,5,7,0,0,0,0,0,6.90,2011
22,Rob Housler,TE,5,ARI,MIN,8,3,38,25,0,13,3,8,0,0,0,0,0,5.50,2011
23,Jeremy Shockey,TE,5,CAR,NO,7,3,43,21,0,9,3,7,0,0,0,0,0,5.10,2011
24,Kory Sperry,TE,5,LAC,DEN,1,1,100,32,0,32,32,32,0,0,0,0,0,4.20,2011
25,Visanthe Shiancoe,TE,5,MIN,ARI,6,1,17,20,0,20,3,20,0,0,0,0,0,3.00,2011
26,Anthony McCoy,TE,5,SEA,NYG,6,1,17,20,0,20,3,20,0,0,0,0,0,3.00,2011
27,Leonard Pope,TE,5,KC,IND,3,2,67,8,0,4,3,4,0,0,0,0,0,2.80,2011
28,Bear Pascoe,TE,5,NYG,SEA,1,1,100,17,0,17,17,17,0,0,0,0,0,2.70,2011
29,Tom Crabtree,TE,5,GB,ATL,1,1,100,15,0,15,15,15,0,0,0,0,0,2.50,2011
30,Tony Scheffler,TE,5,DET,CHI,1,1,100,12,0,12,12,12,0,0,0,0,0,2.20,2011
31,Dante Rosario,TE,5,DEN,LAC,2,1,50,10,0,10,5,10,0,0,0,0,0,2.00,2011
32,Matt Spaeth,TE,5,CHI,DET,1,1,100,8,0,8,8,8,0,0,0,0,0,1.80,2011
33,Dallas Clark,TE,5,IND,KC,5,1,20,7,0,7,1,7,0,0,0,0,0,1.70,2011
34,Dustin Keller,TE,5,NYJ,NE,2,1,50,7,0,7,4,7,0,0,0,0,0,1.70,2011
35,DJ Williams,TE,5,GB,ATL,1,1,100,7,0,7,7,7,0,0,0,0,0,1.70,2011
36,Brent Celek,TE,5,PHI,BUF,5,1,20,6,0,6,1,6,0,0,0,0,0,1.60,2011
37,Marcedes Lewis,TE,5,JAX,CIN,4,1,25,6,0,6,2,6,0,0,0,0,0,1.60,2011
38,Scott Chandler,TE,5,BUF,PHI,1,1,100,4,0,4,4,4,0,0,0,0,0,1.40,2011
39,Matthew Mulligan,TE,5,NYJ,NE,1,1,100,4,0,4,4,4,0,0,0,0,0,1.40,2011
40,Clay Harbor,TE,5,PHI,BUF,1,1,100,3,0,3,3,3,0,0,0,0,0,1.30,2011
41,Will Heller,TE,5,DET,CHI,1,1,100,1,0,1,1,1,0,0,0,0,0,1.10,2011
42,Lee Smith,TE,5,BUF,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2011
43,John Gilmore,TE,5,NO,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2011
44,Ben Hartsock,TE,5,CAR,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2011
45,Kevin Boss,TE,5,OAK,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2011
46,Brandon Myers,TE,5,OAK,HOU,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2011
47,David Ausberry,TE,5,OAK,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2011
48,James Casey,TE,5,HOU,OAK,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2011
49,Garrett Graham,TE,5,HOU,OAK,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2011
50,Brody Eldridge,TE,5,IND,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2011
