Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Nick Novak,K,5,LAC,DEN,5,5,100,51,2,2,0.00,2011
2,Sebastian Janikowski,K,5,OAK,HOU,4,4,100,55,1,1,0.00,2011
3,Mason Crosby,K,5,GB,ATL,4,4,100,56,1,1,0.00,2011
4,John Kasay,K,5,NO,CAR,3,3,100,46,3,3,0.00,2011
5,Ryan Longwell,K,5,MIN,ARI,2,3,67,53,4,4,0.00,2011
6,Steven Hauschka,K,5,SEA,NYG,2,2,100,51,4,4,0.00,2011
7,David Akers,K,5,SF,TB,2,2,100,37,6,6,0.00,2011
8,Stephen Gostkowski,K,5,NE,NYJ,3,3,100,44,3,3,0.00,2011
9,Neil Rackers,K,5,HOU,OAK,2,3,67,54,2,2,0.00,2011
10,Adam Vinatieri,K,5,IND,KC,1,1,100,53,3,3,0.00,2011
11,Josh Scobee,K,5,JAX,CIN,2,2,100,20,2,2,0.00,2011
12,Shaun Suisham,K,5,PIT,TEN,1,1,100,19,5,5,0.00,2011
13,Rian Lindell,K,5,BUF,PHI,1,1,100,25,4,4,0.00,2011
14,Robbie Gould,K,5,CHI,DET,2,2,100,49,1,1,0.00,2011
15,Alex Henery,K,5,PHI,BUF,1,1,100,35,3,3,0.00,2011
16,Mike Nugent,K,5,CIN,JAX,1,1,100,47,3,3,0.00,2011
17,Jay Feely,K,5,ARI,MIN,1,1,100,51,1,1,0.00,2011
18,Jason Hanson,K,5,DET,CHI,1,1,100,31,3,3,0.00,2011
19,Thomas Howard,K,5,CIN,JAX,0,0,0,0,0,0,0.00,2011
20,Lawrence Tynes,K,5,NYG,SEA,1,1,100,26,2,2,0.00,2011
21,Rob Bironas,K,5,TEN,PIT,1,1,100,29,2,2,0.00,2011
22,Ryan Succop,K,5,KC,IND,0,0,0,0,4,4,0.00,2011
23,Matt Prater,K,5,DEN,LAC,1,1,100,35,1,1,0.00,2011
24,Olindo Mare,K,5,CAR,NO,0,0,0,0,3,3,0.00,2011
25,Connor Barth,K,5,TB,SF,1,1,100,24,0,0,0.00,2011
26,Nick Folk,K,5,NYJ,NE,0,0,0,0,3,3,0.00,2011
27,Matt Bryant,K,5,ATL,GB,0,0,0,0,2,2,0.00,2011
28,DJ Smith,K,5,GB,ATL,0,0,0,0,0,0,0.00,2011
