Player,Position,Team,Opponent,Points
Carson Palmer,QB,ARI,WAS,26.90
Matthew Stafford,QB,DET,NO,26.84
Andy Dalton,QB,CIN,PHI,25.18
Derek Carr,QB,OAK,BUF,20.80
Carson Wentz,QB,PHI,CIN,19.62
Kirk Cousins,QB,WAS,ARI,18.84
Ben Roethlisberger,QB,PIT,NYG,18.56
Brock Osweiler,QB,HOU,GB,18.08
Matt Ryan,QB,ATL,KC,17.18
Russell Wilson,QB,SEA,CAR,16.98
Aaron Rodgers,QB,GB,HOU,16.96
Philip Rivers,QB,LAC,TB,16.80
Jameis Winston,QB,TB,LAC,16.30
Sam Bradford,QB,MIN,DAL,14.88
Tom Brady,QB,NE,LAR,14.86
Tyrod Taylor,QB,BUF,OAK,14.64
Eli Manning,QB,NYG,PIT,13.70
Alex Smith,QB,KC,ATL,13.50
Blake Bortles,QB,JAX,DEN,13.14
Drew Brees,QB,NO,DET,13.04
Cam Newton,QB,CAR,SEA,12.48
Dak Prescott,QB,DAL,MIN,12.26
Ryan Tannehill,QB,MIA,BAL,10.04
Jared Goff,QB,LAR,NE,8.34
Matt Barkley,QB,CHI,SF,7.98
Bryce Petty,QB,NYJ,IND,7.40
Paxton Lynch,QB,DEN,JAX,5.26
Ryan Fitzpatrick,QB,NYJ,IND,2.54
Colin Kaepernick,QB,SF,CHI,2.16
Trevone Boykin,QB,SEA,CAR,1.62
Blaine Gabbert,QB,SF,CHI,1.50
Shaun Hill,QB,MIN,DAL,0.24
Scott Tolzien,QB,IND,NYJ,0.14
EJ Manuel,QB,BUF,OAK,0.00
Joe Webb,QB,CAR,SEA,0.00
Kellen Clemens,QB,LAC,TB,0.00
Landry Jones,QB,PIT,NYG,-0.10
Ryan Mallett,QB,BAL,MIA,-0.10
Derek Anderson,QB,CAR,SEA,-1.00
TY Hilton,WR,IND,NYJ,26.60
Tyler Lockett,WR,SEA,CAR,24.80
Odell Beckham Jr,WR,NYG,PIT,23.00
Julio Jones,WR,ATL,KC,21.30
Julian Edelman,WR,NE,LAR,21.10
Brandon LaFell,WR,CIN,PHI,20.50
Michael Crabtree,WR,OAK,BUF,20.40
Albert Wilson,WR,KC,ATL,20.30
Ted Ginn,WR,CAR,SEA,19.60
