Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Ed Dickson,TE,5,CAR,DET,5,5,100,175,0,64,35,35,0,0,0,0,0,25.50,2017
2,George Kittle,TE,5,SF,IND,9,7,78,83,1,27,9,12,0,0,0,0,0,21.30,2017
3,Zach Ertz,TE,5,PHI,ARI,12,6,50,61,1,14,5,10,0,0,0,0,0,18.10,2017
4,Cameron Brate,TE,5,TB,NE,9,5,56,68,1,18,8,14,0,0,0,0,0,17.80,2017
5,Travis Kelce,TE,5,KC,HOU,11,8,73,98,0,26,9,12,0,0,0,0,0,17.80,2017
6,Kyle Rudolph,TE,5,MIN,CHI,9,6,67,45,1,13,5,8,0,0,0,0,0,16.50,2017
7,Darren Fells,TE,5,DET,CAR,2,2,100,24,2,20,12,12,0,0,0,0,0,16.40,2017
8,Jimmy Graham,TE,5,SEA,LAR,8,6,75,37,1,9,5,6,0,0,0,0,0,15.70,2017
9,Austin Seferian-Jenkins,TE,5,NYJ,CLE,8,6,75,29,1,9,4,5,0,0,0,0,0,14.90,2017
10,David Njoku,TE,5,CLE,NYJ,3,3,100,48,1,21,16,16,1,1,0,0,0,13.90,2017
11,Tyler Higbee,TE,5,LAR,SEA,8,4,50,98,0,35,12,25,0,0,0,0,0,13.80,2017
12,Hunter Henry,TE,5,LAC,NYG,8,3,38,42,1,25,5,14,0,0,0,0,0,13.20,2017
13,Jason Witten,TE,5,DAL,GB,10,8,80,61,0,14,6,8,0,0,0,1,1,13.10,2017
14,Zach Miller,TE,5,CHI,MIN,7,3,43,39,1,20,6,13,0,0,0,0,0,12.90,2017
15,Nick O'Leary,TE,5,BUF,CIN,6,5,83,54,0,19,9,11,0,0,0,0,0,10.40,2017
16,Phillip Supernaw,TE,5,TEN,MIA,2,2,100,16,1,11,8,8,0,0,0,0,0,9.60,2017
17,Trey Burton,TE,5,PHI,ARI,2,2,100,16,1,15,8,8,0,0,0,0,0,9.60,2017
18,Stephen Anderson,TE,5,HOU,KC,2,2,100,63,0,42,32,32,0,0,0,0,0,8.30,2017
19,Martellus Bennett,TE,5,GB,DAL,3,3,100,53,0,33,18,18,0,0,0,0,0,8.30,2017
20,Tyler Kroft,TE,5,CIN,BUF,5,4,80,38,0,15,8,10,0,0,0,0,0,7.80,2017
21,Jonnu Smith,TE,5,TEN,MIA,5,5,100,21,0,9,4,4,0,0,0,0,0,7.10,2017
22,Delanie Walker,TE,5,TEN,MIA,5,3,60,25,0,12,5,8,0,0,0,0,0,5.50,2017
23,Jesse James,TE,5,PIT,JAX,5,3,60,24,0,15,5,8,0,0,0,0,0,5.40,2017
24,Seth DeValve,TE,5,CLE,NYJ,4,3,75,24,0,17,6,8,0,0,0,0,0,5.40,2017
25,Charles Clay,TE,5,BUF,CIN,3,2,67,31,0,24,10,16,0,0,0,0,0,5.10,2017
26,Demetrius Harris,TE,5,KC,HOU,3,3,100,21,0,11,7,7,0,0,0,0,0,5.10,2017
27,Brandon Williams,TE,5,IND,SF,3,3,100,17,0,6,6,6,0,0,0,0,0,4.70,2017
28,Ross Travis,TE,5,KC,HOU,2,2,100,26,0,18,13,13,0,0,0,1,0,4.60,2017
29,Jared Cook,TE,5,OAK,BAL,6,3,50,25,0,17,4,8,0,0,0,1,1,4.50,2017
30,Eric Tomlinson,TE,5,NYJ,CLE,1,1,100,34,0,34,34,34,0,0,0,0,0,4.40,2017
31,Antonio Gates,TE,5,LAC,NYG,3,2,67,23,0,12,8,12,0,0,0,0,0,4.30,2017
32,Ryan Griffin,TE,5,HOU,KC,4,2,50,22,0,13,6,11,0,0,0,0,0,4.20,2017
33,Jermaine Gresham,TE,5,ARI,PHI,2,2,100,16,0,14,8,8,0,0,0,0,0,3.60,2017
34,Lance Kendricks,TE,5,GB,DAL,1,1,100,24,0,24,24,24,0,0,0,0,0,3.40,2017
35,CJ Uzomah,TE,5,CIN,BUF,2,1,50,21,0,21,11,21,0,0,0,0,0,3.10,2017
36,Dion Sims,TE,5,CHI,MIN,4,1,25,17,0,17,4,17,0,0,0,0,0,2.70,2017
37,Richard Rodgers,TE,5,GB,DAL,1,1,100,16,0,16,16,16,0,0,0,0,0,2.60,2017
38,Julius Thomas,TE,5,MIA,TEN,4,1,25,15,0,15,4,15,0,0,0,0,0,2.50,2017
39,Marcedes Lewis,TE,5,JAX,PIT,2,1,50,14,0,14,7,14,0,0,0,0,0,2.40,2017
40,Darrell Daniels,TE,5,IND,SF,4,1,25,13,0,13,3,13,0,0,0,0,0,2.30,2017
41,Nick Vannett,TE,5,SEA,LAR,2,2,100,3,0,3,2,2,0,0,0,0,0,2.30,2017
42,Benjamin Watson,TE,5,BAL,OAK,4,2,50,2,0,4,1,1,0,0,0,1,0,2.20,2017
43,Jerell Adams,TE,5,NYG,LAC,1,1,100,11,0,11,11,11,0,0,0,0,0,2.10,2017
44,Rhett Ellison,TE,5,NYG,LAC,2,1,50,9,0,9,5,9,0,0,0,0,0,1.90,2017
45,Nick Boyle,TE,5,BAL,OAK,2,1,50,9,0,9,5,9,0,0,0,0,0,1.90,2017
46,Gerald Everett,TE,5,LAR,SEA,3,1,33,8,0,8,3,8,0,0,0,0,0,1.80,2017
47,Garrett Celek,TE,5,SF,IND,1,1,100,6,0,6,6,6,0,0,0,0,0,1.60,2017
48,Eric Ebron,TE,5,DET,CAR,4,1,25,6,0,6,2,6,0,0,0,0,0,1.60,2017
49,Brent Celek,TE,5,PHI,ARI,1,1,100,5,0,5,5,5,0,0,0,0,0,1.50,2017
50,Logan Thomas,TE,5,BUF,CIN,2,1,50,3,0,3,2,3,0,0,0,0,0,1.30,2017
