,Player,Position,Team,Opponent,Points,PlayerID
0,Carson Palmer,QB,CIN,NE,24.7,00-0021429
1,Michael Vick,QB,PHI,GB,24.3,
2,Tom Brady,QB,NE,CIN,22.32,00-0019596
3,Philip Rivers,QB,LAC,KC,20.42,00-0022942
4,Matt Hasselbeck,QB,SEA,SF,20.2,00-0007091
5,David Garrard,QB,JAX,DEN,19.8,00-0021231
6,Eli Manning,QB,NYG,CAR,19.32,00-0022803
7,Josh Freeman,QB,TB,CLE,17.68,00-0026993
8,Vince Young,QB,TEN,OAK,16.16,00-0024218
9,Kyle Orton,QB,DEN,JAX,16.0,00-0023541
10,Derek Anderson,QB,ARI,LAR,15.78,00-0023645
11,Tony Romo,QB,DAL,WAS,15.28,00-0021678
12,Aaron Rodgers,QB,GB,PHI,14.42,00-0023459
13,Drew Brees,QB,NO,MIN,12.88,00-0020531
14,Jason Campbell,QB,OAK,TEN,12.7,00-0023460
15,Jake Delhomme,QB,CLE,TB,11.18,00-0004161
16,Sam Bradford,QB,LA,ARI,11.12,00-0027854
17,Trent Edwards,QB,BUF,MIA,10.76,00-0025479
18,Brett Favre,QB,MIN,NO,9.84,00-0005106
19,Matt Ryan,QB,ATL,PIT,9.48,00-0026143
20,Dennis Dixon,QB,PIT,ATL,8.84,00-0026296
21,Matt Moore,QB,CAR,NYG,8.78,00-0025708
22,Donovan McNabb,QB,WAS,DAL,8.54,00-0011022
23,Joe Flacco,QB,BAL,NYJ,8.12,00-0026158
24,Chad Henne,QB,MIA,BUF,7.18,00-0026197
25,Matt Cassel,QB,KC,LAC,7.12,00-0023662
26,Alex Smith,QB,SF,SEA,7.0,00-0023436
27,Matt Schaub,QB,HOU,IND,6.98,00-0022787
28,Mark Sanchez,QB,NYJ,BAL,3.46,00-0026898
29,Matthew Stafford,QB,DET,CHI,2.32,00-0026498
30,Seneca Wallace,QB,CLE,TB,1.9,00-0022055
31,Shaun Hill,QB,DET,CHI,1.12,00-0020679
32,Kevin Kolb,QB,PHI,GB,0.96,00-0025423
33,Tim Tebow,QB,DEN,JAX,0.2,00-0027876
34,Jimmy Clausen,QB,CAR,NYG,0.0,00-0027659
35,Miles Austin,WR,DAL,WAS,33.6,00-0023921
36,Hakeem Nicks,WR,NYG,CAR,29.5,00-0027005
37,Roddy White,WR,ATL,PIT,27.1,00-0023462
38,Wes Welker,WR,NE,CIN,26.4,00-0022427
39,Legedu Naanee,WR,LAC,KC,25.0,00-0025559
40,Mark Clayton,WR,LA,ARI,24.9,00-0023457
41,Steve Breaston,WR,ARI,LAR,23.2,00-0025529
42,Reggie Wayne,WR,IND,HOU,22.9,00-0020498
43,Anquan Boldin,WR,BAL,NYJ,21.0,00-0022084
44,Hines Ward,WR,PIT,ATL,19.8,00-0017162
45,Brandon Lloyd,WR,DEN,JAX,19.7,00-0022097
46,Greg Jennings,WR,GB,PHI,19.2,00-0024267
47,Steve Smith,WR,CAR,NYG,18.5,
48,Nate Washington,WR,TEN,OAK,17.8,00-0023367
49,Eddie Royal,WR,DEN,JAX,17.8,00-0026182
50,Jeremy Maclin,WR,PHI,GB,14.9,00-0026995
51,Mike Thomas,WR,JAX,DEN,14.9,00-0033114
52,Donald Driver,WR,GB,PHI,14.0,00-0004541
53,Mike Williams,WR,TB,CLE,14.0,00-0033536
54,Santana Moss,WR,WAS,DAL,13.7,00-0020494
55,Dez Bryant,WR,DAL,WAS,13.6,00-0027902
56,Brandon Tate,WR,NE,CIN,13.6,00-0027057
57,Larry Fitzgerald,WR,ARI,LAR,13.3,00-0022921
58,Brandon Marshall,WR,MIA,BUF,13.3,00-0024334
59,Jordan Shipley,WR,CIN,NE,13.2,00-0027687
60,Micheal Spurlock,WR,TB,CLE,12.9,00-0023968
61,Danny Amendola,WR,LA,ARI,12.7,00-0026035
62,Mohamed Massaquoi,WR,CLE,TB,12.6,00-0027026
63,Mario Manningham,WR,NYG,CAR,12.5,00-0026235
64,Jabar Gaffney,WR,DEN,JAX,12.4,00-0021163
65,Terrell Owens,WR,CIN,NE,12.3,00-0012478
66,Devin Aromashodu,WR,CHI,DET,12.1,00-0024447
67,Devery Henderson,WR,NO,MIN,11.8,00-0022929
68,Roscoe Parrish,WR,BUF,MIA,11.5,00-0023490
69,Marques Colston,WR,NO,MIN,11.2,00-0024466
70,Davone Bess,WR,MIA,BUF,11.1,00-0026000
71,Kevin Walter,WR,HOU,IND,10.9,00-0021931
72,Randy Moss,WR,NE,CIN,10.9,00-0011754
73,Laurent Robinson,WR,LA,ARI,10.8,00-0025462
74,Mike Williams,WR,SEA,SF,10.4,00-0033536
75,Deion Branch,WR,SEA,SF,10.1,00-0021192
76,Kassim Osgood,WR,JAX,DEN,9.4,00-0021570
77,Steve Smith,WR,NYG,CAR,9.3,
78,Calvin Johnson,WR,DET,CHI,8.5,00-0025389
79,Mike Wallace,WR,PIT,ATL,8.2,00-0026901
80,Johnny Knox,WR,CHI,DET,8.2,00-0026913
81,Jason Avant,WR,PHI,GB,8.1,00-0024324
82,Malcom Floyd,WR,LAC,KC,7.8,00-0022414
83,Visanthe Shiancoe,TE,MIN,NO,17.6,00-0022054
84,Marcedes Lewis,TE,JAX,DEN,17.1,00-0024243
85,Vernon Davis,TE,SF,SEA,15.3,00-0024221
86,Jermaine Gresham,TE,CIN,NE,14.5,00-0027873
87,Chris Cooley,TE,WAS,DAL,14.0,00-0022738
88,Todd Heap,TE,BAL,NYJ,13.2,00-0020516
89,Bo Scaife,TE,TEN,OAK,12.7,00-0023612
90,Evan Moore,TE,CLE,TB,11.7,00-0026123
91,Tony Moeaki,TE,KC,LAC,11.1,00-0027695
92,Tony Scheffler,TE,DET,CHI,10.3,00-0024276
93,Jermichael Finley,TE,GB,PHI,8.7,00-0026231
94,Deon Butler,TE,SEA,SF,8.3,00-0027063
95,Zach Miller,TE,OAK,TEN,8.3,00-0027125
96,Heath Miller,TE,PIT,ATL,8.0,00-0023465
97,Anthony Fasano,TE,MIA,BUF,7.6,00-0024268
98,Kellen Winslow,TE,TB,CLE,7.2,00-0022922
99,Rob Gronkowski,TE,NE,CIN,7.1,00-0027656
100,Delanie Walker,TE,SF,SEA,6.7,00-0024389
101,Greg Olsen,TE,CHI,DET,6.7,00-0025418
102,John Carlson,TE,SEA,SF,6.6,00-0026178
103,Jason Witten,TE,DAL,WAS,5.7,00-0022127
104,Daniel Graham,TE,DEN,JAX,5.6,00-0021154
105,Aaron Hernandez,TE,NE,CIN,5.5,00-0027713
106,Tony Gonzalez,TE,ATL,PIT,5.5,00-0006101
107,Daniel Fells,TE,LA,ARI,5.5,00-0023752
108,Jeremy Shockey,TE,NO,MIN,5.3,00-0021148
109,Brent Celek,TE,PHI,GB,5.2,00-0025549
110,Randy McMichael,TE,LAC,KC,4.8,00-0021236
111,Billy Bajema,TE,LA,ARI,4.8,00-0023679
112,Benjamin Watson,TE,CLE,TB,4.5,00-0022943
