Player,Position,Team,Opponent,Points
Tom Brady,QB,NE,DEN,30.00
Tim Tebow,QB,DEN,NE,28.06
Tony Romo,QB,DAL,TB,26.86
Michael Vick,QB,PHI,NYJ,23.16
Aaron Rodgers,QB,GB,KC,22.60
Carson Palmer,QB,OAK,DET,21.68
Ryan Fitzpatrick,QB,BUF,MIA,21.34
Matt Ryan,QB,ATL,JAX,20.96
Cam Newton,QB,CAR,HOU,19.46
John Skelton,QB,ARI,CLE,19.22
Joe Flacco,QB,BAL,LAC,16.24
Matt Moore,QB,MIA,BUF,15.68
Christian Ponder,QB,MIN,NO,15.20
Philip Rivers,QB,LAC,BAL,14.80
Josh Freeman,QB,TB,DAL,14.62
Seneca Wallace,QB,CLE,ARI,14.14
Kellen Clemens,QB,LAR,CIN,14.06
Alex Smith,QB,SF,PIT,12.68
Ben Roethlisberger,QB,PIT,SF,12.20
Tarvaris Jackson,QB,SEA,CHI,11.88
Kyle Orton,QB,KC,GB,11.46
Mark Sanchez,QB,NYJ,PHI,11.30
Rex Grossman,QB,WAS,NYG,9.30
Jake Locker,QB,TEN,IND,9.22
Caleb Hanie,QB,CHI,SEA,8.84
TJ Yates,QB,HOU,CAR,7.98
Eli Manning,QB,NYG,WAS,7.28
Blaine Gabbert,QB,JAX,ATL,7.14
Dan Orlovsky,QB,IND,TEN,6.98
Matt Hasselbeck,QB,TEN,IND,6.82
Andy Dalton,QB,CIN,LAR,5.96
Chris Redman,QB,ATL,JAX,2.04
Mark Brunell,QB,NYJ,PHI,1.08
Tyrod Taylor,QB,BAL,LAC,0.72
Joe Webb,QB,MIN,NO,0.00
Vince Young,QB,PHI,NYJ,0.00
Chase Daniel,QB,NO,MIN,0.00
Mike Kafka,QB,PHI,NYJ,-0.20
Josh McCown,QB,CHI,SEA,-0.52
Darrius Heyward-Bey,WR,OAK,DET,31.50
Greg Little,WR,CLE,ARI,27.10
Lance Moore,WR,NO,MIN,26.10
Demaryius Thomas,WR,DEN,NE,21.60
Nate Burleson,WR,DET,OAK,21.10
Malcom Floyd,WR,LAC,BAL,20.60
AJ Green,WR,CIN,LAR,20.50
Julio Jones,WR,ATL,JAX,20.10
Torrey Smith,WR,BAL,LAC,19.70
Steve Smith,WR,CAR,HOU,19.20
Nate Washington,WR,TEN,IND,19.20
Andre Roberts,WR,ARI,CLE,18.70
Marques Colston,WR,NO,MIN,17.10
Lavelle Hawkins,WR,TEN,IND,16.80
Brandon Marshall,WR,MIA,BUF,16.40
Miles Austin,WR,DAL,TB,16.30
Jabar Gaffney,WR,WAS,NYG,14.50
Jerricho Cotchery,WR,PIT,SF,14.30
Danario Alexander,WR,LAR,CIN,14.20
Dez Bryant,WR,DAL,TB,14.00
Titus Young,WR,DET,OAK,13.50
Steve Johnson,WR,BUF,MIA,13.20
Santonio Holmes,WR,NYJ,PHI,13.00
Chastin West,WR,JAX,ATL,12.80
Dezmon Briscoe,WR,TB,DAL,12.60
Reggie Wayne,WR,IND,TEN,12.30
Vincent Jackson,WR,LAC,BAL,12.30
Hakeem Nicks,WR,NYG,WAS,12.30
Santana Moss,WR,WAS,NYG,12.00
David Nelson,WR,BUF,MIA,12.00
Laurent Robinson,WR,DAL,TB,11.90
Mike Wallace,WR,PIT,SF,11.60
Steve Breaston,WR,KC,GB,11.50
TJ Houshmandzadeh,WR,OAK,DET,11.20
Antonio Brown,WR,PIT,SF,10.90
Chad Johnson,WR,NE,DEN,10.30
Golden Tate,WR,SEA,CHI,10.30
Brian Hartline,WR,MIA,BUF,9.90
Randall Cobb,WR,GB,KC,9.70
Larry Fitzgerald,WR,ARI,CLE,9.50
Louis Murphy,WR,OAK,DET,9.40
Victor Cruz,WR,NYG,WAS,9.40
Derek Hagan,WR,BUF,MIA,9.20
Brandon Lloyd,WR,LAR,CIN,9.20
Dwayne Bowe,WR,KC,GB,8.90
Donald Driver,WR,GB,KC,8.70
Jeremy Maclin,WR,PHI,NYJ,8.70
Mario Manningham,WR,NYG,WAS,8.70
Jared Cook,TE,TEN,IND,21.30
Vernon Davis,TE,SF,PIT,19.20
Jimmy Graham,TE,NO,MIN,19.00
Todd Heap,TE,ARI,CLE,13.90
Heath Miller,TE,PIT,SF,13.20
Ed Dickson,TE,BAL,LAC,12.60
Jason Witten,TE,DAL,TB,11.70
Jeremy Shockey,TE,CAR,HOU,11.50
Jermichael Finley,TE,GB,KC,11.30
Anthony Fasano,TE,MIA,BUF,10.80
Dustin Keller,TE,NYJ,PHI,10.30
Brandon Pettigrew,TE,DET,OAK,9.90
Kellen Winslow,TE,TB,DAL,9.70
Rob Gronkowski,TE,NE,DEN,9.30
Leonard Pope,TE,KC,GB,9.20
Kevin Boss,TE,OAK,DET,7.70
John Gilmore,TE,NO,MIN,7.20
Zach Miller,TE,SEA,CHI,6.30
Marcedes Lewis,TE,JAX,ATL,6.00
Dennis Pitta,TE,BAL,LAC,5.50
Martellus Bennett,TE,DAL,TB,5.30
Antonio Gates,TE,LAC,BAL,5.10
Owen Daniels,TE,HOU,CAR,4.90
Lance Kendricks,TE,LAR,CIN,4.90
Bear Pascoe,TE,NYG,WAS,4.60
Jermaine Gresham,TE,CIN,LAR,4.60
Charles Clay,TE,MIA,BUF,4.00
Anthony Becht,TE,KC,GB,4.00
Clay Harbor,TE,PHI,NYJ,4.00
Joel Dreessen,TE,HOU,CAR,3.90
Deon Butler,TE,SEA,CHI,3.90
Jordan Cameron,TE,CLE,ARI,3.80
Kyle Rudolph,TE,MIN,NO,3.50
Greg Olsen,TE,CAR,HOU,3.50
Jeff King,TE,ARI,CLE,3.40
Colin Cloherty,TE,JAX,ATL,3.10
Cameron Morrah,TE,SEA,CHI,3.10
Randy McMichael,TE,LAC,BAL,2.90
Jake Ballard,TE,NYG,WAS,2.50
Tony Gonzalez,TE,ATL,JAX,2.40
Kellen Davis,TE,CHI,SEA,2.00
Logan Paulsen,TE,WAS,NYG,1.90
Craig Stevens,TE,TEN,IND,1.90
