Player,Position,Team,Opponent,Points
Teddy Bridgewater,QB,MIN,CHI,32.94
Brock Osweiler,QB,DEN,PIT,30.74
Drew Brees,QB,NO,DET,29.74
Ben Roethlisberger,QB,PIT,DEN,27.90
Tyrod Taylor,QB,BUF,WAS,27.30
Russell Wilson,QB,SEA,CLE,26.56
Philip Rivers,QB,LAC,MIA,25.44
Blake Bortles,QB,JAX,ATL,25.28
Eli Manning,QB,NYG,CAR,25.20
Jameis Winston,QB,TB,LAR,24.02
Sam Bradford,QB,PHI,ARI,22.84
Matthew Stafford,QB,DET,NO,22.06
Derek Carr,QB,OAK,GB,21.24
Jimmy Clausen,QB,BAL,KC,20.24
Tom Brady,QB,NE,TEN,18.68
Case Keenum,QB,LAR,TB,17.06
Ryan Fitzpatrick,QB,NYJ,DAL,16.26
Zach Mettenberger,QB,TEN,NE,16.18
Jay Cutler,QB,CHI,MIN,15.34
Ryan Tannehill,QB,MIA,LAC,15.04
Carson Palmer,QB,ARI,PHI,14.96
Blaine Gabbert,QB,SF,CIN,13.80
Matt Ryan,QB,ATL,JAX,12.84
Alex Smith,QB,KC,BAL,12.54
AJ McCarron,QB,CIN,SF,11.88
Johnny Manziel,QB,CLE,SEA,11.14
Aaron Rodgers,QB,GB,OAK,11.06
Matt Hasselbeck,QB,IND,HOU,8.98
Brandon Weeden,QB,HOU,IND,8.80
Kellen Moore,QB,DAL,NYJ,7.32
TJ Yates,QB,HOU,IND,2.42
EJ Manuel,QB,BUF,WAS,0.60
Charlie Whitehurst,QB,IND,HOU,0.52
Matt Cassel,QB,DAL,NYJ,0.48
Marcus Mariota,QB,TEN,NE,0.28
Mark Sanchez,QB,PHI,ARI,0.00
Joe Webb,QB,CAR,NYG,0.00
Tarvaris Jackson,QB,SEA,CLE,-0.10
Trevor Siemian,QB,DEN,PIT,-0.10
Kellen Clemens,QB,LAC,MIA,-0.10
Drew Stanton,QB,ARI,PHI,-0.20
Chase Daniel,QB,KC,BAL,-0.20
Amari Cooper,WR,OAK,GB,33.00
Jordan Matthews,WR,PHI,ARI,32.90
Brandin Cooks,WR,NO,DET,31.40
Sammy Watkins,WR,BUF,WAS,31.10
DeSean Jackson,WR,WAS,BUF,30.30
Kamar Aiken,WR,BAL,KC,29.80
Julio Jones,WR,ATL,JAX,29.80
Mike Evans,WR,TB,LAR,27.70
Ted Ginn,WR,CAR,NYG,26.50
Demaryius Thomas,WR,DEN,PIT,23.10
Golden Tate,WR,DET,NO,22.50
Tavon Austin,WR,LAR,TB,22.30
Jermaine Kearse,WR,SEA,CLE,21.00
Stefon Diggs,WR,MIN,CHI,20.50
Doug Baldwin,WR,SEA,CLE,20.50
Anquan Boldin,WR,SF,CIN,20.40
Dorial Green-Beckham,WR,TEN,NE,20.30
James Jones,WR,GB,OAK,20.20
Odell Beckham Jr,WR,NYG,CAR,19.60
Martavis Bryant,WR,PIT,DEN,18.70
Markus Wheaton,WR,PIT,DEN,18.20
Jeremy Maclin,WR,KC,BAL,18.00
Willie Snead,WR,NO,DET,17.60
Eric Decker,WR,NYJ,DAL,17.50
DeAndre Hopkins,WR,HOU,IND,17.40
Tyler Lockett,WR,SEA,CLE,16.50
Donte Moncrief,WR,IND,HOU,16.10
Kenny Britt,WR,LAR,TB,15.10
Dez Bryant,WR,DAL,NYJ,15.00
Allen Robinson,WR,JAX,ATL,14.70
Rueben Randle,WR,NYG,CAR,14.70
Corey Brown,WR,CAR,NYG,14.10
Jarvis Landry,WR,MIA,LAC,13.40
Michael Crabtree,WR,OAK,GB,13.00
Marvin Jones,WR,CIN,SF,12.90
John Brown,WR,ARI,PHI,12.80
Brandon LaFell,WR,NE,TEN,12.80
Devante Parker,WR,MIA,LAC,12.70
Pierre Garcon,WR,WAS,BUF,12.40
Michael Floyd,WR,ARI,PHI,12.00
Adam Humphries,WR,TB,LAR,12.00
Marques Colston,WR,NO,DET,11.90
Brandon Marshall,WR,NYJ,DAL,11.40
Devin Funchess,WR,CAR,NYG,11.00
Dontrelle Inman,WR,LAC,MIA,10.80
Randall Cobb,WR,GB,OAK,10.80
Jaelen Strong,WR,HOU,IND,10.30
Josh Huff,WR,PHI,ARI,9.20
Delanie Walker,TE,TEN,NE,20.40
Greg Olsen,TE,CAR,NYG,19.90
Benjamin Watson,TE,NO,DET,16.90
Rob Gronkowski,TE,NE,TEN,16.40
Will Tye,TE,NYG,CAR,15.30
Antonio Gates,TE,LAC,MIA,14.80
Julius Thomas,TE,JAX,ATL,13.90
Travis Kelce,TE,KC,BAL,13.30
Tyler Kroft,TE,CIN,SF,12.10
Austin Seferian-Jenkins,TE,TB,LAR,11.90
Gary Barnidge,TE,CLE,SEA,11.90
Eric Ebron,TE,DET,NO,11.90
Zach Miller,TE,CHI,MIN,11.70
Luke Stocker,TE,TB,LAR,11.50
Jared Cook,TE,LAR,TB,10.40
Jason Witten,TE,DAL,NYJ,9.90
Darren Fells,TE,ARI,PHI,8.40
Blake Bell,TE,SF,CIN,8.30
Maxx Williams,TE,BAL,KC,8.10
Lance Kendricks,TE,LAR,TB,5.70
Brent Celek,TE,PHI,ARI,5.10
Anthony Fasano,TE,TEN,NE,5.10
Ryan Griffin,TE,HOU,IND,5.00
Mychal Rivera,TE,OAK,GB,5.00
Cameron Brate,TE,TB,LAR,5.00
Nick O'Leary,TE,BUF,WAS,4.70
Heath Miller,TE,PIT,DEN,4.20
Kyle Rudolph,TE,MIN,CHI,4.10
Luke Willson,TE,SEA,CLE,3.70
Marcedes Lewis,TE,JAX,ATL,3.60
Owen Daniels,TE,DEN,PIT,3.40
Ladarius Green,TE,LAC,MIA,3.30
Clive Walford,TE,OAK,GB,3.00
James Hanna,TE,DAL,NYJ,2.70
Chris Gragg,TE,BUF,WAS,2.60
Coby Fleener,TE,IND,HOU,2.20
Vance McDonald,TE,SF,CIN,2.00
Ryan Hewitt,TE,CIN,SF,1.90
Dion Sims,TE,MIA,LAC,1.90
Kellen Davis,TE,NYJ,DAL,1.90
