Rank,Player,Position,Week,Team,Opponent,Comp,PassAtt,CompPct,PassYds,PassYdsPerAtt,PassTD,Interceptions,QBRating,RushAtt,RushYds,RushYdsPerAtt,RushTD,Points,Year
1,Cam Newton,QB,15,CAR,NYG,25,45,56,340,8,5,0,117,8,100,13,0,48.60,2015
2,Kirk Cousins,QB,15,WAS,BUF,22,28,79,319,11,4,0,154,3,11,4,1,38.86,2015
3,Teddy Bridgewater,QB,15,MIN,CHI,17,20,85,231,12,4,0,154,4,17,4,1,32.94,2015
4,Brock Osweiler,QB,15,DEN,PIT,21,44,48,296,7,3,1,83,5,19,4,1,30.74,2015
5,Drew Brees,QB,15,NO,DET,34,52,65,341,7,3,0,103,1,11,11,0,29.74,2015
6,Ben Roethlisberger,QB,15,PIT,DEN,40,55,73,380,7,3,2,95,3,-3,-1,0,27.90,2015
7,Tyrod Taylor,QB,15,BUF,WAS,16,27,59,235,9,2,0,112,9,79,9,0,27.30,2015
8,Russell Wilson,QB,15,SEA,CLE,21,30,70,249,8,3,0,128,5,46,9,0,26.56,2015
9,Philip Rivers,QB,15,LAC,MIA,26,36,72,311,9,3,2,103,0,0,0,0,25.44,2015
10,Blake Bortles,QB,15,JAX,ATL,23,38,61,297,8,1,1,83,6,44,7,1,25.28,2015
11,Eli Manning,QB,15,NYG,CAR,29,46,63,245,5,4,1,97,1,4,4,0,25.20,2015
12,Jameis Winston,QB,15,TB,LAR,29,50,58,363,7,2,1,86,2,5,3,0,24.02,2015
13,Sam Bradford,QB,15,PHI,ARI,28,41,68,361,9,2,2,92,1,4,4,0,22.84,2015
14,Matthew Stafford,QB,15,DET,NO,22,25,88,254,10,3,0,149,4,-1,0,0,22.06,2015
15,Derek Carr,QB,15,OAK,GB,23,47,49,276,6,2,2,64,4,42,11,0,21.24,2015
16,Jimmy Clausen,QB,15,BAL,KC,26,45,58,281,6,2,2,73,5,30,6,0,20.24,2015
17,Tom Brady,QB,15,NE,TEN,23,35,66,267,8,2,0,108,0,0,0,0,18.68,2015
18,Case Keenum,QB,15,LAR,TB,14,17,82,234,14,2,0,158,3,-3,-1,0,17.06,2015
19,Ryan Fitzpatrick,QB,15,NYJ,DAL,26,39,67,299,8,1,1,87,5,13,3,0,16.26,2015
20,Zach Mettenberger,QB,15,TEN,NE,20,28,71,242,9,2,2,92,2,5,3,0,16.18,2015
21,Jay Cutler,QB,15,CHI,MIN,26,37,70,231,6,2,1,93,1,1,1,0,15.34,2015
22,Ryan Tannehill,QB,15,MIA,LAC,20,34,59,216,6,0,0,78,3,4,1,1,15.04,2015
23,Carson Palmer,QB,15,ARI,PHI,20,32,63,274,9,1,0,100,0,0,0,0,14.96,2015
24,Blaine Gabbert,QB,15,SF,CIN,30,50,60,295,6,1,3,58,2,10,5,0,13.80,2015
25,Matt Ryan,QB,15,ATL,JAX,22,35,63,246,7,1,1,81,3,0,0,0,12.84,2015
26,Alex Smith,QB,15,KC,BAL,21,25,84,171,7,1,0,109,4,17,4,0,12.54,2015
27,AJ McCarron,QB,15,CIN,SF,15,21,71,192,9,1,0,116,2,2,1,0,11.88,2015
28,Johnny Manziel,QB,15,CLE,SEA,19,32,59,161,5,1,1,70,2,17,9,0,11.14,2015
29,Aaron Rodgers,QB,15,GB,OAK,22,39,56,204,5,1,1,69,1,-1,-1,0,11.06,2015
30,Matt Hasselbeck,QB,15,IND,HOU,17,30,57,147,5,1,1,67,1,1,1,0,8.98,2015
31,Brandon Weeden,QB,15,HOU,IND,11,18,61,105,6,1,0,96,5,6,1,0,8.80,2015
32,Kellen Moore,QB,15,DAL,NYJ,15,25,60,158,6,1,3,52,0,0,0,0,7.32,2015
33,TJ Yates,QB,15,HOU,IND,6,10,60,68,7,0,1,41,1,7,7,0,2.42,2015
34,EJ Manuel,QB,15,BUF,WAS,0,0,0,0,0,0,0,0,2,6,3,0,0.60,2015
35,Charlie Whitehurst,QB,15,IND,HOU,1,2,50,13,7,0,0,71,0,0,0,0,0.52,2015
36,Matt Cassel,QB,15,DAL,NYJ,3,8,38,37,5,0,1,13,0,0,0,0,0.48,2015
37,Marcus Mariota,QB,15,TEN,NE,3,6,50,32,5,0,0,66,0,0,0,0,0.28,2015
38,Joe Webb,QB,15,CAR,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2015
39,Mark Sanchez,QB,15,PHI,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2015
40,Trevor Siemian,QB,15,DEN,PIT,0,0,0,0,0,0,0,0,1,-1,-1,0,-0.10,2015
41,Tarvaris Jackson,QB,15,SEA,CLE,0,0,0,0,0,0,0,0,1,-1,-1,0,-0.10,2015
42,Kellen Clemens,QB,15,LAC,MIA,0,0,0,0,0,0,0,0,1,-1,-1,0,-0.10,2015
43,Chase Daniel,QB,15,KC,BAL,0,0,0,0,0,0,0,0,2,-2,-1,0,-0.20,2015
44,Drew Stanton,QB,15,ARI,PHI,0,1,0,0,0,0,0,40,2,-2,-1,0,-0.20,2015
