Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Wil Lutz,K,8,NO,SEA,4,4,100,53,1,1,0.00,2016
2,Graham Gano,K,8,CAR,ARI,3,3,100,52,3,3,0.00,2016
3,Stephen Gostkowski,K,8,NE,BUF,2,2,100,51,5,5,0.00,2016
4,Caleb Sturgis,K,8,PHI,DAL,3,3,100,55,2,2,0.00,2016
5,Ryan Succop,K,8,TEN,JAX,3,3,100,33,3,4,0.00,2016
6,Cairo Santos,K,8,KC,IND,3,4,75,44,3,3,0.00,2016
7,Dan Bailey,K,8,DAL,PHI,3,3,100,49,2,2,0.00,2016
8,Dustin Hopkins,K,8,WAS,CIN,2,4,50,40,3,3,0.00,2016
9,Brandon McManus,K,8,DEN,LAC,2,2,100,28,3,3,0.00,2016
10,Matt Bryant,K,8,ATL,GB,2,2,100,40,3,3,0.00,2016
11,Steven Hauschka,K,8,SEA,NO,2,2,100,44,2,2,0.00,2016
12,Nick Novak,K,8,HOU,DET,2,2,100,36,2,2,0.00,2016
13,Cody Parkey,K,8,CLE,NYJ,2,2,100,41,2,2,0.00,2016
14,Connor Barth,K,8,CHI,MIN,2,2,100,30,2,2,0.00,2016
15,Matt Prater,K,8,DET,HOU,2,3,67,47,1,1,0.00,2016
16,Nick Folk,K,8,NYJ,CLE,1,1,100,24,4,4,0.00,2016
17,Sebastian Janikowski,K,8,OAK,TB,1,3,33,31,3,3,0.00,2016
18,Mason Crosby,K,8,GB,ATL,1,1,100,29,3,3,0.00,2016
19,Dan Carpenter,K,8,BUF,NE,1,2,50,23,2,2,0.00,2016
20,Roberto Aguayo,K,8,TB,OAK,1,1,100,41,1,2,0.00,2016
21,Blair Walsh,K,8,MIN,CHI,1,1,100,30,1,1,0.00,2016
22,Mike Nugent,K,8,CIN,WAS,0,1,0,0,3,4,0.00,2016
23,Jason Myers,K,8,JAX,TEN,0,0,0,0,2,2,0.00,2016
24,Adam Vinatieri,K,8,IND,KC,0,0,0,0,2,2,0.00,2016
25,Chandler Catanzaro,K,8,ARI,CAR,0,0,0,0,2,2,0.00,2016
26,Josh Lambo,K,8,LAC,DEN,0,1,0,0,1,2,0.00,2016
