Rank,Player,Position,Week,Team,Opponent,TFL,Sacks,QBHits,Interceptions,FumRec,Safeties,DefTD,ReturnTD,PtsAllowed,Points,Year
1,Denver Broncos,DST,8,DEN,LAC,5,4,13,3,0,0,1,0,19,22.00,2016
2,Carolina Panthers,DST,8,CAR,ARI,8,8,12,1,1,0,1,0,20,19.00,2016
3,Los Angeles Chargers,DST,8,LAC,DEN,5,1,6,1,2,0,1,0,27,13.00,2016
4,Kansas City Chiefs,DST,8,KC,IND,7,6,12,1,1,0,0,0,14,11.00,2016
5,Seattle Seahawks,DST,8,SEA,NO,4,2,3,0,1,0,1,0,25,10.00,2016
6,Chicago Bears,DST,8,CHI,MIN,4,5,9,0,0,0,0,0,10,9.00,2016
7,Washington Redskins,DST,8,WAS,CIN,4,3,9,1,1,0,0,0,27,7.00,2016
8,Detroit Lions,DST,8,DET,HOU,8,3,5,1,0,0,0,0,20,6.00,2016
9,Houston Texans,DST,8,HOU,DET,3,1,3,0,0,0,0,0,13,5.00,2016
10,Dallas Cowboys,DST,8,DAL,PHI,9,3,7,0,1,0,0,0,23,5.00,2016
11,Tennessee Titans,DST,8,TEN,JAX,4,2,3,0,1,0,0,0,22,4.00,2016
12,New Orleans Saints,DST,8,NO,SEA,2,1,4,1,0,0,0,0,20,4.00,2016
13,New York Jets,DST,8,NYJ,CLE,3,1,6,2,0,0,0,0,28,4.00,2016
14,Cincinnati Bengals,DST,8,CIN,WAS,4,1,7,1,0,0,0,0,27,3.00,2016
15,Tampa Bay Buccaneers,DST,8,TB,OAK,6,2,3,0,1,0,0,0,30,3.00,2016
16,Arizona Cardinals,DST,8,ARI,CAR,4,1,4,0,1,0,0,0,30,3.00,2016
17,Philadelphia Eagles,DST,8,PHI,DAL,6,2,8,1,0,0,0,0,29,3.00,2016
18,Indianapolis Colts,DST,8,IND,KC,6,3,6,0,0,0,0,0,30,2.00,2016
19,Oakland Raiders,DST,8,OAK,TB,7,2,7,0,0,0,0,0,24,2.00,2016
20,New England Patriots,DST,8,NE,BUF,3,2,4,0,0,0,0,0,25,2.00,2016
21,Atlanta Falcons,DST,8,ATL,GB,7,3,4,0,0,0,0,0,32,2.00,2016
22,Minnesota Vikings,DST,8,MIN,CHI,3,1,6,0,0,0,0,0,20,2.00,2016
23,Cleveland Browns,DST,8,CLE,NYJ,3,2,6,0,0,0,0,0,31,1.00,2016
24,Buffalo Bills,DST,8,BUF,NE,9,5,9,0,0,0,0,0,41,1.00,2016
25,Green Bay Packers,DST,8,GB,ATL,3,2,5,0,0,0,0,0,33,1.00,2016
26,Jacksonville Jaguars,DST,8,JAX,TEN,3,0,1,0,0,0,0,0,36,-4.00,2016
