Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Jimmy Graham,TE,6,NO,TB,11,7,64,124,0,43,11,18,0,0,0,0,0,22.40,2011
2,Aaron Hernandez,TE,6,NE,DAL,14,8,57,68,1,16,5,9,0,0,0,1,1,19.80,2011
3,Brandon Pettigrew,TE,6,DET,SF,14,8,57,42,1,16,3,5,0,0,0,0,0,18.20,2011
4,Dallas Clark,TE,6,IND,CIN,7,6,86,53,1,17,8,9,0,0,0,1,1,16.30,2011
5,Fred Davis,TE,6,WAS,PHI,11,6,55,95,0,31,9,16,0,0,0,0,0,15.50,2011
6,Jason Witten,TE,6,DAL,NE,4,4,100,48,1,20,12,12,0,0,0,0,0,14.80,2011
7,Rob Gronkowski,TE,6,NE,DAL,7,7,100,74,0,20,11,11,0,0,0,0,0,14.40,2011
8,Brent Celek,TE,6,PHI,WAS,9,4,44,42,1,21,5,11,0,0,0,0,0,14.20,2011
9,Jake Ballard,TE,6,NYG,BUF,5,5,100,81,0,24,16,16,0,0,0,0,0,13.10,2011
10,Lance Kendricks,TE,6,LAR,GB,6,4,67,71,0,45,12,18,0,0,0,0,0,11.10,2011
11,Kevin Boss,TE,6,OAK,CLE,1,1,100,35,1,35,35,35,0,0,0,0,0,10.50,2011
12,Jeremy Shockey,TE,6,CAR,ATL,7,4,57,60,0,29,9,15,0,0,0,1,0,10.00,2011
13,Visanthe Shiancoe,TE,6,MIN,CHI,7,5,71,45,0,11,6,9,0,0,0,0,0,9.50,2011
14,Alex Smith,TE,6,CLE,OAK,3,2,67,14,1,13,5,7,0,0,0,0,0,9.40,2011
15,Greg Olsen,TE,6,CAR,ATL,10,5,50,42,0,10,4,8,0,0,0,0,0,9.20,2011
16,Delanie Walker,TE,6,SF,DET,3,2,67,11,1,6,4,6,0,0,0,0,0,9.10,2011
17,Kellen Winslow,TE,6,TB,NO,10,5,50,40,0,15,4,8,0,0,0,0,0,9.00,2011
18,Dustin Keller,TE,6,NYJ,MIA,5,2,40,51,0,27,10,26,0,0,0,0,0,7.10,2011
19,Heath Miller,TE,6,PIT,JAX,6,4,67,27,0,13,5,7,0,0,0,0,0,6.70,2011
20,Benjamin Watson,TE,6,CLE,OAK,8,3,38,35,0,18,4,12,0,0,0,0,0,6.50,2011
21,Jermaine Gresham,TE,6,CIN,IND,6,4,67,23,0,13,4,6,0,0,0,0,0,6.30,2011
22,Tony Gonzalez,TE,6,ATL,CAR,3,3,100,29,0,13,10,10,0,0,0,0,0,5.90,2011
23,Marcedes Lewis,TE,6,JAX,PIT,8,2,25,29,0,21,4,15,0,0,0,0,0,4.90,2011
24,Kellen Davis,TE,6,CHI,MIN,3,2,67,27,0,24,9,14,0,0,0,0,0,4.70,2011
25,Ed Dickson,TE,6,BAL,HOU,3,2,67,20,0,13,7,10,0,0,0,0,0,4.00,2011
26,Kyle Rudolph,TE,6,MIN,CHI,3,2,67,20,0,18,7,10,0,0,0,0,0,4.00,2011
27,Bear Pascoe,TE,6,NYG,BUF,2,2,100,17,0,14,9,9,0,0,0,0,0,3.70,2011
28,Owen Daniels,TE,6,HOU,BAL,3,2,67,13,0,8,4,7,0,0,0,0,0,3.30,2011
29,Martellus Bennett,TE,6,DAL,NE,3,2,67,13,0,8,4,7,0,0,0,0,0,3.30,2011
30,Evan Moore,TE,6,CLE,OAK,3,2,67,12,0,11,4,6,0,0,0,0,0,3.20,2011
31,Jermichael Finley,TE,6,GB,LAR,4,1,25,20,0,20,5,20,0,0,0,0,0,3.00,2011
32,Dennis Pitta,TE,6,BAL,HOU,5,2,40,9,0,6,2,5,0,0,0,0,0,2.90,2011
33,Vernon Davis,TE,6,SF,DET,2,2,100,8,0,6,4,4,0,0,0,0,0,2.80,2011
34,Anthony Fasano,TE,6,MIA,NYJ,2,1,50,13,0,13,7,13,0,0,0,0,0,2.30,2011
35,Will Heller,TE,6,DET,SF,1,1,100,9,0,9,9,9,0,0,0,0,0,1.90,2011
36,Zack Pianalto,TE,6,TB,NO,1,1,100,9,0,9,9,9,0,0,0,0,0,1.90,2011
37,Michael Palmer,TE,6,ATL,CAR,1,1,100,8,0,8,8,8,0,0,0,0,0,1.80,2011
38,Reggie Kelly,TE,6,ATL,CAR,1,1,100,7,0,7,7,7,0,0,0,0,0,1.70,2011
39,John Phillips,TE,6,DAL,NE,1,1,100,7,0,7,7,7,0,0,0,0,0,1.70,2011
40,Jimmy Kleinsasser,TE,6,MIN,CHI,1,1,100,4,0,4,4,4,0,0,0,0,0,1.40,2011
41,Brandon Myers,TE,6,OAK,CLE,1,1,100,3,0,3,3,3,0,0,0,0,0,1.30,2011
42,Donald Lee,TE,6,CIN,IND,1,1,100,2,0,2,2,2,0,0,0,0,0,1.20,2011
43,David Ausberry,TE,6,OAK,CLE,1,1,100,4,0,4,4,4,1,-2,0,0,0,1.20,2011
44,Jacob Tamme,TE,6,IND,CIN,1,1,100,1,0,1,1,1,0,0,0,0,0,1.10,2011
45,Chris Cooley,TE,6,WAS,PHI,1,1,100,-1,0,-1,-1,-1,0,0,0,0,0,0.90,2011
46,Scott Chandler,TE,6,BUF,NYG,1,1,100,-3,0,-3,-3,-3,0,0,0,0,0,0.70,2011
47,Ben Hartsock,TE,6,CAR,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2011
48,Brody Eldridge,TE,6,IND,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2011
49,Justin Peelle,TE,6,SF,DET,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2011
50,Tom Crabtree,TE,6,GB,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2011
