Player,Position,Team,Opponent,Points
Tony Romo,QB,DAL,WAS,33.34
Robert Griffin III,QB,WAS,DAL,33.06
Matthew Stafford,QB,DET,HOU,29.34
Eli Manning,QB,NYG,GB,23.16
Colin Kaepernick,QB,SF,NO,20.94
Andy Dalton,QB,CIN,OAK,20.90
Joe Flacco,QB,BAL,LAC,20.80
Russell Wilson,QB,SEA,MIA,20.76
Drew Brees,QB,NO,SF,20.48
Matt Ryan,QB,ATL,TB,20.42
Peyton Manning,QB,DEN,KC,18.50
Matt Schaub,QB,HOU,DET,18.50
Chad Henne,QB,JAX,TEN,17.44
Mark Sanchez,QB,NYJ,NE,17.24
Ryan Tannehill,QB,MIA,SEA,16.42
Sam Bradford,QB,LAR,ARI,15.30
Andrew Luck,QB,IND,BUF,14.60
Jake Locker,QB,TEN,JAX,14.54
Philip Rivers,QB,LAC,BAL,13.12
Aaron Rodgers,QB,GB,NYG,12.96
Ryan Lindley,QB,ARI,LAR,11.58
Jay Cutler,QB,CHI,MIN,11.42
Ryan Fitzpatrick,QB,BUF,IND,11.40
Josh Freeman,QB,TB,ATL,10.24
Brandon Weeden,QB,CLE,PIT,10.12
Christian Ponder,QB,MIN,CHI,8.96
Carson Palmer,QB,OAK,CIN,7.84
Charlie Batch,QB,PIT,CLE,4.96
Nick Foles,QB,PHI,CAR,4.76
Brady Quinn,QB,KC,DEN,3.94
Graham Harrell,QB,GB,NYG,0.44
Colt McCoy,QB,CLE,PIT,0.00
Alex Smith,QB,SF,NO,0.00
Kellen Clemens,QB,LAR,ARI,0.00
Chase Daniel,QB,NO,SF,0.00
Ryan Mallett,QB,NE,NYJ,-0.30
Andre Johnson,WR,HOU,DET,30.80
Julio Jones,WR,ATL,TB,29.70
Chris Givens,WR,LAR,ARI,25.60
Torrey Smith,WR,BAL,LAC,24.40
Cecil Shorts,WR,JAX,TEN,23.50
Davone Bess,WR,MIA,SEA,22.90
Ryan Broyles,WR,DET,HOU,21.60
Reggie Wayne,WR,IND,BUF,21.20
Brandon Marshall,WR,CHI,MIN,21.20
Mohamed Sanu,WR,CIN,OAK,20.40
Wes Welker,WR,NE,NYJ,20.10
Steve Johnson,WR,BUF,IND,19.60
Andre Roberts,WR,ARI,LAR,19.50
Pierre Garcon,WR,WAS,DAL,19.30
AJ Green,WR,CIN,OAK,19.20
Hakeem Nicks,WR,NYG,GB,18.70
Justin Blackmon,WR,JAX,TEN,18.40
TY Hilton,WR,IND,BUF,18.30
Demaryius Thomas,WR,DEN,KC,18.20
Brandon LaFell,WR,CAR,PHI,17.00
Malcom Floyd,WR,LAC,BAL,16.50
Jeremy Kerley,WR,NYJ,NE,15.60
Jordy Nelson,WR,GB,NYG,15.10
Vincent Jackson,WR,TB,ATL,14.60
Santana Moss,WR,WAS,DAL,14.20
Aldrick Robinson,WR,WAS,DAL,13.80
Cole Beasley,WR,DAL,WAS,13.80
Julian Edelman,WR,NE,NYJ,13.70
Marques Colston,WR,NO,SF,13.60
Tiquan Underwood,WR,TB,ATL,12.70
Victor Cruz,WR,NYG,GB,12.60
Danario Alexander,WR,LAC,BAL,12.40
Mario Manningham,WR,SF,NO,11.90
Jarius Wright,WR,MIN,CHI,11.90
Kenny Britt,WR,TEN,JAX,11.50
Emmanuel Sanders,WR,PIT,CLE,11.50
Mike Thomas,WR,DET,HOU,11.10
Dwayne Harris,WR,DAL,WAS,11.10
Roddy White,WR,ATL,TB,10.70
Rueben Randle,WR,NYG,GB,10.60
Jeremy Maclin,WR,PHI,CAR,10.50
Eric Decker,WR,DEN,KC,10.40
Brandon Stokley,WR,DEN,KC,10.20
