Player,Position,Team,Opponent,Points
Aaron Rodgers,QB,GB,TB,24.24
Josh Freeman,QB,TB,GB,23.20
Tom Brady,QB,NE,MIA,21.78
Matt Cassel,QB,KC,JAX,20.78
Philip Rivers,QB,LAC,NYG,19.86
Matt Hasselbeck,QB,SEA,DET,19.66
Matt Schaub,QB,HOU,IND,19.54
Ben Roethlisberger,QB,PIT,DEN,19.02
Peyton Manning,QB,IND,HOU,18.92
Drew Brees,QB,NO,CAR,18.60
Tony Romo,QB,DAL,PHI,17.98
David Garrard,QB,JAX,KC,17.46
Eli Manning,QB,NYG,LAC,16.60
Alex Smith,QB,SF,TEN,16.54
Jason Campbell,QB,WAS,ATL,14.84
Vince Young,QB,TEN,SF,14.28
Carson Palmer,QB,CIN,BAL,13.96
Matthew Stafford,QB,DET,SEA,11.12
Donovan McNabb,QB,PHI,DAL,10.98
Matt Ryan,QB,ATL,WAS,9.00
Chad Henne,QB,MIA,NE,8.76
Jake Delhomme,QB,CAR,NO,6.44
Joe Flacco,QB,BAL,CIN,6.10
Kyle Orton,QB,DEN,PIT,5.84
Pat White,QB,MIA,NE,4.50
Seneca Wallace,QB,SEA,DET,0.60
Todd Collins,QB,WAS,ATL,0.48
Michael Vick,QB,PHI,DAL,0.20
Matt Flynn,QB,GB,TB,0.00
Mark Brunell,QB,NO,CAR,0.00
Matt Leinart,QB,ARI,CHI,-1.00
Mike Sims-Walker,WR,JAX,KC,29.70
Brandon Marshall,WR,DEN,PIT,25.20
Hines Ward,WR,PIT,DEN,23.40
James Jones,WR,GB,TB,23.30
Andre Johnson,WR,HOU,IND,23.30
Vincent Jackson,WR,LAC,NYG,22.40
Chris Chambers,WR,KC,JAX,22.00
Jason Hill,WR,SF,TEN,21.00
Robert Meachem,WR,NO,CAR,20.80
Steve Breaston,WR,ARI,CHI,20.10
Steve Smith,WR,NYG,LAC,19.70
Wes Welker,WR,NE,MIA,17.40
Mike Wallace,WR,PIT,DEN,17.20
Donald Driver,WR,GB,TB,17.10
Earl Bennett,WR,CHI,ARI,16.30
TJ Houshmandzadeh,WR,SEA,DET,15.40
Lance Long,WR,KC,JAX,15.40
Santonio Holmes,WR,PIT,DEN,15.30
Devin Hester,WR,CHI,ARI,15.10
Nate Burleson,WR,SEA,DET,14.50
Laveranues Coles,WR,CIN,BAL,14.00
Justin Gage,WR,TEN,SF,13.70
Reggie Wayne,WR,IND,HOU,13.40
Roy Williams,WR,DAL,PHI,12.50
Eddie Royal,WR,DEN,PIT,12.40
Greg Camarillo,WR,MIA,NE,12.10
Devery Henderson,WR,NO,CAR,12.00
Miles Austin,WR,DAL,PHI,11.90
Kevin Walter,WR,HOU,IND,11.70
Davone Bess,WR,MIA,NE,11.60
Bryant Johnson,WR,DET,SEA,11.50
Dwayne Bowe,WR,KC,JAX,11.40
Jacoby Jones,WR,HOU,IND,11.20
Mario Manningham,WR,NYG,LAC,11.20
Greg Jennings,WR,GB,TB,11.10
Pierre Garcon,WR,IND,HOU,11.00
Sammie Stroughter,WR,TB,GB,10.90
Chad Johnson,WR,CIN,BAL,10.60
Andre Caldwell,WR,CIN,BAL,10.50
Steve Smith,WR,CAR,NO,10.40
Santana Moss,WR,WAS,ATL,10.30
Patrick Crayton,WR,DAL,PHI,9.40
Hakeem Nicks,WR,NYG,LAC,7.80
Maurice Stovall,WR,TB,GB,7.60
Jeremy Maclin,WR,PHI,DAL,7.40
Early Doucet,WR,ARI,CHI,7.10
Dwayne Jarrett,WR,CAR,NO,7.00
Johnny Knox,WR,CHI,ARI,7.00
Vernon Davis,TE,SF,TEN,23.20
Brandon Pettigrew,TE,DET,SEA,20.00
Kellen Winslow,TE,TB,GB,15.70
Tony Gonzalez,TE,ATL,WAS,15.10
Brent Celek,TE,PHI,DAL,12.90
Joey Haynos,TE,MIA,NE,11.90
Antonio Gates,TE,LAC,NYG,11.70
Jason Witten,TE,DAL,PHI,11.30
John Carlson,TE,SEA,DET,10.20
Casey Fitzsimmons,TE,DET,SEA,10.10
Kevin Boss,TE,NYG,LAC,9.70
Ben Patrick,TE,ARI,CHI,9.50
Benjamin Watson,TE,NE,MIA,8.90
Mike Sellers,TE,WAS,ATL,8.60
Anthony Becht,TE,ARI,CHI,8.50
Gary Barnidge,TE,CAR,NO,7.60
Todd Yoder,TE,WAS,ATL,7.30
Kris Wilson,TE,LAC,NYG,7.20
Todd Heap,TE,BAL,CIN,5.80
Jeremy Shockey,TE,NO,CAR,5.60
JP Foschi,TE,CIN,BAL,5.20
Heath Miller,TE,PIT,DEN,4.80
Fred Davis,TE,WAS,ATL,4.60
Bo Scaife,TE,TEN,SF,4.00
Joel Dreessen,TE,HOU,IND,3.50
Anthony Fasano,TE,MIA,NE,3.00
Daniel Graham,TE,DEN,PIT,2.80
Darcy Johnson,TE,NYG,LAC,2.40
Delanie Walker,TE,SF,TEN,2.30
Alex Smith,TE,PHI,DAL,2.10
Anthony Hill,TE,HOU,IND,1.90
Deon Butler,TE,SEA,DET,1.80
Desmond Clark,TE,CHI,ARI,1.70
Leonard Pope,TE,KC,JAX,1.50
Donald Lee,TE,GB,TB,1.50
Tony Scheffler,TE,DEN,PIT,1.30
Marcedes Lewis,TE,JAX,KC,1.30
Matt Spaeth,TE,PIT,DEN,0.00
Jared Cook,TE,TEN,SF,0.00
LJ Smith,TE,BAL,CIN,0.00
Daniel Coats,TE,CIN,BAL,0.00
Chris Baker,TE,NE,MIA,0.00
Spencer Havner,TE,GB,TB,0.00
Darnell Dinkins,TE,NO,CAR,0.00
John Phillips,TE,DAL,PHI,0.00
Brandon Manumaleuna,TE,LAC,NYG,0.00
Alge Crumpler,TE,TEN,SF,0.00
Sean Ryan,TE,KC,JAX,0.00
DeAngelo Williams,RB,CAR,NO,32.10
Frank Gore,RB,SF,TEN,28.80
Joseph Addai,RB,IND,HOU,28.20
Ray Rice,RB,BAL,CIN,27.50
Julius Jones,RB,SEA,DET,23.40
Maurice Jones-Drew,RB,JAX,KC,22.40
Cedric Benson,RB,CIN,BAL,20.70
Rashard Mendenhall,RB,PIT,DEN,20.40
Pierre Thomas,RB,NO,CAR,19.10
Matt Forte,RB,CHI,ARI,16.70
LeSean McCoy,RB,PHI,DAL,16.50
