,Player,Position,Team,Opponent,Points,PlayerID
0,Aaron Rodgers,QB,GB,TB,24.24,00-0023459
1,Josh Freeman,QB,TB,GB,23.2,00-0026993
2,Tom Brady,QB,NE,MIA,21.78,00-0019596
3,Matt Cassel,QB,KC,JAX,20.78,00-0023662
4,Philip Rivers,QB,LAC,NYG,19.86,00-0022942
5,Matt Hasselbeck,QB,SEA,DET,19.66,00-0007091
6,Matt Schaub,QB,HOU,IND,19.54,00-0022787
7,Ben Roethlisberger,QB,PIT,DEN,19.02,00-0022924
8,Peyton Manning,QB,IND,HOU,18.92,00-0010346
9,Drew Brees,QB,NO,CAR,18.6,00-0020531
10,Tony Romo,QB,DAL,PHI,17.98,00-0021678
11,David Garrard,QB,JAX,KC,17.46,00-0021231
12,Eli Manning,QB,NYG,LAC,16.6,00-0022803
13,Alex Smith,QB,SF,TEN,16.54,00-0023436
14,Jason Campbell,QB,WAS,ATL,14.84,00-0023460
15,Vince Young,QB,TEN,SF,14.28,00-0024218
16,Carson Palmer,QB,CIN,BAL,13.96,00-0021429
17,Matthew Stafford,QB,DET,SEA,11.12,00-0026498
18,Donovan McNabb,QB,PHI,DAL,10.98,00-0011022
19,Matt Ryan,QB,ATL,WAS,9.0,00-0026143
20,Chad Henne,QB,MIA,NE,8.76,00-0026197
21,Jake Delhomme,QB,CAR,NO,6.44,00-0004161
22,Joe Flacco,QB,BAL,CIN,6.1,00-0026158
23,Kyle Orton,QB,DEN,PIT,5.84,00-0023541
24,Pat White,QB,MIA,NE,4.5,00-0027020
25,Seneca Wallace,QB,SEA,DET,0.6,00-0022055
26,Todd Collins,QB,WAS,ATL,0.48,00-0003315
27,Michael Vick,QB,PHI,DAL,0.2,
28,Matt Flynn,QB,GB,TB,0.0,00-0026349
29,Mark Brunell,QB,NO,CAR,0.0,00-0002110
30,Matt Leinart,QB,ARI,CHI,-1.0,00-0024225
31,Mike Sims-Walker,WR,JAX,KC,29.7,00-0025466
32,Brandon Marshall,WR,DEN,PIT,25.2,00-0029620
33,Hines Ward,WR,PIT,DEN,23.4,00-0017162
34,James Jones,WR,GB,TB,23.3,00-0025465
35,Andre Johnson,WR,HOU,IND,23.3,00-0022044
36,Vincent Jackson,WR,LAC,NYG,22.4,00-0023496
37,Chris Chambers,WR,KC,JAX,22.0,00-0020446
38,Jason Hill,WR,SF,TEN,21.0,00-0025463
39,Robert Meachem,WR,NO,CAR,20.8,00-0025414
40,Steve Breaston,WR,ARI,CHI,20.1,00-0025529
41,Steve Smith,WR,NYG,LAC,19.7,
42,Wes Welker,WR,NE,MIA,17.4,00-0022427
43,Mike Wallace,WR,PIT,DEN,17.2,00-0026901
44,Donald Driver,WR,GB,TB,17.1,00-0004541
45,Earl Bennett,WR,CHI,ARI,16.3,00-0026210
46,TJ Houshmandzadeh,WR,SEA,DET,15.4,
