Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Larry Fitzgerald,WR,9,ARI,CHI,14,9,64,123,2,18,9,14,0,0,0,0,0,36.30,2009
2,Randy Moss,WR,9,NE,MIA,11,6,55,147,1,71,13,25,0,0,0,0,0,31.70,2009
3,Mike Sims-Walker,WR,9,JAX,KC,8,6,75,147,1,61,18,25,0,0,0,0,0,29.70,2009
4,Brandon Marshall,WR,9,DEN,PIT,15,11,73,112,0,18,8,10,0,0,0,0,0,25.20,2009
5,Hines Ward,WR,9,PIT,DEN,9,7,78,44,2,18,5,6,0,0,0,0,0,23.40,2009
6,James Jones,WR,9,GB,TB,6,4,67,103,1,74,17,26,0,0,0,0,0,23.30,2009
7,Andre Johnson,WR,9,HOU,IND,13,10,77,103,0,24,8,10,0,0,0,0,0,23.30,2009
8,Vincent Jackson,WR,9,LAC,NYG,7,5,71,58,2,18,8,12,1,-4,0,0,0,22.40,2009
9,Chris Chambers,WR,9,KC,JAX,4,3,75,70,2,54,18,23,0,0,0,0,0,22.00,2009
10,Jason Hill,WR,9,SF,TEN,4,4,100,50,2,30,13,13,0,0,0,0,0,21.00,2009
11,Robert Meachem,WR,9,NO,CAR,6,5,83,98,1,54,16,20,0,0,0,0,0,20.80,2009
12,Steve Breaston,WR,9,ARI,CHI,6,5,83,66,1,24,11,13,1,25,0,0,0,20.10,2009
13,Steve Smith,WR,9,NYG,LAC,11,8,73,57,1,19,5,7,0,0,0,0,0,19.70,2009
14,Wes Welker,WR,9,NE,MIA,10,9,90,84,0,14,8,9,0,0,0,0,0,17.40,2009
15,Mike Wallace,WR,9,PIT,DEN,8,4,50,69,1,25,9,17,1,3,0,0,0,17.20,2009
16,Donald Driver,WR,9,GB,TB,9,4,44,71,1,32,8,18,0,0,0,0,0,17.10,2009
17,Earl Bennett,WR,9,CHI,ARI,11,7,64,93,0,29,9,13,0,0,0,0,0,16.30,2009
18,TJ Houshmandzadeh,WR,9,SEA,DET,9,6,67,34,1,15,4,6,0,0,0,1,0,15.40,2009
19,Lance Long,WR,9,KC,JAX,11,8,73,74,0,27,7,9,0,0,0,0,0,15.40,2009
20,Santonio Holmes,WR,9,PIT,DEN,6,6,100,93,0,35,16,16,0,0,0,0,0,15.30,2009
21,Devin Hester,WR,9,CHI,ARI,12,6,50,94,0,42,8,16,2,-3,0,0,0,15.10,2009
22,Nate Burleson,WR,9,SEA,DET,9,7,78,75,0,25,8,11,0,0,0,0,0,14.50,2009
23,Laveranues Coles,WR,9,CIN,BAL,9,6,67,72,0,32,8,12,1,8,0,0,0,14.00,2009
24,Justin Gage,WR,9,TEN,SF,8,4,50,97,0,49,12,24,0,0,0,0,0,13.70,2009
25,Reggie Wayne,WR,9,IND,HOU,9,8,89,64,0,15,7,8,0,0,0,0,0,13.40,2009
26,Roy Williams,WR,9,DAL,PHI,8,5,63,75,0,22,9,15,0,0,0,0,0,12.50,2009
27,Eddie Royal,WR,9,DEN,PIT,10,5,50,74,0,20,7,15,0,0,0,0,0,12.40,2009
28,Greg Camarillo,WR,9,MIA,NE,7,5,71,71,0,23,10,14,0,0,0,0,0,12.10,2009
29,Devery Henderson,WR,9,NO,CAR,3,3,100,93,0,63,31,31,1,-3,0,0,0,12.00,2009
30,Miles Austin,WR,9,DAL,PHI,4,1,25,49,1,49,12,49,0,0,0,0,0,11.90,2009
31,Kevin Walter,WR,9,HOU,IND,6,5,83,67,0,19,11,13,0,0,0,0,0,11.70,2009
32,Davone Bess,WR,9,MIA,NE,14,6,43,56,0,20,4,9,0,0,0,0,0,11.60,2009
33,Bryant Johnson,WR,9,DET,SEA,4,2,50,35,1,29,9,18,0,0,0,0,0,11.50,2009
34,Dwayne Bowe,WR,9,KC,JAX,10,4,40,74,0,36,7,19,0,0,0,0,0,11.40,2009
35,Jacoby Jones,WR,9,HOU,IND,5,4,80,67,0,45,13,17,1,5,0,0,0,11.20,2009
36,Mario Manningham,WR,9,NYG,LAC,6,6,100,52,0,16,9,9,0,0,0,0,0,11.20,2009
37,Greg Jennings,WR,9,GB,TB,10,5,50,61,0,21,6,12,0,0,0,0,0,11.10,2009
38,Pierre Garcon,WR,9,IND,HOU,9,5,56,60,0,26,7,12,0,0,0,0,0,11.00,2009
39,Sammie Stroughter,WR,9,TB,GB,4,3,75,19,1,9,5,6,0,0,0,0,0,10.90,2009
40,Chad Johnson,WR,9,CIN,BAL,9,5,56,66,0,21,7,13,0,0,0,1,1,10.60,2009
41,Andre Caldwell,WR,9,CIN,BAL,5,3,60,15,1,9,3,5,0,0,0,0,0,10.50,2009
42,Steve Smith,WR,9,CAR,NO,8,4,50,64,0,46,8,16,0,0,0,0,0,10.40,2009
43,Santana Moss,WR,9,WAS,ATL,8,5,63,47,0,25,6,9,1,6,0,0,0,10.30,2009
44,Patrick Crayton,WR,9,DAL,PHI,4,2,50,74,0,64,19,37,0,0,0,0,0,9.40,2009
45,Hakeem Nicks,WR,9,NYG,LAC,5,3,60,39,0,29,8,13,1,9,0,0,0,7.80,2009
46,Maurice Stovall,WR,9,TB,GB,7,3,43,46,0,21,7,15,0,0,0,0,0,7.60,2009
47,Jeremy Maclin,WR,9,PHI,DAL,9,3,33,44,0,15,5,15,0,0,0,0,0,7.40,2009
48,Early Doucet,WR,9,ARI,CHI,4,4,100,31,0,14,8,8,0,0,0,0,0,7.10,2009
49,Johnny Knox,WR,9,CHI,ARI,6,4,67,30,0,10,5,8,0,0,0,0,0,7.00,2009
50,Dwayne Jarrett,WR,9,CAR,NO,7,4,57,30,0,11,4,8,0,0,0,0,0,7.00,2009
