Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Odell Beckham Jr,WR,6,NYG,BAL,10,8,80,222,2,75,22,28,0,0,0,1,1,44.20,2016
2,Kenny Britt,WR,6,LAR,DET,8,7,88,136,2,47,17,19,0,0,0,0,0,35.60,2016
3,Golden Tate,WR,6,DET,LAR,10,8,80,165,1,61,17,21,1,3,0,0,0,33.80,2016
4,Brandin Cooks,WR,6,NO,CAR,9,7,78,173,1,87,19,25,1,2,0,0,0,33.50,2016
5,Kendall Wright,WR,6,TEN,CLE,9,8,89,133,1,48,15,17,0,0,0,0,0,30.30,2016
6,Julio Jones,WR,6,ATL,SEA,9,7,78,139,1,36,15,20,0,0,0,0,0,29.90,2016
7,Terrelle Pryor,WR,6,CLE,TEN,13,9,69,75,2,16,6,8,1,3,0,0,0,28.84,2016
8,Amari Cooper,WR,6,OAK,KC,13,10,77,129,0,24,10,13,0,0,0,0,0,25.90,2016
9,Cameron Meredith,WR,6,CHI,JAX,15,11,73,113,0,36,8,10,0,0,0,0,0,25.30,2016
10,Cole Beasley,WR,6,DAL,GB,6,6,100,58,2,19,10,10,0,0,0,0,0,23.80,2016
11,Anquan Boldin,WR,6,DET,LAR,9,8,89,60,1,15,7,8,0,0,0,0,0,20.00,2016
12,Michael Thomas,WR,6,NO,CAR,5,5,100,78,1,28,16,16,0,0,0,0,0,18.80,2016
13,Randall Cobb,WR,6,GB,DAL,11,7,64,53,1,17,5,8,0,0,0,0,0,18.30,2016
14,Torrey Smith,WR,6,SF,BUF,7,3,43,76,1,53,11,25,0,0,0,0,0,16.60,2016
15,Kelvin Benjamin,WR,6,CAR,NO,14,8,57,86,0,20,6,11,0,0,0,0,0,16.60,2016
16,Alshon Jeffery,WR,6,CHI,JAX,13,7,54,93,0,26,7,13,0,0,0,0,0,16.30,2016
17,Jarvis Landry,WR,6,MIA,PIT,9,7,78,91,0,39,10,13,0,0,0,0,0,16.10,2016
18,DeAndre Hopkins,WR,6,HOU,IND,15,9,60,71,0,12,5,8,0,0,0,0,0,16.10,2016
19,Rishard Matthews,WR,6,TEN,CLE,3,3,100,70,1,43,23,23,0,0,0,0,0,16.00,2016
20,Robert Woods,WR,6,BUF,SF,6,5,83,44,1,18,7,9,1,6,0,0,0,16.00,2016
21,Mohamed Sanu,WR,6,ATL,SEA,10,5,50,47,1,14,5,9,0,0,0,0,0,15.70,2016
