Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Rob Gronkowski,TE,6,NE,CIN,9,7,78,162,1,38,18,23,0,0,0,0,0,32.20,2016
2,Coby Fleener,TE,6,NO,CAR,7,6,86,74,1,50,11,12,1,2,1,0,0,25.60,2016
3,CJ Fiedorowicz,TE,6,HOU,IND,7,6,86,85,1,26,12,14,0,0,0,0,0,20.50,2016
4,Hunter Henry,TE,6,LAC,DEN,8,6,75,83,1,27,10,14,0,0,0,0,0,20.30,2016
5,Levine Toilolo,TE,6,ATL,SEA,4,3,75,69,1,46,17,23,0,0,0,0,0,15.90,2016
6,Greg Olsen,TE,6,CAR,NO,7,6,86,94,0,20,13,16,0,0,0,0,0,15.40,2016
7,Jack Doyle,TE,6,IND,HOU,4,4,100,53,1,22,13,13,0,0,0,0,0,15.30,2016
8,Jimmy Graham,TE,6,SEA,ATL,9,6,67,89,0,25,10,15,0,0,0,0,0,14.90,2016
9,Lance Kendricks,TE,6,LAR,DET,8,5,63,34,1,15,4,7,0,0,0,0,0,14.40,2016
10,Vernon Davis,TE,6,WAS,PHI,4,2,50,50,1,37,13,25,0,0,0,0,0,13.00,2016
11,Ed Dickson,TE,6,CAR,NO,4,3,75,23,1,15,6,8,0,0,0,0,0,11.30,2016
12,MarQueis Gray,TE,6,MIA,PIT,3,3,100,81,0,53,27,27,0,0,0,0,0,11.10,2016
13,Josh Hill,TE,6,NO,CAR,5,2,40,23,1,15,5,12,0,0,0,0,0,10.30,2016
14,Charles Clay,TE,6,BUF,SF,7,5,71,52,0,20,7,10,0,0,0,0,0,10.20,2016
15,Martellus Bennett,TE,6,NE,CIN,5,5,100,48,0,24,10,10,0,0,0,0,0,9.80,2016
16,Dennis Pitta,TE,6,BAL,NYG,10,6,60,36,0,11,4,6,0,0,0,0,0,9.60,2016
17,Zach Miller,TE,6,CHI,JAX,10,6,60,36,0,11,4,6,0,0,0,0,0,9.60,2016
18,Larry Donnell,TE,6,NYG,BAL,7,6,86,34,0,13,5,6,0,0,0,0,0,9.40,2016
19,Gary Barnidge,TE,6,CLE,TEN,5,3,60,59,0,43,12,20,0,0,0,0,0,8.90,2016
20,Anthony Fasano,TE,6,TEN,CLE,1,1,100,15,1,15,15,15,0,0,0,0,0,8.50,2016
21,Jason Witten,TE,6,DAL,GB,8,4,50,42,0,14,5,11,0,0,0,0,0,8.20,2016
22,Erik Swoope,TE,6,IND,HOU,3,2,67,42,0,35,14,21,0,0,0,0,0,6.20,2016
23,Travis Kelce,TE,6,KC,OAK,3,3,100,32,0,21,11,11,0,0,0,0,0,6.20,2016
24,John Phillips,TE,6,DEN,LAC,3,3,100,31,0,16,10,10,0,0,0,0,0,6.10,2016
25,Ryan Griffin,TE,6,HOU,IND,5,3,60,31,0,12,6,10,0,0,0,0,0,6.10,2016
26,Virgil Green,TE,6,DEN,LAC,4,3,75,21,0,9,5,7,0,0,0,0,0,5.10,2016
27,Nick O'Leary,TE,6,BUF,SF,2,2,100,29,0,23,15,15,0,0,0,0,0,4.90,2016
28,Julius Thomas,TE,6,JAX,CHI,4,2,50,28,0,15,7,14,0,0,0,0,0,4.80,2016
29,Vance McDonald,TE,6,SF,BUF,2,2,100,25,0,19,13,13,0,0,0,0,0,4.50,2016
30,Phillip Supernaw,TE,6,TEN,CLE,2,2,100,25,0,17,13,13,0,0,0,0,0,4.50,2016
31,Clive Walford,TE,6,OAK,KC,2,2,100,25,0,20,13,13,0,0,0,0,0,4.50,2016
32,Tyler Kroft,TE,6,CIN,NE,2,2,100,19,0,13,10,10,0,0,0,0,0,3.90,2016
33,Antonio Gates,TE,6,LAC,DEN,6,2,33,16,0,10,3,8,0,0,0,0,0,3.60,2016
34,Jacob Tamme,TE,6,ATL,SEA,3,2,67,16,0,12,5,8,0,0,0,0,0,3.60,2016
35,Will Tye,TE,6,NYG,BAL,2,2,100,15,0,10,8,8,0,0,0,0,0,3.50,2016
36,Richard Rodgers,TE,6,GB,DAL,3,2,67,15,0,12,5,8,0,0,0,0,0,3.50,2016
