,Player,Position,Team,Opponent,Points,PlayerID
0,Cam Newton,QB,CAR,NO,30.98,00-0027939
1,Tom Brady,QB,NE,CIN,30.24,00-0019596
2,Eli Manning,QB,NYG,BAL,29.12,00-0022803
3,Marcus Mariota,QB,TEN,CLE,28.76,00-0032268
4,Matthew Stafford,QB,DET,LAR,28.2,00-0026498
5,Matt Ryan,QB,ATL,SEA,26.6,00-0026143
6,Cody Kessler,QB,CLE,TEN,24.74,00-0033104
7,Andrew Luck,QB,IND,HOU,24.38,00-0029668
8,Andy Dalton,QB,CIN,NE,21.86,00-0027973
9,Tyrod Taylor,QB,BUF,SF,20.96,00-0028118
10,Dak Prescott,QB,DAL,GB,20.48,00-0033077
11,Kirk Cousins,QB,WAS,PHI,18.32,00-0029604
12,Colin Kaepernick,QB,SF,BUF,18.08,00-0027974
13,Brock Osweiler,QB,HOU,IND,17.36,00-0029682
14,Joe Flacco,QB,BAL,NYG,15.28,00-0026158
15,Brian Hoyer,QB,CHI,JAX,15.08,00-0026625
16,Aaron Rodgers,QB,GB,DAL,14.46,00-0023459
17,Trevor Siemian,QB,DEN,LAC,13.3,00-0032156
18,Blake Bortles,QB,JAX,CHI,12.94,00-0031407
19,Carson Palmer,QB,ARI,NYJ,12.42,00-0021429
20,Derek Carr,QB,OAK,KC,11.8,00-0031280
21,Ben Roethlisberger,QB,PIT,MIA,11.56,00-0022924
22,Russell Wilson,QB,SEA,ATL,11.5,00-0029263
23,Philip Rivers,QB,LAC,DEN,11.12,00-0022942
24,Ryan Tannehill,QB,MIA,PIT,10.38,00-0029701
25,Alex Smith,QB,KC,OAK,8.86,00-0023436
26,Carson Wentz,QB,PHI,WAS,7.36,00-0032950
27,Ryan Fitzpatrick,QB,NYJ,ARI,6.16,00-0023682
28,EJ Manuel,QB,BUF,SF,1.1,00-0030526
29,Geno Smith,QB,NYJ,ARI,0.44,00-0030565
30,Drew Stanton,QB,ARI,NYJ,0.38,00-0025430
31,Joe Webb,QB,CAR,NO,0.0,00-0027796
32,Kellen Clemens,QB,LAC,DEN,0.0,00-0024264
33,AJ McCarron,QB,CIN,NE,0.0,00-0031288
34,Landry Jones,QB,PIT,MIA,-0.1,00-0030524
35,Golden Tate,WR,DET,LAR,33.8,00-0027891
36,Brandin Cooks,WR,NO,CAR,33.5,00-0031236
37,Kendall Wright,WR,TEN,CLE,30.3,00-0029708
38,Julio Jones,WR,ATL,SEA,29.9,00-0027944
39,Terrelle Pryor,WR,CLE,TEN,28.84,00-0028825
40,Amari Cooper,WR,OAK,KC,25.9,00-0031544
41,Cameron Meredith,WR,CHI,JAX,25.3,00-0031912
42,Cole Beasley,WR,DAL,GB,23.8,00-0029000
43,Anquan Boldin,WR,DET,LAR,20.0,00-0022084
44,Michael Thomas,WR,NO,CAR,18.8,00-0032765
45,Randall Cobb,WR,GB,DAL,18.3,00-0028002
46,Torrey Smith,WR,SF,BUF,16.6,00-0027996
47,Kelvin Benjamin,WR,CAR,NO,16.6,00-0031359
48,Alshon Jeffery,WR,CHI,JAX,16.3,00-0029137
49,Jarvis Landry,WR,MIA,PIT,16.1,00-0031382
50,DeAndre Hopkins,WR,HOU,IND,16.1,00-0030564
51,Rishard Matthews,WR,TEN,CLE,16.0,00-0029580
52,Robert Woods,WR,BUF,SF,16.0,00-0030431
53,Mohamed Sanu,WR,ATL,SEA,15.7,00-0029632
54,AJ Green,WR,CIN,NE,14.8,00-0027942
55,Mike Wallace,WR,BAL,NYG,13.7,00-0026901
56,Pierre Garcon,WR,WAS,PHI,13.7,00-0026345
57,Jamison Crowder,WR,WAS,PHI,13.3,00-0031941
58,Devin Funchess,WR,CAR,NO,12.8,00-0032055
59,Allen Hurns,WR,JAX,CHI,12.4,00-0030821
60,Arrelious Benn,WR,JAX,CHI,12.1,00-0027654
61,Marqise Lee,WR,JAX,CHI,12.1,00-0031431
62,Darrius Heyward-Bey,WR,PIT,MIA,12.0,00-0026983
63,Tyler Boyd,WR,CIN,NE,11.9,00-0033009
64,Cobi Hamilton,WR,PIT,MIA,11.6,00-0030290
65,Terrance Williams,WR,DAL,GB,11.5,00-0030542
66,Ricardo Louis,WR,CLE,TEN,11.5,00-0033079
67,Bennie Fowler,WR,DEN,LAC,11.2,00-0030670
68,Brian Quick,WR,LA,DET,11.1,00-0029640
69,Ted Ginn,WR,CAR,NO,11.0,00-0025396
70,Larry Fitzgerald,WR,ARI,NYJ,10.9,00-0022921
71,Jordy Nelson,WR,GB,DAL,10.8,00-0026176
72,Jordan Matthews,WR,PHI,WAS,10.5,00-0031299
73,Kamar Aiken,WR,BAL,NYG,10.4,00-0028497
74,John Brown,WR,ARI,NYJ,10.4,00-0031051
75,Chester Rogers,WR,IND,HOU,10.3,00-0032355
76,Michael Floyd,WR,ARI,NYJ,10.2,00-0029638
77,Justin Hunter,WR,BUF,SF,10.0,00-0030521
78,Brandon Marshall,WR,NYJ,ARI,10.0,00-0024334
79,DeSean Jackson,WR,WAS,PHI,9.5,00-0026189
80,Roger Lewis,WR,NYG,BAL,9.4,00-0032659
81,Eddie Royal,WR,CHI,JAX,9.4,00-0026182
82,Marvin Jones,WR,DET,LAR,9.3,00-0029293
83,CJ Fiedorowicz,TE,HOU,IND,20.5,00-0031302
84,Hunter Henry,TE,LAC,DEN,20.3,00-0033090
85,Levine Toilolo,TE,ATL,SEA,15.9,00-0030443
86,Greg Olsen,TE,CAR,NO,15.4,00-0025418
87,Jack Doyle,TE,IND,HOU,15.3,00-0030181
88,Jimmy Graham,TE,SEA,ATL,14.9,00-0027696
89,Lance Kendricks,TE,LA,DET,14.4,00-0027985
90,Vernon Davis,TE,WAS,PHI,13.0,00-0024221
91,Ed Dickson,TE,CAR,NO,11.3,00-0027675
92,MarQueis Gray,TE,MIA,PIT,11.1,00-0029878
93,Josh Hill,TE,NO,CAR,10.3,00-0030216
94,Charles Clay,TE,BUF,SF,10.2,00-0028112
95,Martellus Bennett,TE,NE,CIN,9.8,00-0026201
96,Dennis Pitta,TE,BAL,NYG,9.6,00-0027714
97,Zach Miller,TE,CHI,JAX,9.6,00-0027125
98,Larry Donnell,TE,NYG,BAL,9.4,00-0028838
99,Gary Barnidge,TE,CLE,TEN,8.9,00-0026281
100,Anthony Fasano,TE,TEN,CLE,8.5,00-0024268
101,Jason Witten,TE,DAL,GB,8.2,00-0022127
102,Erik Swoope,TE,IND,HOU,6.2,00-0030854
103,Travis Kelce,TE,KC,OAK,6.2,00-0030506
104,John Phillips,TE,DEN,LAC,6.1,00-0027139
105,Ryan Griffin,TE,HOU,IND,6.1,00-0030108
106,Virgil Green,TE,DEN,LAC,5.1,00-0028142
107,Nick O'Leary,TE,BUF,SF,4.9,00-0032117
108,Julius Thomas,TE,JAX,CHI,4.8,00-0028067
