,Player,Position,Team,Opponent,Points,PlayerID
0,Aaron Rodgers,QB,GB,LAR,28.56,00-0023459
1,Matt Schaub,QB,HOU,JAX,26.5,00-0022787
2,Jason Campbell,QB,WAS,DET,25.7,00-0023460
3,Brett Favre,QB,MIN,SF,22.14,00-0005106
4,Jay Cutler,QB,CHI,SEA,21.78,00-0024226
5,Joe Flacco,QB,BAL,CLE,21.18,00-0026158
6,Philip Rivers,QB,LAC,MIA,20.62,00-0022942
7,Ben Roethlisberger,QB,PIT,CIN,20.34,00-0022924
8,Mark Sanchez,QB,NYJ,TEN,19.84,00-0026898
9,Kurt Warner,QB,ARI,IND,18.28,00-0017200
10,David Garrard,QB,JAX,HOU,17.46,00-0021231
11,Kyle Boller,QB,LA,GB,16.66,00-0022164
12,Matthew Stafford,QB,DET,WAS,15.94,00-0026498
13,Eli Manning,QB,NYG,TB,15.34,00-0022803
14,Tom Brady,QB,NE,ATL,15.08,00-0019596
15,Shaun Hill,QB,SF,MIN,14.8,00-0020679
16,Seneca Wallace,QB,SEA,CHI,13.44,00-0022055
17,Carson Palmer,QB,CIN,PIT,13.42,00-0021429
18,Tony Romo,QB,DAL,CAR,12.4,00-0021678
19,Matt Cassel,QB,KC,PHI,11.5,00-0023662
20,Jake Delhomme,QB,CAR,DAL,10.8,00-0004161
21,Kyle Orton,QB,DEN,OAK,10.18,00-0023541
22,Kerry Collins,QB,TEN,NYJ,9.1,00-0003292
23,Matt Ryan,QB,ATL,NE,7.86,00-0026143
24,Drew Brees,QB,NO,BUF,6.68,00-0020531
25,Trent Edwards,QB,BUF,NO,6.54,00-0025479
26,Josh Johnson,QB,TB,NYG,2.94,
27,Chad Henne,QB,MIA,LAC,2.88,00-0026197
28,JaMarcus Russell,QB,OAK,DEN,2.64,00-0025388
29,Chad Pennington,QB,MIA,LAC,1.46,00-0019559
30,Brady Quinn,QB,CLE,BAL,1.26,00-0025409
31,Michael Vick,QB,PHI,KC,0.7,
32,Derek Anderson,QB,CLE,BAL,0.68,00-0023645
33,Matt Leinart,QB,ARI,IND,0.28,00-0024225
34,David Carr,QB,NYG,TB,0.2,00-0020608
35,Byron Leftwich,QB,TB,NYG,0.18,00-0022177
36,Troy Smith,QB,BAL,CLE,0.16,00-0025561
37,Matt Flynn,QB,GB,LAR,0.0,00-0026349
38,Mark Brunell,QB,NO,BUF,0.0,00-0002110
39,Marc Bulger,QB,LA,GB,-0.08,00-0019599
40,Jeff Garcia,QB,PHI,KC,-1.2,00-0005755
41,Reggie Wayne,WR,IND,ARI,28.6,00-0020498
42,Jerricho Cotchery,WR,NYJ,TEN,27.8,00-0022811
43,Derrick Mason,WR,BAL,CLE,25.8,00-0010500
44,Randy Moss,WR,NE,ATL,24.6,00-0011754
45,Kevin Walter,WR,HOU,JAX,23.7,00-0021931
46,Nate Burleson,WR,SEA,CHI,23.1,00-0021999
47,Donald Driver,WR,GB,LAR,20.8,00-0004541
48,Anquan Boldin,WR,ARI,IND,20.3,00-0022084
49,Mike Wallace,WR,PIT,CIN,20.2,00-0026901
50,Vincent Jackson,WR,LAC,MIA,20.0,00-0023496
51,Steve Smith,WR,NYG,TB,19.3,
52,Devin Hester,WR,CHI,SEA,18.6,00-0024272
53,Brandon Marshall,WR,DEN,OAK,18.2,00-0029620
54,Bryant Johnson,WR,DET,WAS,17.3,00-0022156
55,Andre Caldwell,WR,CIN,PIT,17.2,00-0026237
56,Pierre Garcon,WR,IND,ARI,17.1,00-0026345
57,Steve Breaston,WR,ARI,IND,16.4,00-0025529
58,Mark Bradley,WR,KC,PHI,16.04,00-0023474
59,Sidney Rice,WR,MIN,SF,15.6,00-0025431
60,Greg Jennings,WR,GB,LAR,15.3,00-0024267
61,Larry Fitzgerald,WR,ARI,IND,14.6,00-0022921
62,Percy Harvin,WR,MIN,SF,14.3,00-0026998
63,Earl Bennett,WR,CHI,SEA,14.0,00-0026210
64,Davone Bess,WR,MIA,LAC,13.5,00-0026000
65,Mike Sims-Walker,WR,JAX,HOU,13.1,00-0025466
66,Michael Jenkins,WR,ATL,NE,12.8,00-0022781
67,Andre Johnson,WR,HOU,JAX,12.6,00-0022044
68,Hines Ward,WR,PIT,CIN,12.2,00-0017162
69,Josh Reed,WR,BUF,NO,12.0,00-0021166
70,Kelley Washington,WR,BAL,CLE,11.6,00-0022171
71,Roy Williams,WR,DAL,CAR,11.5,
72,Muhsin Muhammad,WR,CAR,DAL,11.1,00-0011795
73,Calvin Johnson,WR,DET,WAS,10.8,00-0025389
74,Marques Colston,WR,NO,BUF,10.7,00-0024466
75,Nate Washington,WR,TEN,NYJ,10.5,00-0023367
76,Chad Johnson,WR,CIN,PIT,10.4,00-0020397
77,Jacoby Jones,WR,HOU,JAX,10.3,00-0025460
78,Greg Lewis,WR,MIN,SF,10.2,00-0021508
79,Kenny Britt,WR,TEN,NYJ,9.9,00-0027006
80,Bernard Berrian,WR,MIN,SF,9.6,00-0022807
81,Mario Manningham,WR,NYG,TB,9.5,00-0026235
82,Bobby Wade,WR,KC,PHI,9.3,00-0022144
83,Sinorice Moss,WR,NYG,TB,8.8,00-0024259
84,Patrick Crayton,WR,DAL,CAR,8.8,00-0022766
85,Torry Holt,WR,JAX,HOU,8.7,00-0007681
86,Josh Morgan,WR,SF,MIN,8.7,00-0026314
87,Malcom Floyd,WR,LAC,MIA,8.5,00-0022414
88,Laveranues Coles,WR,CIN,PIT,8.4,00-0018958
89,Dallas Clark,TE,IND,ARI,19.9,00-0022165
90,Daniel Fells,TE,LA,GB,17.5,00-0023752
91,Jason Witten,TE,DAL,CAR,16.7,00-0022127
92,Greg Olsen,TE,CHI,SEA,15.4,00-0025418
93,Dante Rosario,TE,CAR,DAL,14.8,00-0025542
94,Owen Daniels,TE,HOU,JAX,14.8,00-0024313
95,Chris Baker,TE,NE,ATL,12.2,
96,Antonio Gates,TE,LAC,MIA,11.4,00-0021547
97,Jeremy Shockey,TE,NO,BUF,10.8,00-0021148
98,Derek Fine,TE,BUF,NO,8.4,00-0026272
99,Alge Crumpler,TE,TEN,NYJ,8.1,00-0020285
100,Todd Heap,TE,BAL,CLE,8.1,00-0020516
101,Ben Hartsock,TE,NYJ,TEN,7.2,00-0022847
102,Heath Miller,TE,PIT,CIN,7.0,00-0023465
103,Chris Cooley,TE,WAS,DET,6.8,00-0022738
104,Sean Ryan,TE,KC,PHI,6.2,00-0022817
105,John Carlson,TE,SEA,CHI,5.8,00-0026178
106,Daniel Graham,TE,DEN,OAK,5.3,00-0021154
107,Will Heller,TE,DET,WAS,5.0,00-0021756
108,Brandon Pettigrew,TE,DET,WAS,4.7,00-0026996
109,Kevin Boss,TE,NYG,TB,4.7,00-0025540
110,Dustin Keller,TE,NYJ,TEN,4.4,00-0026170
111,Randy McMichael,TE,LA,GB,4.4,00-0021236
112,Kellen Winslow,TE,TB,NYG,4.4,00-0022922
113,Visanthe Shiancoe,TE,MIN,SF,4.2,00-0022054
114,Jeff King,TE,CAR,DAL,3.7,00-0024369
115,Zach Miller,TE,OAK,DEN,3.7,00-0027125
116,LJ Smith,TE,BAL,CLE,3.6,
117,Benjamin Watson,TE,NE,ATL,3.3,00-0022943
118,Donald Lee,TE,GB,LAR,3.0,00-0021929
