,Player,Position,Team,Opponent,Points,PlayerID
0,Joe Flacco,QB,BAL,JAX,26.34,00-0026158
1,Carson Palmer,QB,ARI,SEA,26.32,00-0021429
2,Eli Manning,QB,NYG,NE,25.44,00-0022803
3,Aaron Rodgers,QB,GB,DET,25.12,00-0023459
4,Jay Cutler,QB,CHI,LAR,24.72,00-0024226
5,Tom Brady,QB,NE,NYG,23.26,00-0019596
6,Derek Carr,QB,OAK,MIN,22.28,00-0031280
7,Johnny Manziel,QB,CLE,PIT,21.58,00-0031409
8,Cam Newton,QB,CAR,TEN,20.98,00-0027939
9,Russell Wilson,QB,SEA,ARI,17.8,00-0029263
10,Blake Bortles,QB,JAX,BAL,17.02,00-0031407
11,Matthew Stafford,QB,DET,GB,16.78,00-0026498
12,Ryan Fitzpatrick,QB,NYJ,BUF,16.72,00-0023682
13,Ryan Tannehill,QB,MIA,PHI,16.48,00-0029701
14,Alex Smith,QB,KC,DEN,15.46,00-0023436
15,Jameis Winston,QB,TB,DAL,14.86,00-0031503
16,Drew Brees,QB,NO,WAS,14.36,00-0020531
17,Sam Bradford,QB,PHI,MIA,13.44,00-0027854
18,Teddy Bridgewater,QB,MIN,OAK,11.9,00-0031237
19,Tyrod Taylor,QB,BUF,NYJ,11.52,00-0028118
20,Brock Osweiler,QB,DEN,KC,10.64,00-0029682
21,Andy Dalton,QB,CIN,HOU,9.98,00-0027973
22,Marcus Mariota,QB,TEN,CAR,8.8,00-0032268
23,Nick Foles,QB,LA,CHI,7.0,00-0029567
24,Matt Cassel,QB,DAL,TB,6.64,00-0023662
25,TJ Yates,QB,HOU,CIN,6.56,
26,Mark Sanchez,QB,PHI,MIA,5.64,00-0026898
27,Brian Hoyer,QB,HOU,CIN,5.42,00-0026625
28,Landry Jones,QB,PIT,CLE,0.92,00-0030524
29,Colt McCoy,QB,WAS,NO,0.0,00-0027688
30,Joe Webb,QB,CAR,TEN,0.0,00-0027796
31,Case Keenum,QB,LA,CHI,0.0,00-0028986
32,Peyton Manning,QB,DEN,KC,-2.6,00-0010346
33,Martavis Bryant,WR,PIT,CLE,31.8,00-0031373
34,Doug Baldwin,WR,SEA,ARI,29.4,00-0028434
35,Brandin Cooks,WR,NO,WAS,27.9,00-0031236
36,Larry Fitzgerald,WR,ARI,SEA,26.0,00-0022921
37,Mike Evans,WR,TB,DAL,23.6,00-0031408
38,Odell Beckham Jr,WR,NYG,NE,23.4,00-0031235
39,Travis Benjamin,WR,CLE,PIT,20.6,00-0029269
40,Eric Decker,WR,NYJ,BUF,20.5,00-0027690
41,Dwayne Harris,WR,NYG,NE,20.2,00-0028114
42,Jarvis Landry,WR,MIA,PHI,18.8,00-0031382
43,Danny Amendola,WR,NE,NYG,17.9,00-0026035
44,Davante Adams,WR,GB,DET,17.9,00-0031381
45,Allen Hurns,WR,JAX,BAL,17.2,00-0030821
46,DeAndre Hopkins,WR,HOU,CIN,16.7,00-0030564
47,Allen Robinson,WR,JAX,BAL,16.1,00-0031428
48,Jamison Crowder,WR,WAS,NO,16.0,00-0031941
49,Rishard Matthews,WR,MIA,PHI,14.7,00-0029580
50,Kamar Aiken,WR,BAL,JAX,14.3,00-0028497
51,Calvin Johnson,WR,DET,GB,14.1,00-0025389
52,Demaryius Thomas,WR,DEN,KC,14.1,00-0027874
53,Chris Givens,WR,BAL,JAX,13.7,
54,Brian Hartline,WR,CLE,PIT,13.7,00-0027077
55,Amari Cooper,WR,OAK,MIN,12.9,00-0031544
56,Andrew Hawkins,WR,CLE,PIT,12.9,00-0027918
57,Lance Moore,WR,DET,GB,11.9,00-0023310
