,Player,Position,Team,Opponent,Points,PlayerID
0,Colin Kaepernick,QB,SF,PIT,30.5,00-0027974
1,Derek Carr,QB,OAK,BAL,30.34,00-0031280
2,Tyrod Taylor,QB,BUF,NE,28.98,00-0028118
3,Cam Newton,QB,CAR,HOU,28.4,00-0027939
4,Ryan Tannehill,QB,MIA,JAX,27.06,00-0029701
5,Joe Flacco,QB,BAL,OAK,25.56,00-0026158
6,Russell Wilson,QB,SEA,GB,23.04,00-0029263
7,Aaron Rodgers,QB,GB,SEA,22.26,00-0023459
8,Carson Palmer,QB,ARI,CHI,22.2,00-0021429
9,Blake Bortles,QB,JAX,MIA,21.62,00-0031407
10,Andy Dalton,QB,CIN,LAC,21.56,00-0027973
11,Matt Ryan,QB,ATL,NYG,21.42,00-0026143
12,Peyton Manning,QB,DEN,KC,21.24,00-0010346
13,Eli Manning,QB,NYG,ATL,20.98,00-0022803
14,Matthew Stafford,QB,DET,MIN,20.44,00-0026498
15,Jameis Winston,QB,TB,NO,19.58,00-0031503
16,Ryan Mallett,QB,HOU,CAR,19.36,00-0028012
17,Teddy Bridgewater,QB,MIN,DET,18.22,00-0031237
18,Marcus Mariota,QB,TEN,CLE,18.18,00-0032268
19,Ryan Fitzpatrick,QB,NYJ,IND,17.36,00-0023682
20,Philip Rivers,QB,LAC,CIN,16.14,00-0022942
21,Johnny Manziel,QB,CLE,TEN,14.98,00-0031409
22,Drew Brees,QB,NO,TB,13.1,00-0020531
23,Andrew Luck,QB,IND,NYJ,12.4,00-0029668
24,Kirk Cousins,QB,WAS,LAR,12.12,00-0029604
25,Sam Bradford,QB,PHI,DAL,10.86,00-0027854
26,Jay Cutler,QB,CHI,ARI,10.2,00-0024226
27,Nick Foles,QB,LA,WAS,10.1,00-0029567
28,Tony Romo,QB,DAL,PHI,8.0,00-0021678
29,Brandon Weeden,QB,DAL,PHI,7.62,00-0029677
30,Alex Smith,QB,KC,DEN,7.14,00-0023436
31,Jimmy Clausen,QB,CHI,ARI,3.34,00-0027659
32,Joe Webb,QB,CAR,HOU,0.0,00-0027796
33,Luke McCown,QB,NO,TB,0.0,00-0022864
34,Dan Orlovsky,QB,DET,MIN,0.0,00-0023578
35,Michael Vick,QB,PIT,SF,-0.3,
36,Allen Robinson,WR,JAX,MIA,36.5,00-0031428
37,Travis Benjamin,WR,CLE,TEN,35.5,00-0029269
38,Julian Edelman,WR,NE,BUF,33.9,00-0027150
39,Odell Beckham Jr,WR,NYG,ATL,30.6,00-0031235
40,Julio Jones,WR,ATL,NYG,29.5,00-0027944
41,Michael Crabtree,WR,OAK,BAL,29.1,00-0026986
42,Torrey Smith,WR,SF,PIT,29.0,00-0027996
43,Emmanuel Sanders,WR,DEN,KC,28.7,00-0027685
44,Donte Moncrief,WR,IND,NYJ,28.2,00-0031339
45,Steve Smith,WR,BAL,OAK,28.0,
46,Amari Cooper,WR,OAK,BAL,26.9,00-0031544
47,Brandon Marshall,WR,NYJ,IND,26.1,00-0024334
48,Calvin Johnson,WR,DET,MIN,24.3,00-0025389
49,Eric Decker,WR,NYJ,IND,23.7,00-0027690
50,Demaryius Thomas,WR,DEN,KC,22.6,00-0027874
51,Randall Cobb,WR,GB,SEA,22.6,00-0028002
52,Jarvis Landry,WR,MIA,JAX,22.6,00-0031382
53,Doug Baldwin,WR,SEA,GB,22.2,00-0028434
54,Rishard Matthews,WR,MIA,JAX,20.5,00-0029580
55,Jordan Matthews,WR,PHI,DAL,20.0,00-0031299
56,Leonard Hankerson,WR,ATL,NYG,19.7,00-0028017
57,Terrance Williams,WR,DAL,PHI,18.4,00-0030542
58,Sammy Watkins,WR,BUF,NE,18.0,00-0031325
