,Player,Position,Team,Opponent,Points,PlayerID
0,Matthew Stafford,QB,DET,MIN,28.46,00-0026498
1,Philip Rivers,QB,LAC,TB,26.98,00-0022942
2,Andy Dalton,QB,CIN,NYG,23.76,00-0027973
3,Carson Palmer,QB,OAK,BAL,23.72,00-0021429
4,Ryan Fitzpatrick,QB,BUF,NE,23.68,00-0023682
5,Drew Brees,QB,NO,ATL,22.82,00-0020531
6,Andrew Luck,QB,IND,JAX,20.18,00-0029668
7,Sam Bradford,QB,LA,SF,19.0,00-0027854
8,Christian Ponder,QB,MIN,DET,18.54,00-0027950
9,Peyton Manning,QB,DEN,CAR,18.44,00-0010346
10,Russell Wilson,QB,SEA,NYJ,17.92,00-0029263
11,Tom Brady,QB,NE,BUF,17.38,00-0019596
12,Colin Kaepernick,QB,SF,LAR,17.28,00-0027974
13,Josh Freeman,QB,TB,LAC,16.8,00-0026993
14,Jake Locker,QB,TEN,MIA,16.48,00-0027946
15,Cam Newton,QB,CAR,DEN,16.34,00-0027939
16,Tony Romo,QB,DAL,PHI,16.26,00-0021678
17,Nick Foles,QB,PHI,DAL,10.76,00-0029567
18,Ben Roethlisberger,QB,PIT,KC,8.76,00-0022924
19,Blaine Gabbert,QB,JAX,IND,8.36,00-0027948
20,Chad Henne,QB,JAX,IND,7.84,00-0026197
21,Michael Vick,QB,PHI,DAL,7.5,
22,Alex Smith,QB,SF,LAR,7.38,00-0023436
23,Matt Cassel,QB,KC,PIT,6.36,00-0023662
24,Eli Manning,QB,NYG,CIN,5.7,00-0022803
25,Matt Schaub,QB,HOU,CHI,5.6,00-0022787
26,Ryan Tannehill,QB,MIA,TEN,5.58,00-0029701
27,Jason Campbell,QB,CHI,HOU,4.26,00-0023460
28,Jay Cutler,QB,CHI,HOU,3.3,00-0024226
29,Mark Sanchez,QB,NYJ,SEA,2.96,00-0026898
30,Byron Leftwich,QB,PIT,KC,2.92,00-0022177
31,Tim Tebow,QB,NYJ,SEA,1.72,00-0027876
32,Matt Moore,QB,MIA,TEN,0.1,00-0025708
33,Chase Daniel,QB,NO,ATL,0.0,00-0026544
34,Matt Leinart,QB,OAK,BAL,0.0,00-0024225
35,Tyrod Taylor,QB,BAL,OAK,0.0,00-0028118
36,Matt Hasselbeck,QB,TEN,MIA,-0.3,00-0007091
37,Cecil Shorts,WR,JAX,IND,25.5,00-0028052
38,Demaryius Thomas,WR,DEN,CAR,25.5,00-0027874
39,Danny Amendola,WR,LA,SF,24.2,00-0026035
40,Jeremy Maclin,WR,PHI,DAL,23.3,00-0026995
41,Brandon Marshall,WR,CHI,HOU,21.7,00-0024334
42,AJ Green,WR,CIN,NYG,21.5,00-0027942
43,Roddy White,WR,ATL,NO,21.4,00-0023462
44,Torrey Smith,WR,BAL,OAK,20.7,00-0027996
45,Sidney Rice,WR,SEA,NYJ,19.4,00-0025431
46,Donald Jones,WR,BUF,NE,19.4,00-0027518
47,Denarius Moore,WR,OAK,BAL,19.0,00-0028086
48,Darrius Heyward-Bey,WR,OAK,BAL,18.8,00-0026983
