Rank,Player,Position,Week,Team,Opponent,TFL,Sacks,QBHits,Interceptions,FumRec,Safeties,DefTD,ReturnTD,PtsAllowed,Points,Year
1,Chicago Bears,DST,16,CHI,ARI,7,4,3,2,1,0,2,0,13,26.00,2012
2,Los Angeles Rams,DST,16,LAR,TB,5,5,9,4,1,0,1,0,13,25.00,2012
3,Los Angeles Chargers,DST,16,LAC,NYJ,9,11,16,1,1,0,0,1,17,22.00,2012
4,Cincinnati Bengals,DST,16,CIN,PIT,8,4,7,2,1,0,1,0,10,20.00,2012
5,Indianapolis Colts,DST,16,IND,KC,2,1,5,2,1,0,1,0,13,17.00,2012
6,Seattle Seahawks,DST,16,SEA,SF,2,1,4,1,1,0,0,1,13,17.00,2012
7,Pittsburgh Steelers,DST,16,PIT,CIN,6,6,8,2,1,0,0,0,13,16.00,2012
8,Green Bay Packers,DST,16,GB,TEN,10,7,12,2,0,0,0,0,7,15.00,2012
9,Minnesota Vikings,DST,16,MIN,HOU,7,4,8,0,2,0,0,0,6,15.00,2012
10,Miami Dolphins,DST,16,MIA,BUF,3,2,4,1,3,0,0,0,10,14.00,2012
11,Denver Broncos,DST,16,DEN,CLE,5,6,9,0,1,0,0,0,12,12.00,2012
12,Arizona Cardinals,DST,16,ARI,CHI,3,1,1,0,1,0,0,1,28,12.00,2012
13,Carolina Panthers,DST,16,CAR,OAK,6,1,3,1,0,0,0,0,6,10.00,2012
14,Washington Redskins,DST,16,WAS,PHI,7,5,6,1,1,0,0,0,20,10.00,2012
15,New England Patriots,DST,16,NE,JAX,4,1,3,3,0,0,0,0,16,8.00,2012
16,Atlanta Falcons,DST,16,ATL,DET,0,0,6,1,2,0,0,0,18,7.00,2012
17,Jacksonville Jaguars,DST,16,JAX,NE,3,3,10,2,0,0,0,0,23,7.00,2012
18,Oakland Raiders,DST,16,OAK,CAR,9,2,7,1,1,0,0,0,17,7.00,2012
19,Baltimore Ravens,DST,16,BAL,NYG,4,3,9,0,0,0,0,0,14,4.00,2012
20,Kansas City Chiefs,DST,16,KC,IND,7,3,4,0,0,0,0,0,20,4.00,2012
21,New York Jets,DST,16,NYJ,LAC,6,4,6,0,0,0,0,0,27,4.00,2012
22,Tampa Bay Buccaneers,DST,16,TB,LAR,5,0,5,1,1,0,0,0,28,4.00,2012
23,Buffalo Bills,DST,16,BUF,MIA,4,2,4,0,0,0,0,0,24,4.00,2012
24,Houston Texans,DST,16,HOU,MIN,7,1,5,0,1,0,0,0,23,3.00,2012
25,New Orleans Saints,DST,16,NO,DAL,3,2,4,0,1,0,0,0,31,3.00,2012
26,Philadelphia Eagles,DST,16,PHI,WAS,2,1,2,1,0,0,0,0,27,3.00,2012
27,Detroit Lions,DST,16,DET,ATL,4,1,9,0,0,1,0,0,31,2.00,2012
28,Cleveland Browns,DST,16,CLE,DEN,3,0,2,1,0,0,0,0,34,1.00,2012
29,Dallas Cowboys,DST,16,DAL,NO,4,0,2,0,0,0,0,0,34,-1.00,2012
30,New York Giants,DST,16,NYG,BAL,6,0,2,0,0,0,0,0,33,-1.00,2012
31,San Francisco 49ers,DST,16,SF,SEA,2,1,1,1,0,0,0,0,42,-1.00,2012
32,Tennessee Titans,DST,16,TEN,GB,2,1,4,0,0,0,0,0,55,-3.00,2012
