Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Ryan Succop,K,3,KC,NO,6,6,100,45,1,1,0.00,2012
2,Lawrence Tynes,K,3,NYG,CAR,5,5,100,49,3,3,0.00,2012
3,Jason Hanson,K,3,DET,TEN,4,4,100,53,3,3,0.00,2012
4,Rob Bironas,K,3,TEN,DET,3,5,60,38,5,5,0.00,2012
5,Robbie Gould,K,3,CHI,LAR,3,3,100,54,2,2,0.00,2012
6,Matt Prater,K,3,DEN,HOU,3,3,100,53,2,2,0.00,2012
7,Stephen Gostkowski,K,3,NE,BAL,3,3,100,49,3,3,0.00,2012
8,Nick Folk,K,3,NYJ,MIA,3,3,100,33,2,2,0.00,2012
9,Dan Bailey,K,3,DAL,TB,3,3,100,32,1,1,0.00,2012
10,Josh Scobee,K,3,JAX,IND,3,3,100,47,1,1,0.00,2012
11,Sebastian Janikowski,K,3,OAK,PIT,2,2,100,43,4,4,0.00,2012
12,Jay Feely,K,3,ARI,PHI,2,2,100,47,3,3,0.00,2012
13,Greg Zuerlein,K,3,LAR,CHI,2,2,100,56,0,0,0.00,2012
14,Dan Carpenter,K,3,MIA,NYJ,2,4,50,41,2,2,0.00,2012
15,Blair Walsh,K,3,MIN,SF,1,1,100,52,3,3,0.00,2012
16,Mike Nugent,K,3,CIN,WAS,1,1,100,47,5,5,0.00,2012
17,David Akers,K,3,SF,MIN,2,3,67,29,1,1,0.00,2012
18,Billy Cundiff,K,3,WAS,CIN,1,1,100,36,4,4,0.00,2012
19,Shayne Graham,K,3,HOU,DEN,1,1,100,41,4,4,0.00,2012
20,Shaun Suisham,K,3,PIT,OAK,1,1,100,33,4,4,0.00,2012
21,Justin Tucker,K,3,BAL,NE,1,1,100,27,4,4,0.00,2012
22,Rian Lindell,K,3,BUF,CLE,1,1,100,37,3,3,0.00,2012
23,Garrett Hartley,K,3,NO,KC,1,2,50,40,3,3,0.00,2012
24,Alex Henery,K,3,PHI,ARI,2,2,100,40,0,0,0.00,2012
25,Mason Crosby,K,3,GB,SEA,2,2,100,40,0,0,0.00,2012
26,Adam Vinatieri,K,3,IND,JAX,1,2,50,37,2,2,0.00,2012
27,DJ Smith,K,3,GB,SEA,0,0,0,0,0,0,0.00,2012
28,Connor Barth,K,3,TB,DAL,1,1,100,28,1,1,0.00,2012
29,Nate Kaeding,K,3,LAC,ATL,1,1,100,41,0,0,0.00,2012
30,Matt Bryant,K,3,ATL,LAC,0,0,0,0,3,3,0.00,2012
31,Phil Dawson,K,3,CLE,BUF,0,0,0,0,2,2,0.00,2012
32,Steven Hauschka,K,3,SEA,GB,0,0,0,0,2,2,0.00,2012
33,Justin Medlock,K,3,CAR,NYG,0,0,0,0,1,1,0.00,2012
34,John Potter,K,3,BUF,CLE,0,0,0,0,0,0,0.00,2012
