Player,Position,Team,Opponent,Points
Peyton Manning,QB,IND,JAX,30.02
Joe Flacco,QB,BAL,CHI,25.86
Philip Rivers,QB,LAC,CIN,25.32
Matt Cassel,QB,KC,CLE,25.24
Carson Palmer,QB,CIN,LAC,24.56
Matt Moore,QB,CAR,MIN,23.76
Donovan McNabb,QB,PHI,SF,23.74
Vince Young,QB,TEN,MIA,22.84
Eli Manning,QB,NYG,WAS,22.72
Tony Romo,QB,DAL,NO,21.58
David Garrard,QB,JAX,IND,20.52
Matt Schaub,QB,HOU,LAR,20.38
Chad Henne,QB,MIA,TEN,19.06
Josh Freeman,QB,TB,SEA,17.30
Kyle Orton,QB,DEN,OAK,16.22
Drew Brees,QB,NO,DAL,14.32
Jason Campbell,QB,WAS,NYG,13.28
Kurt Warner,QB,ARI,DET,10.92
Mark Sanchez,QB,NYJ,ATL,10.74
Ryan Fitzpatrick,QB,BUF,NE,10.12
Matt Ryan,QB,ATL,NYJ,9.88
Matt Hasselbeck,QB,SEA,TB,9.54
Keith Null,QB,LAR,HOU,8.92
Drew Stanton,QB,DET,ARI,8.88
Alex Smith,QB,SF,PHI,8.18
Brett Favre,QB,MIN,CAR,7.96
Tom Brady,QB,NE,BUF,7.30
JaMarcus Russell,QB,OAK,DEN,5.88
Brady Quinn,QB,CLE,KC,4.54
Charlie Frye,QB,OAK,DEN,4.32
Jay Cutler,QB,CHI,BAL,3.06
Todd Collins,QB,WAS,NYG,2.28
Daunte Culpepper,QB,DET,ARI,1.96
Troy Smith,QB,BAL,CHI,1.10
David Carr,QB,NYG,WAS,0.88
Pat White,QB,MIA,TEN,0.40
Michael Vick,QB,PHI,SF,0.20
Kellen Clemens,QB,NYJ,ATL,0.00
JP Losman,QB,OAK,DEN,0.00
Mark Brunell,QB,NO,DAL,0.00
Trent Edwards,QB,BUF,NE,-0.04
Caleb Hanie,QB,CHI,BAL,-0.68
Vincent Jackson,WR,LAC,CIN,30.80
DeSean Jackson,WR,PHI,SF,29.90
Miles Austin,WR,DAL,NO,29.90
Reggie Wayne,WR,IND,JAX,27.20
Greg Jennings,WR,GB,PIT,25.80
Chris Chambers,WR,KC,CLE,25.40
Braylon Edwards,WR,NYJ,ATL,24.50
Hines Ward,WR,PIT,GB,22.60
Mike Wallace,WR,PIT,GB,21.90
Derrick Mason,WR,BAL,CHI,20.70
Brandon Marshall,WR,DEN,OAK,20.30
Chad Johnson,WR,CIN,LAC,19.50
Josh Morgan,WR,SF,PHI,19.10
Mike Sims-Walker,WR,JAX,IND,18.40
Justin Gage,WR,TEN,MIA,18.30
Anquan Boldin,WR,ARI,DET,18.20
Randy Moss,WR,NE,BUF,18.00
Damian Williams,WR,BAL,CHI,17.10
Steve Smith,WR,NYG,WAS,15.00
Laveranues Coles,WR,CIN,LAC,14.80
Chaz Schilens,WR,OAK,DEN,14.70
TJ Houshmandzadeh,WR,SEA,TB,14.30
Mark Bradley,WR,KC,CLE,14.20
Kevin Walter,WR,HOU,LAR,14.20
Joshua Cribbs,WR,CLE,KC,14.10
Larry Fitzgerald,WR,ARI,DET,13.60
Marques Colston,WR,NO,DAL,13.60
Mario Manningham,WR,NYG,WAS,13.40
Earl Bennett,WR,CHI,BAL,13.00
Brian Hartline,WR,MIA,TEN,12.60
Lee Evans,WR,BUF,NE,12.50
Austin Collie,WR,IND,JAX,11.90
James Jones,WR,GB,PIT,11.60
Jordy Nelson,WR,GB,PIT,11.10
