Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Lawrence Tynes,K,5,NYG,OAK,3,3,100,37,5,5,0.00,2009
2,Olindo Mare,K,5,SEA,JAX,2,2,100,47,5,5,0.00,2009
3,Jason Elam,K,5,ATL,SF,1,1,100,40,6,6,0.00,2009
4,Rob Bironas,K,5,TEN,IND,3,3,100,49,0,0,0.00,2009
5,Jay Feely,K,5,NYJ,MIA,2,2,100,43,3,3,0.00,2009
6,Jason Hanson,K,5,DET,PIT,2,3,67,46,2,2,0.00,2009
7,Nick Folk,K,5,DAL,KC,2,3,67,28,2,2,0.00,2009
8,Ryan Succop,K,5,KC,DAL,2,3,67,47,2,2,0.00,2009
9,Ryan Longwell,K,5,MIN,LAR,1,1,100,47,5,5,0.00,2009
10,Matt Prater,K,5,DEN,NE,2,3,67,41,2,2,0.00,2009
11,David Akers,K,5,PHI,TB,1,1,100,44,4,4,0.00,2009
12,Stephen Gostkowski,K,5,NE,DEN,1,2,50,53,2,2,0.00,2009
13,Adam Vinatieri,K,5,IND,TEN,1,1,100,23,4,4,0.00,2009
14,Dan Carpenter,K,5,MIA,NYJ,1,1,100,35,4,4,0.00,2009
15,Billy Cundiff,K,5,CLE,BUF,2,2,100,24,0,0,0.00,2009
16,Shayne Graham,K,5,CIN,BAL,1,2,50,32,2,2,0.00,2009
17,Shaun Suisham,K,5,WAS,CAR,1,1,100,38,2,2,0.00,2009
18,Thomas Howard,K,5,OAK,NYG,0,0,0,0,0,0,0.00,2009
19,John Kasay,K,5,CAR,WAS,1,1,100,43,1,1,0.00,2009
20,Jeff Reed,K,5,PIT,DET,0,0,0,0,4,4,0.00,2009
21,Josh Brown,K,5,LAR,MIN,1,1,100,29,1,1,0.00,2009
22,Joe Nedney,K,5,SF,ATL,1,2,50,39,1,1,0.00,2009
23,Neil Rackers,K,5,ARI,HOU,0,0,0,0,4,4,0.00,2009
24,Rian Lindell,K,5,BUF,CLE,1,1,100,36,0,0,0.00,2009
25,Kris Brown,K,5,HOU,ARI,0,1,0,0,3,3,0.00,2009
26,Steven Hauschka,K,5,BAL,CIN,0,0,0,0,2,2,0.00,2009
27,Shane Andrus,K,5,TB,PHI,0,0,0,0,2,2,0.00,2009
28,Sebastian Janikowski,K,5,OAK,NYG,0,0,0,0,1,1,0.00,2009
29,Rhys Lloyd,K,5,CAR,WAS,0,0,0,0,0,0,0.00,2009
30,David Buehler,K,5,DAL,KC,0,0,0,0,0,0,0.00,2009
31,Josh Scobee,K,5,JAX,SEA,0,0,0,0,0,0,0.00,2009
