Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Kellen Winslow,TE,5,TB,PHI,12,9,75,102,2,24,9,11,0,0,0,0,0,34.20,2009
2,Owen Daniels,TE,5,HOU,ARI,10,8,80,94,0,27,9,12,0,0,0,0,0,17.40,2009
3,Dallas Clark,TE,5,IND,TEN,9,9,100,77,0,24,9,9,0,0,0,0,0,16.70,2009
4,Heath Miller,TE,5,PIT,DET,6,5,83,54,1,15,9,11,0,0,0,0,0,16.40,2009
5,Visanthe Shiancoe,TE,5,MIN,LAR,4,4,100,49,1,17,12,12,0,0,0,0,0,14.90,2009
6,Anthony Fasano,TE,5,MIA,NYJ,7,4,57,38,1,21,5,10,0,0,0,0,0,13.80,2009
7,Tony Gonzalez,TE,5,ATL,SF,10,6,60,55,0,13,6,9,0,0,0,0,0,11.50,2009
8,Todd Heap,TE,5,BAL,CIN,9,7,78,41,0,11,5,6,0,0,0,0,0,11.10,2009
9,Jeff King,TE,5,CAR,WAS,2,2,100,30,1,17,15,15,0,0,0,0,0,11.00,2009
10,Zach Miller,TE,5,OAK,NYG,4,4,100,69,0,29,17,17,0,0,0,0,0,10.90,2009
11,Vernon Davis,TE,5,SF,ATL,12,5,42,51,0,18,4,10,0,0,0,0,0,10.10,2009
12,Brent Celek,TE,5,PHI,TB,5,4,80,58,0,38,12,15,0,0,0,0,0,9.80,2009
13,Jason Witten,TE,5,DAL,KC,6,5,83,47,0,11,8,9,0,0,0,0,0,9.70,2009
14,Benjamin Watson,TE,5,NE,DEN,2,2,100,13,1,7,7,7,0,0,0,0,0,9.30,2009
15,Tony Scheffler,TE,5,DEN,NE,5,4,80,45,0,14,9,11,0,0,0,0,0,8.50,2009
16,Bo Scaife,TE,5,TEN,IND,4,4,100,45,0,18,11,11,0,0,0,0,0,8.50,2009
17,Daniel Fells,TE,5,LAR,MIN,6,5,83,45,0,14,8,9,0,0,0,1,1,8.50,2009
18,Randy McMichael,TE,5,LAR,MIN,5,3,60,45,0,35,9,15,0,0,0,0,0,7.50,2009
19,Daniel Graham,TE,5,DEN,NE,3,3,100,34,0,18,11,11,0,0,0,0,0,6.40,2009
20,Jared Cook,TE,5,TEN,IND,4,3,75,27,0,11,7,9,0,0,0,0,0,5.70,2009
21,Darcy Johnson,TE,5,NYG,OAK,4,3,75,26,0,13,7,9,0,0,0,0,0,5.60,2009
22,Fred Davis,TE,5,WAS,CAR,3,3,100,23,0,13,8,8,0,0,0,0,0,5.30,2009
23,John Carlson,TE,5,SEA,JAX,3,2,67,31,0,16,10,16,0,0,0,0,0,5.10,2009
24,Sean Ryan,TE,5,KC,DAL,4,2,50,27,0,14,7,14,0,0,0,0,0,4.70,2009
25,Marcedes Lewis,TE,5,JAX,SEA,8,3,38,13,0,7,2,4,0,0,0,0,0,4.30,2009
26,Brandon Pettigrew,TE,5,DET,PIT,5,2,40,21,0,19,4,11,0,0,0,0,0,4.10,2009
27,Delanie Walker,TE,5,SF,ATL,3,1,33,39,0,39,13,39,0,0,0,1,1,3.90,2009
28,Alge Crumpler,TE,5,TEN,IND,3,3,100,14,0,5,5,5,0,0,0,1,1,3.40,2009
29,Dante Rosario,TE,5,CAR,WAS,1,1,100,22,0,22,22,22,0,0,0,0,0,3.20,2009
30,Travis Beckum,TE,5,NYG,OAK,2,2,100,12,0,11,6,6,0,0,0,0,0,3.20,2009
31,Joey Haynos,TE,5,MIA,NYJ,2,1,50,17,0,17,9,17,0,0,0,0,0,2.70,2009
32,Will Heller,TE,5,DET,PIT,1,1,100,16,0,16,16,16,0,0,0,0,0,2.60,2009
33,Justin Peelle,TE,5,ATL,SF,1,1,100,12,0,12,12,12,0,0,0,0,0,2.20,2009
34,John Gilmore,TE,5,TB,PHI,2,1,50,9,0,9,5,9,0,0,0,0,0,1.90,2009
35,Derek Fine,TE,5,BUF,CLE,3,1,33,8,0,8,3,8,0,0,0,0,0,1.80,2009
36,Leonard Pope,TE,5,KC,DAL,1,1,100,8,0,8,8,8,0,0,0,0,0,1.80,2009
37,Steve Heiden,TE,5,CLE,BUF,1,1,100,7,0,7,7,7,0,0,0,0,0,1.70,2009
38,JP Foschi,TE,5,CIN,BAL,2,1,50,6,0,6,3,6,0,0,0,0,0,1.60,2009
39,Anthony Becht,TE,5,ARI,HOU,1,1,100,5,0,5,5,5,0,0,0,0,0,1.50,2009
40,Joel Dreessen,TE,5,HOU,ARI,2,1,50,4,0,4,2,4,0,0,0,0,0,1.40,2009
41,Zach Miller,TE,5,JAX,SEA,2,1,50,2,0,2,1,2,0,0,0,0,0,1.20,2009
42,Jerramy Stevens,TE,5,TB,PHI,2,1,50,1,0,1,1,1,0,0,0,0,0,1.10,2009
43,Shawn Nelson,TE,5,BUF,CLE,4,1,25,0,0,0,0,0,0,0,0,0,0,1.00,2009
44,LJ Smith,TE,5,BAL,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2009
45,Daniel Coats,TE,5,CIN,BAL,4,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2009
46,B St.Louis,TE,5,CIN,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2009
47,Jonathan Stupar,TE,5,BUF,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2009
48,Robert Royal,TE,5,CLE,BUF,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2009
49,Gary Barnidge,TE,5,CAR,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2009
50,Chris Cooley,TE,5,WAS,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2009
