Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Mason Crosby,K,10,GB,CHI,2,2,100,52,7,7,0.00,2014
2,Matt Bryant,K,10,ATL,TB,4,4,100,44,1,1,0.00,2014
3,Brandon McManus,K,10,DEN,OAK,2,2,100,28,5,5,0.00,2014
4,Caleb Sturgis,K,10,MIA,DET,3,3,100,50,1,1,0.00,2014
5,Phil Dawson,K,10,SF,NO,2,2,100,45,3,3,0.00,2014
6,Dan Bailey,K,10,DAL,JAX,1,2,50,54,4,4,0.00,2014
7,Shaun Suisham,K,10,PIT,NYJ,2,3,67,53,1,1,0.00,2014
8,Cody Parkey,K,10,PHI,CAR,1,1,100,39,6,6,0.00,2014
9,Nick Folk,K,10,NYJ,PIT,2,3,67,30,2,2,0.00,2014
10,Matt Prater,K,10,DET,MIA,2,3,67,50,2,2,0.00,2014
11,Steven Hauschka,K,10,SEA,NYG,1,1,100,28,5,5,0.00,2014
12,Dan Carpenter,K,10,BUF,KC,2,2,100,26,1,1,0.00,2014
13,Patrick Murray,K,10,TB,ATL,1,1,100,51,2,2,0.00,2014
14,Chandler Catanzaro,K,10,ARI,LAR,1,2,50,43,4,4,0.00,2014
15,Billy Cundiff,K,10,CLE,CIN,1,2,50,32,3,3,0.00,2014
16,Shayne Graham,K,10,NO,SF,1,1,100,40,3,3,0.00,2014
17,Cairo Santos,K,10,KC,BUF,1,1,100,36,2,2,0.00,2014
18,Sebastian Janikowski,K,10,OAK,DEN,1,1,100,41,2,2,0.00,2014
19,Josh Brown,K,10,NYG,SEA,1,1,100,41,2,2,0.00,2014
20,Mike Nugent,K,10,CIN,CLE,1,1,100,43,0,0,0.00,2014
21,Justin Tucker,K,10,BAL,TEN,0,0,0,0,3,3,0.00,2014
22,Graham Gano,K,10,CAR,PHI,0,0,0,0,3,3,0.00,2014
23,Greg Zuerlein,K,10,LAR,ARI,0,0,0,0,2,2,0.00,2014
24,Robbie Gould,K,10,CHI,GB,0,0,0,0,2,2,0.00,2014
25,Josh Scobee,K,10,JAX,DAL,0,0,0,0,1,1,0.00,2014
26,Ryan Succop,K,10,TEN,BAL,0,0,0,0,1,1,0.00,2014
27,Jordan Gay,K,10,BUF,KC,0,0,0,0,0,0,0.00,2014
