Rank,Player,Position,Week,Team,Opponent,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Rec,RecYds,RecTDs,Fumbles,FumLost,Points,Year
1,Peyton Hillis,RB,12,CLE,CAR,26,131,5,3,8,6,63,0,0,0,46.40,2010
2,Arian Foster,RB,12,HOU,TEN,30,143,5,0,11,9,75,0,0,0,33.80,2010
3,Fred Jackson,RB,12,BUF,PIT,12,59,5,0,5,5,104,1,1,0,30.30,2010
4,Jamaal Charles,RB,12,KC,SEA,22,173,8,1,3,2,3,0,1,1,27.60,2010
5,Mike Goodson,RB,12,CAR,CLE,14,55,4,1,10,8,81,0,0,0,27.60,2010
6,Maurice Morris,RB,12,DET,NE,9,55,6,2,5,5,20,0,0,0,24.50,2010
7,Rashard Mendenhall,RB,12,PIT,BUF,36,151,4,1,1,0,0,0,1,1,23.10,2010
8,Mike Tolbert,FB,12,LAC,IND,26,103,4,1,2,2,15,0,0,0,22.80,2010
9,Knowshon Moreno,RB,12,DEN,LAR,12,56,5,1,9,6,62,0,1,1,22.80,2010
10,Brian Westbrook,RB,12,SF,ARI,23,136,6,1,0,0,0,0,0,0,22.60,2010
11,Michael Turner,RB,12,ATL,GB,23,110,5,1,1,1,4,0,0,0,21.40,2010
12,Ray Rice,RB,12,BAL,TB,20,85,4,0,8,7,47,0,0,0,20.20,2010
13,LeSean McCoy,RB,12,PHI,CHI,10,53,5,0,9,8,67,0,0,0,20.00,2010
14,Maurice Jones-Drew,RB,12,JAX,NYG,21,113,5,0,4,4,9,0,0,0,19.20,2010
15,Matt Forte,RB,12,CHI,PHI,14,117,8,0,3,2,22,0,0,0,18.90,2010
16,Felix Jones,RB,12,DAL,NO,13,44,3,0,7,7,69,0,1,0,18.30,2010
17,BenJarvus Green-Ellis,RB,12,NE,DET,12,59,5,2,0,0,0,0,0,0,17.90,2010
18,Ricky Williams,RB,12,MIA,OAK,20,95,5,1,2,1,3,0,0,0,16.80,2010
19,Toby Gerhart,RB,12,MIN,WAS,22,76,4,1,2,2,5,0,0,0,16.10,2010
20,Chris Ivory,RB,12,NO,DAL,7,38,5,2,0,0,0,0,0,0,15.80,2010
21,Ahmad Bradshaw,RB,12,NYG,JAX,9,49,5,0,4,4,34,0,0,0,14.30,2010
22,Adrian Peterson,RB,12,MIN,WAS,6,36,6,1,1,1,34,0,0,0,14.00,2010
23,Darren McFadden,RB,12,OAK,MIA,8,2,0,0,10,7,63,0,0,0,13.50,2010
24,Donald Brown,RB,12,IND,LAC,11,24,2,0,6,5,47,0,0,0,12.10,2010
25,Anthony Dixon,RB,12,SF,ARI,14,54,4,1,1,1,-5,0,0,0,11.90,2010
26,Rashad Jennings,RB,12,JAX,NYG,7,53,8,1,0,0,0,0,0,0,11.30,2010
27,Patrick Cobbs,RB,12,MIA,OAK,0,0,0,0,3,2,32,1,0,0,11.20,2010
28,Thomas Jones,RB,12,KC,SEA,20,68,3,0,3,3,14,0,0,0,11.20,2010
29,Cadillac Williams,RB,12,TB,BAL,4,19,5,0,8,5,41,0,0,0,11.00,2010
30,Marion Barber,RB,12,DAL,NO,10,19,2,1,2,2,8,0,0,0,10.70,2010
31,Aaron Brown,RB,12,DET,NE,13,36,3,0,8,4,29,0,0,0,10.50,2010
32,Jonathan Stewart,RB,12,CAR,CLE,12,98,8,0,0,0,0,0,0,0,9.80,2010
33,Julius Jones,RB,12,NO,DAL,10,45,5,0,3,3,21,0,0,0,9.60,2010
34,Shonn Greene,RB,12,NYJ,CIN,18,70,4,0,2,1,11,0,0,0,9.10,2010
35,Brandon Jacobs,RB,12,NYG,JAX,14,87,6,0,0,0,0,0,0,0,8.70,2010
36,Ronnie Brown,RB,12,MIA,OAK,24,85,4,0,0,0,0,0,1,0,8.50,2010
37,Mewelde Moore,RB,12,PIT,BUF,3,12,4,0,5,4,33,0,0,0,8.50,2010
38,LaDainian Tomlinson,RB,12,NYJ,CIN,13,49,4,0,5,2,14,0,0,0,8.30,2010
39,Darren Sproles,RB,12,LAC,IND,4,17,4,0,4,4,24,0,0,0,8.10,2010
40,Jason Snelling,RB,12,ATL,GB,4,7,2,0,4,4,32,0,0,0,7.90,2010
41,Steven Jackson,RB,12,LAR,DEN,29,72,3,0,3,1,-6,0,0,0,7.60,2010
42,Jacob Hester,RB,12,LAC,IND,0,0,0,0,4,4,34,0,0,0,7.40,2010
43,Chris Wells,RB,12,ARI,SF,5,13,3,0,1,1,43,0,0,0,6.60,2010
44,Brandon Jackson,RB,12,GB,ATL,10,26,3,0,4,3,10,0,0,0,6.60,2010
45,Keiland Williams,RB,12,WAS,MIN,3,5,2,0,6,4,21,0,0,0,6.60,2010
46,Danny Woodhead,RB,12,NE,DET,8,32,4,0,2,2,13,0,0,0,6.50,2010
47,Kenneth Darby,RB,12,LAR,DEN,2,4,2,1,1,0,0,0,0,0,6.40,2010
48,Tashard Choice,RB,12,DAL,NO,1,1,1,1,0,0,0,0,0,0,6.10,2010
49,LeGarrette Blount,RB,12,TB,BAL,13,55,4,0,0,0,0,0,0,0,5.50,2010
50,Marshawn Lynch,RB,12,SEA,KC,7,20,3,0,2,2,13,0,0,0,5.30,2010
