Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Nate Kaeding,K,12,LAC,IND,5,5,100,50,3,3,0.00,2010
2,Dan Carpenter,K,12,MIA,OAK,4,6,67,49,3,3,0.00,2010
3,David Akers,K,12,PHI,CHI,4,4,100,45,2,2,0.00,2010
4,Shaun Suisham,K,12,PIT,BUF,4,4,100,48,1,1,0.00,2010
5,Garrett Hartley,K,12,NO,DAL,3,3,100,50,3,3,0.00,2010
6,Josh Brown,K,12,LAR,DEN,3,4,75,37,3,3,0.00,2010
7,David Buehler,K,12,DAL,NO,2,3,67,53,3,3,0.00,2010
8,John Kasay,K,12,CAR,CLE,3,5,60,43,2,2,0.00,2010
9,Rian Lindell,K,12,BUF,PIT,3,3,100,49,1,1,0.00,2010
10,Lawrence Tynes,K,12,NYG,JAX,3,3,100,29,1,1,0.00,2010
11,Shayne Graham,K,12,NE,DET,1,1,100,19,6,6,0.00,2010
12,Matt Prater,K,12,DEN,LAR,2,2,100,49,3,3,0.00,2010
13,Shane Andrus,K,12,SF,ARI,2,4,50,38,3,3,0.00,2010
14,Matt Bryant,K,12,ATL,GB,2,2,100,47,2,2,0.00,2010
15,Neil Rackers,K,12,HOU,TEN,2,2,100,35,2,2,0.00,2010
16,Josh Scobee,K,12,JAX,NYG,2,2,100,42,2,2,0.00,2010
17,Robbie Gould,K,12,CHI,PHI,1,1,100,23,4,4,0.00,2010
18,Graham Gano,K,12,WAS,MIN,2,2,100,42,1,1,0.00,2010
19,Dave Rayner,K,12,DET,NE,1,2,50,44,3,3,0.00,2010
20,Nick Folk,K,12,NYJ,CIN,1,2,50,27,3,3,0.00,2010
21,Phil Dawson,K,12,CLE,CAR,1,1,100,41,3,3,0.00,2010
22,Ryan Succop,K,12,KC,SEA,0,1,0,0,6,6,0.00,2010
23,Olindo Mare,K,12,SEA,KC,1,1,100,43,3,3,0.00,2010
24,Jay Feely,K,12,ARI,SF,2,2,100,39,0,0,0.00,2010
25,Mason Crosby,K,12,GB,ATL,1,1,100,22,2,2,0.00,2010
26,Billy Cundiff,K,12,BAL,TB,1,1,100,45,2,2,0.00,2010
27,Ryan Longwell,K,12,MIN,WAS,1,1,100,31,2,2,0.00,2010
28,Sebastian Janikowski,K,12,OAK,MIA,1,1,100,30,2,2,0.00,2010
29,A Pettrey,K,12,CIN,NYJ,1,2,50,28,1,1,0.00,2010
30,Connor Barth,K,12,TB,BAL,1,1,100,22,1,1,0.00,2010
31,Adam Vinatieri,K,12,IND,LAC,0,0,0,0,2,2,0.00,2010
32,Thomas Howard,K,12,OAK,MIA,0,0,0,0,0,0,0.00,2010
33,Rhys Lloyd,K,12,CAR,CLE,0,0,0,0,0,0,0.00,2010
34,Rob Bironas,K,12,TEN,HOU,0,0,0,0,0,0,0.00,2010
