Player,Position,Team,Opponent,Points
Kyle Orton,QB,DEN,LAR,28.88
Matt Cassel,QB,KC,SEA,28.12
Michael Vick,QB,PHI,CHI,27.72
Jay Cutler,QB,CHI,PHI,27.58
Sam Bradford,QB,LAR,DEN,27.22
Chad Henne,QB,MIA,OAK,21.88
Drew Brees,QB,NO,DAL,19.78
Joe Flacco,QB,BAL,TB,18.36
Eli Manning,QB,NYG,JAX,16.94
Jon Kitna,QB,DAL,NO,16.52
Matt Hasselbeck,QB,SEA,KC,16.08
Shaun Hill,QB,DET,NE,15.70
Peyton Manning,QB,IND,LAC,15.40
Matt Schaub,QB,HOU,TEN,14.92
David Garrard,QB,JAX,NYG,14.58
Ryan Fitzpatrick,QB,BUF,PIT,14.00
Josh Freeman,QB,TB,BAL,13.18
Donovan McNabb,QB,WAS,MIN,12.14
Bruce Gradkowski,QB,OAK,MIA,12.08
Matt Ryan,QB,ATL,GB,11.88
Ben Roethlisberger,QB,PIT,BUF,11.64
Mark Sanchez,QB,NYJ,CIN,9.24
Troy Smith,QB,SF,ARI,8.76
Philip Rivers,QB,LAC,IND,8.10
Jake Delhomme,QB,CLE,CAR,8.00
Carson Palmer,QB,CIN,NYJ,7.90
Brett Favre,QB,MIN,WAS,7.78
Jimmy Clausen,QB,CAR,CLE,6.80
Derek Anderson,QB,ARI,SF,5.84
Rusty Smith,QB,TEN,HOU,2.52
Josh Johnson,QB,TB,BAL,0.00
Sage Rosenfels,QB,NYG,JAX,0.00
Chase Daniel,QB,NO,DAL,0.00
Ben Obomanu,WR,SEA,KC,29.90
Deion Branch,WR,NE,DET,29.30
Wes Welker,WR,NE,DET,29.00
Brandon Lloyd,WR,DEN,LAR,23.60
Derrick Mason,WR,BAL,TB,22.70
Earl Bennett,WR,CHI,PHI,21.60
Brad Smith,WR,NYJ,CIN,20.80
Hines Ward,WR,PIT,BUF,20.70
Andre Johnson,WR,HOU,TEN,20.60
Eddie Royal,WR,DEN,LAR,20.40
Davone Bess,WR,MIA,OAK,20.10
Greg Jennings,WR,GB,ATL,19.90
Calvin Johnson,WR,DET,NE,19.60
Marques Colston,WR,NO,DAL,19.50
Miles Austin,WR,DAL,NO,17.50
Jordy Nelson,WR,GB,ATL,17.10
Jason Avant,WR,PHI,CHI,16.30
Johnny Knox,WR,CHI,PHI,15.80
Santonio Holmes,WR,NYJ,CIN,15.40
Mario Manningham,WR,NYG,JAX,15.10
Lance Moore,WR,NO,DAL,14.90
Jordan Shipley,WR,CIN,NYJ,14.80
Jeremy Maclin,WR,PHI,CHI,14.70
Steve Johnson,WR,BUF,PIT,13.80
Devery Henderson,WR,NO,DAL,13.70
Danario Alexander,WR,LAR,DEN,13.50
Blair White,WR,IND,LAC,13.40
Danny Amendola,WR,LAR,DEN,12.90
Michael Crabtree,WR,SF,ARI,12.80
Marlon Moore,WR,MIA,OAK,12.70
Roy Williams,WR,DAL,NO,12.30
Pierre Garcon,WR,IND,LAC,12.20
Brian Robiskie,WR,CLE,CAR,12.00
