Rank,Player,Position,Week,Team,Opponent,Comp,PassAtt,CompPct,PassYds,PassYdsPerAtt,PassTD,Interceptions,QBRating,RushAtt,RushYds,RushYdsPerAtt,RushTD,Points,Year
1,Peyton Manning,QB,10,IND,NE,28,44,64,327,7,4,2,97,0,0,0,0,30.08,2009
2,Tom Brady,QB,10,NE,IND,29,42,69,375,9,3,1,111,3,3,1,0,29.30,2009
3,Donovan McNabb,QB,10,PHI,LAC,35,55,64,450,8,2,1,94,0,0,0,0,28.00,2009
4,Kurt Warner,QB,10,ARI,SEA,29,38,76,340,9,2,0,121,4,0,0,0,24.60,2009
5,Brett Favre,QB,10,MIN,DET,20,29,69,344,12,1,0,120,1,-1,-1,0,20.66,2009
6,Marc Bulger,QB,10,LAR,NO,26,40,65,298,7,2,1,94,1,7,7,0,19.62,2009
7,Aaron Rodgers,QB,10,GB,DAL,25,36,69,189,5,1,0,91,5,15,3,1,19.06,2009
8,David Garrard,QB,10,JAX,NYJ,16,26,62,221,9,1,0,102,6,11,2,1,18.94,2009
9,Matt Hasselbeck,QB,10,SEA,ARI,26,52,50,315,6,1,2,59,2,7,4,0,18.30,2009
10,Philip Rivers,QB,10,LAC,PHI,20,25,80,231,9,2,0,132,1,-1,-1,0,17.14,2009
11,Jake Delhomme,QB,10,CAR,ATL,15,24,63,195,8,2,0,116,4,11,3,0,16.90,2009
12,Kyle Orton,QB,10,DEN,WAS,11,18,61,193,11,2,0,135,1,3,3,0,16.02,2009
13,Matthew Stafford,QB,10,DET,MIN,29,51,57,224,4,1,0,74,4,28,7,0,15.76,2009
14,Drew Brees,QB,10,NO,LAR,18,26,69,223,9,2,2,89,0,0,0,0,14.92,2009
15,Vince Young,QB,10,TEN,BUF,17,25,68,210,8,1,1,90,5,29,6,0,14.30,2009
16,Tony Romo,QB,10,DAL,GB,24,39,62,251,6,1,1,78,3,16,5,0,13.64,2009
17,Josh Freeman,QB,10,TB,MIA,16,28,57,196,7,1,1,76,6,35,6,0,13.34,2009
18,Jason Campbell,QB,10,WAS,DEN,17,26,65,193,7,1,0,100,2,15,8,0,13.22,2009
19,Matt Ryan,QB,10,ATL,CAR,22,41,54,224,6,1,2,57,2,4,2,0,11.36,2009
20,Trent Edwards,QB,10,BUF,TEN,18,28,64,185,7,1,1,80,3,4,1,0,10.80,2009
21,Mark Sanchez,QB,10,NYJ,JAX,16,30,53,212,7,1,2,59,0,0,0,0,10.48,2009
22,Jay Cutler,QB,10,CHI,SF,29,52,56,307,6,0,5,34,1,2,2,0,10.48,2009
23,Chad Henne,QB,10,MIA,TB,17,31,55,175,6,1,1,69,0,0,0,0,10.00,2009
24,Ben Roethlisberger,QB,10,PIT,CIN,20,40,50,174,4,0,1,51,2,16,8,0,7.56,2009
25,Carson Palmer,QB,10,CIN,PIT,18,30,60,178,6,0,0,77,5,-2,0,0,6.92,2009
26,Matt Cassel,QB,10,KC,OAK,19,34,56,216,6,0,1,63,4,-3,-1,0,6.34,2009
27,Joe Flacco,QB,10,BAL,CLE,13,18,72,155,9,0,0,98,1,-6,-6,0,5.60,2009
28,Alex Smith,QB,10,SF,CHI,16,23,70,118,5,0,1,63,2,2,1,0,3.92,2009
29,JaMarcus Russell,QB,10,OAK,KC,8,23,35,64,3,0,0,44,0,0,0,0,2.56,2009
30,Seneca Wallace,QB,10,SEA,ARI,1,1,100,16,16,0,0,119,0,0,0,0,2.14,2009
31,Brady Quinn,QB,10,CLE,BAL,13,31,42,99,3,0,2,23,2,1,1,0,2.06,2009
32,Bruce Gradkowski,QB,10,OAK,KC,5,9,56,49,5,0,2,31,1,9,9,0,0.86,2009
33,Pat White,QB,10,MIA,TB,0,1,0,0,0,0,0,40,1,1,1,0,0.10,2009
34,Kellen Clemens,QB,10,NYJ,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2009
35,Mark Brunell,QB,10,NO,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2009
36,Matt Flynn,QB,10,GB,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2009
37,Michael Vick,QB,10,PHI,LAC,0,1,0,0,0,0,0,40,0,0,0,0,0.00,2009
38,Tarvaris Jackson,QB,10,MIN,DET,0,2,0,0,0,0,0,40,3,-3,-1,0,-0.30,2009
39,Chris Simms,QB,10,DEN,WAS,3,13,23,13,1,0,1,8,0,0,0,0,-0.48,2009
40,Ryan Fitzpatrick,QB,10,BUF,TEN,2,7,29,6,1,0,1,0,0,0,0,0,-0.76,2009
