Player,Position,Team,Opponent,Points
Donovan McNabb,QB,PHI,LAC,28.00
Kurt Warner,QB,ARI,SEA,24.60
Brett Favre,QB,MIN,DET,20.66
Marc Bulger,QB,LAR,NO,19.62
Aaron Rodgers,QB,GB,DAL,19.06
David Garrard,QB,JAX,NYJ,18.94
Matt Hasselbeck,QB,SEA,ARI,18.30
Philip Rivers,QB,LAC,PHI,17.14
Jake Delhomme,QB,CAR,ATL,16.90
Kyle Orton,QB,DEN,WAS,16.02
Matthew Stafford,QB,DET,MIN,15.76
Drew Brees,QB,NO,LAR,14.92
Vince Young,QB,TEN,BUF,14.30
Tony Romo,QB,DAL,GB,13.64
Josh Freeman,QB,TB,MIA,13.34
Jason Campbell,QB,WAS,DEN,13.22
Matt Ryan,QB,ATL,CAR,11.36
Trent Edwards,QB,BUF,TEN,10.80
Mark Sanchez,QB,NYJ,JAX,10.48
Jay Cutler,QB,CHI,SF,10.48
Chad Henne,QB,MIA,TB,10.00
Ben Roethlisberger,QB,PIT,CIN,7.56
Carson Palmer,QB,CIN,PIT,6.92
Matt Cassel,QB,KC,OAK,6.34
Joe Flacco,QB,BAL,CLE,5.60
Alex Smith,QB,SF,CHI,3.92
JaMarcus Russell,QB,OAK,KC,2.56
Seneca Wallace,QB,SEA,ARI,2.14
Brady Quinn,QB,CLE,BAL,2.06
Bruce Gradkowski,QB,OAK,KC,0.86
Pat White,QB,MIA,TB,0.10
Mark Brunell,QB,NO,LAR,0.00
Kellen Clemens,QB,NYJ,JAX,0.00
Michael Vick,QB,PHI,LAC,0.00
Matt Flynn,QB,GB,DAL,0.00
Tarvaris Jackson,QB,MIN,DET,-0.30
Chris Simms,QB,DEN,WAS,-0.48
Ryan Fitzpatrick,QB,BUF,TEN,-0.76
Brandon Marshall,WR,DEN,WAS,34.30
Sidney Rice,WR,MIN,DET,30.10
TJ Houshmandzadeh,WR,SEA,ARI,28.50
Jason Avant,WR,PHI,LAC,26.60
Roy Williams,WR,DAL,GB,23.50
Donnie Avery,WR,LAR,NO,22.70
Anquan Boldin,WR,ARI,SEA,21.50
Lee Evans,WR,BUF,TEN,21.00
Larry Fitzgerald,WR,ARI,SEA,20.30
Steve Smith,WR,CAR,ATL,19.40
Jeremy Maclin,WR,PHI,LAC,19.00
Jerricho Cotchery,WR,NYJ,JAX,18.80
Wes Welker,WR,NE,IND,18.40
Steve Breaston,WR,ARI,SEA,17.90
DeSean Jackson,WR,PHI,LAC,17.10
Roddy White,WR,ATL,CAR,16.80
Calvin Johnson,WR,DET,MIN,16.40
Brandon Gibson,WR,LAR,NO,16.30
Santonio Holmes,WR,PIT,CIN,15.80
Dwayne Bowe,WR,KC,OAK,15.10
Muhsin Muhammad,WR,CAR,ATL,15.10
Maurice Stovall,WR,TB,MIA,14.70
Legedu Naanee,WR,LAC,PHI,14.20
Pierre Garcon,WR,IND,NE,14.00
Mike Sims-Walker,WR,JAX,NYJ,13.90
Robert Meachem,WR,NO,LAR,13.80
Devin Hester,WR,CHI,SF,11.80
Laveranues Coles,WR,CIN,PIT,11.70
Terrell Owens,WR,BUF,TEN,11.50
Nate Washington,WR,TEN,BUF,11.40
Davone Bess,WR,MIA,TB,11.20
Devery Henderson,WR,NO,LAR,11.20
Derrick Mason,WR,BAL,CLE,10.80
Dennis Northcutt,WR,DET,MIN,10.80
Austin Collie,WR,IND,NE,10.50
Braylon Edwards,WR,NYJ,JAX,9.90
Julian Edelman,WR,NE,IND,9.40
Patrick Crayton,WR,DAL,GB,9.20
Chris Chambers,WR,KC,OAK,9.00
Percy Harvin,WR,MIN,DET,9.00
Deion Branch,WR,SEA,ARI,9.00
Donald Driver,WR,GB,DAL,9.00
Mike Furrey,WR,CLE,BAL,9.00
Michael Crabtree,WR,SF,CHI,8.80
Mike Thomas,WR,JAX,NYJ,8.60
Greg Jennings,WR,GB,DAL,8.50
JohnnieLee Higgins,WR,OAK,KC,8.30
Kenny Britt,WR,TEN,BUF,7.50
Antonio Gates,TE,LAC,PHI,14.80
Greg Olsen,TE,CHI,SF,14.50
Will Heller,TE,DET,MIN,13.30
Tony Gonzalez,TE,ATL,CAR,12.70
Dustin Keller,TE,NYJ,JAX,12.50
Kory Sperry,TE,MIA,TB,12.10
Mike Sellers,TE,WAS,DEN,10.50
Dallas Clark,TE,IND,NE,10.50
John Carlson,TE,SEA,ARI,10.10
Jason Witten,TE,DAL,GB,9.70
David Thomas,TE,NO,LAR,9.50
Justin Peelle,TE,ATL,CAR,9.20
Fred Davis,TE,WAS,DEN,9.00
Todd Heap,TE,BAL,CLE,8.30
Daniel Fells,TE,LAR,NO,8.10
Jeff Dugan,TE,MIN,DET,7.80
Marcedes Lewis,TE,JAX,NYJ,7.80
Visanthe Shiancoe,TE,MIN,DET,7.30
Todd Yoder,TE,WAS,DEN,7.20
Spencer Havner,TE,GB,DAL,7.20
Jeremy Shockey,TE,NO,LAR,7.20
Tony Scheffler,TE,DEN,WAS,6.90
Heath Miller,TE,PIT,CIN,6.60
Deon Butler,TE,SEA,ARI,5.60
Randy McMichael,TE,LAR,NO,5.00
Joey Haynos,TE,MIA,TB,4.70
Benjamin Watson,TE,NE,IND,4.60
Vernon Davis,TE,SF,CHI,4.60
JP Foschi,TE,CIN,PIT,4.40
Brandon Pettigrew,TE,DET,MIN,4.30
Shawn Nelson,TE,BUF,TEN,4.30
Jeff King,TE,CAR,ATL,4.20
Donald Lee,TE,GB,DAL,4.10
Leonard Pope,TE,KC,OAK,4.10
Isaiah Stanback,TE,NE,IND,3.70
Bo Scaife,TE,TEN,BUF,3.60
Chris Baker,TE,NE,IND,3.30
Gijon Robinson,TE,IND,NE,2.60
Jerramy Stevens,TE,TB,MIA,2.50
Billy Bajema,TE,LAR,NO,2.20
Zach Miller,TE,JAX,NYJ,2.10
Dante Rosario,TE,CAR,ATL,2.10
Steve Heiden,TE,CLE,BAL,1.90
Zach Miller,TE,OAK,KC,1.90
Derek Fine,TE,BUF,TEN,1.80
Desmond Clark,TE,CHI,SF,1.70
Robert Royal,TE,CLE,BAL,1.70
