Player,Position,Team,Opponent,Points
Ben Roethlisberger,QB,PIT,LAC,24.62
Peyton Manning,QB,IND,SEA,24.02
Brett Favre,QB,MIN,GB,22.64
Eli Manning,QB,NYG,KC,21.68
Philip Rivers,QB,LAC,PIT,21.26
Jay Cutler,QB,CHI,DET,20.44
Tom Brady,QB,NE,BAL,20.42
Kerry Collins,QB,TEN,JAX,20.36
Derek Anderson,QB,CLE,CIN,19.96
Seneca Wallace,QB,SEA,IND,19.08
Carson Palmer,QB,CIN,CLE,18.20
Joe Flacco,QB,BAL,NE,17.76
Kyle Orton,QB,DEN,DAL,17.72
Matthew Stafford,QB,DET,CHI,15.84
Matt Cassel,QB,KC,NYG,15.58
Shaun Hill,QB,SF,LAR,13.88
Jason Campbell,QB,WAS,TB,12.80
Matt Schaub,QB,HOU,OAK,11.86
Josh Johnson,QB,TB,WAS,11.34
Chad Henne,QB,MIA,BUF,10.00
Trent Edwards,QB,BUF,MIA,8.68
Tony Romo,QB,DAL,DEN,8.20
Drew Brees,QB,NO,NYJ,8.10
JaMarcus Russell,QB,OAK,HOU,4.12
Mark Sanchez,QB,NYJ,NO,3.92
Kyle Boller,QB,LAR,SF,2.82
Daunte Culpepper,QB,DET,CHI,2.16
Matt Flynn,QB,GB,MIN,0.00
Mark Brunell,QB,NO,NYJ,0.00
David Carr,QB,NYG,KC,0.00
Pat White,QB,MIA,BUF,-0.10
Mohamed Massaquoi,WR,CLE,CIN,25.80
Calvin Johnson,WR,DET,CHI,25.50
Hines Ward,WR,PIT,LAC,22.30
Derrick Mason,WR,BAL,NE,21.80
TJ Houshmandzadeh,WR,SEA,IND,21.30
Kenny Britt,WR,TEN,JAX,20.50
Nate Washington,WR,TEN,JAX,19.60
Bernard Berrian,WR,MIN,GB,19.50
Reggie Wayne,WR,IND,SEA,19.40
Brandon Marshall,WR,DEN,DAL,19.10
Austin Collie,WR,IND,SEA,18.50
Sidney Rice,WR,MIN,GB,18.00
Chad Johnson,WR,CIN,CLE,17.40
Santana Moss,WR,WAS,TB,15.40
Antonio Bryant,WR,TB,WAS,14.40
Johnny Knox,WR,CHI,DET,14.10
Randy Moss,WR,NE,BAL,14.00
Chris Chambers,WR,LAC,PIT,13.90
Jordy Nelson,WR,GB,MIN,13.70
Hakeem Nicks,WR,NYG,KC,12.40
Jerricho Cotchery,WR,NYJ,NO,12.10
Josh Morgan,WR,SF,LAR,11.90
Deion Branch,WR,SEA,IND,10.90
Wes Welker,WR,NE,BAL,10.80
Pierre Garcon,WR,IND,SEA,10.10
Santonio Holmes,WR,PIT,LAC,9.90
Brian Hartline,WR,MIA,BUF,9.60
Vincent Jackson,WR,LAC,PIT,9.60
Donald Driver,WR,GB,MIN,9.50
Mark Clayton,WR,BAL,NE,9.50
Sam Hurd,WR,DAL,DEN,9.20
Terrell Owens,WR,BUF,MIA,9.00
Mike Thomas,WR,JAX,TEN,9.00
Bobby Wade,WR,KC,NYG,8.80
Andre Johnson,WR,HOU,OAK,8.60
Greg Camarillo,WR,MIA,BUF,8.20
Lee Evans,WR,BUF,MIA,8.00
Donnie Avery,WR,LAR,SF,7.70
Mike Furrey,WR,CLE,CIN,7.70
Jacoby Jones,WR,HOU,OAK,7.60
Josh Reed,WR,BUF,MIA,7.30
Torry Holt,WR,JAX,TEN,7.20
Kelley Washington,WR,BAL,NE,7.10
Nate Burleson,WR,SEA,IND,7.10
