Rank,Player,Position,Week,Team,Opponent,TFL,Sacks,QBHits,Interceptions,FumRec,Safeties,DefTD,ReturnTD,PtsAllowed,Points,Year
1,Carolina Panthers,DST,12,CAR,DAL,5,2,5,3,0,0,2,0,14,21.00,2015
2,Cincinnati Bengals,DST,12,CIN,LAR,5,1,12,3,0,0,1,0,7,17.00,2015
3,Baltimore Ravens,DST,12,BAL,CLE,4,2,12,0,0,0,0,2,27,16.00,2015
4,Minnesota Vikings,DST,12,MIN,ATL,5,2,5,2,1,0,0,0,10,12.00,2015
5,Houston Texans,DST,12,HOU,NO,7,2,9,1,0,0,0,0,6,11.00,2015
6,Indianapolis Colts,DST,12,IND,TB,4,5,12,1,0,0,0,0,12,11.00,2015
7,Chicago Bears,DST,12,CHI,GB,4,2,6,1,1,0,0,0,13,10.00,2015
8,Washington Redskins,DST,12,WAS,NYG,5,3,9,3,0,0,0,0,14,10.00,2015
9,Arizona Cardinals,DST,12,ARI,SF,4,2,4,1,1,0,0,0,13,10.00,2015
10,Detroit Lions,DST,12,DET,PHI,8,6,9,0,1,0,0,0,14,9.00,2015
11,Seattle Seahawks,DST,12,SEA,PIT,4,2,4,4,0,0,0,0,30,9.00,2015
12,Cleveland Browns,DST,12,CLE,BAL,2,0,2,2,0,0,1,0,33,9.00,2015
13,New York Jets,DST,12,NYJ,MIA,3,3,9,1,1,0,0,0,20,8.00,2015
14,Oakland Raiders,DST,12,OAK,TEN,4,2,4,2,0,0,0,0,21,8.00,2015
15,Tampa Bay Buccaneers,DST,12,TB,IND,7,3,11,0,1,0,0,0,25,5.00,2015
16,Kansas City Chiefs,DST,12,KC,BUF,2,1,4,0,2,0,0,0,22,5.00,2015
17,Tennessee Titans,DST,12,TEN,OAK,5,1,3,0,2,0,0,0,24,5.00,2015
18,Denver Broncos,DST,12,DEN,NE,3,3,9,0,1,0,0,0,24,5.00,2015
19,Los Angeles Chargers,DST,12,LAC,JAX,1,2,2,1,0,0,0,0,25,4.00,2015
20,New England Patriots,DST,12,NE,DEN,6,3,7,1,0,0,0,0,30,4.00,2015
21,Atlanta Falcons,DST,12,ATL,MIN,1,0,3,1,0,0,0,0,20,3.00,2015
22,New Orleans Saints,DST,12,NO,HOU,4,1,4,1,0,0,0,0,24,3.00,2015
23,Dallas Cowboys,DST,12,DAL,CAR,5,1,2,0,0,0,0,0,33,3.00,2015
24,Jacksonville Jaguars,DST,12,JAX,LAC,6,2,4,0,0,0,0,0,31,3.00,2015
25,New York Giants,DST,12,NYG,WAS,6,0,3,0,0,0,0,0,20,3.00,2015
26,Green Bay Packers,DST,12,GB,CHI,5,1,4,0,0,0,0,0,17,2.00,2015
27,Los Angeles Rams,DST,12,LAR,CIN,1,0,0,1,0,0,0,0,31,2.00,2015
28,San Francisco 49ers,DST,12,SF,ARI,6,1,9,0,0,0,0,0,19,2.00,2015
29,Buffalo Bills,DST,12,BUF,KC,2,1,0,0,0,0,0,0,30,0.00,2015
30,Pittsburgh Steelers,DST,12,PIT,SEA,4,2,5,0,0,0,0,0,39,0.00,2015
31,Philadelphia Eagles,DST,12,PHI,DET,6,2,3,0,0,0,0,0,45,-2.00,2015
32,Miami Dolphins,DST,12,MIA,NYJ,4,1,5,0,0,0,0,0,38,-3.00,2015
