Player,Position,Team,Opponent,Points
Philip Rivers,QB,LAC,JAX,31.90
Ryan Fitzpatrick,QB,NYJ,MIA,29.18
Derek Carr,QB,OAK,TEN,27.70
Tyrod Taylor,QB,BUF,KC,27.24
Ben Roethlisberger,QB,PIT,SEA,27.04
Ryan Tannehill,QB,MIA,NYJ,27.04
Blake Bortles,QB,JAX,LAC,26.46
Kirk Cousins,QB,WAS,NYG,25.18
Matt Hasselbeck,QB,IND,TB,23.30
Tom Brady,QB,NE,DEN,23.20
Alex Smith,QB,KC,BUF,21.70
Marcus Mariota,QB,TEN,OAK,21.42
Eli Manning,QB,NYG,WAS,20.84
Andy Dalton,QB,CIN,LAR,20.72
Blaine Gabbert,QB,SF,ARI,19.82
Cam Newton,QB,CAR,DAL,17.82
Carson Palmer,QB,ARI,SF,17.44
Matt Schaub,QB,BAL,CLE,16.28
Jameis Winston,QB,TB,IND,15.50
Mark Sanchez,QB,PHI,DET,15.36
Brian Hoyer,QB,HOU,NO,14.90
Aaron Rodgers,QB,GB,CHI,14.38
Brock Osweiler,QB,DEN,NE,14.20
Josh McCown,QB,CLE,BAL,13.68
Jay Cutler,QB,CHI,GB,12.90
Matt Ryan,QB,ATL,MIN,11.10
Matt Cassel,QB,DAL,CAR,10.62
Drew Brees,QB,NO,HOU,8.12
Austin Davis,QB,CLE,BAL,7.78
Nick Foles,QB,LAR,CIN,6.32
Teddy Bridgewater,QB,MIN,ATL,5.66
Sean Mannion,QB,LAR,CIN,1.24
Tony Romo,QB,DAL,CAR,1.24
AJ McCarron,QB,CIN,LAR,0.12
Matt McGloin,QB,OAK,TEN,0.00
BJ Daniels,QB,SEA,PIT,0.00
Drew Stanton,QB,ARI,SF,0.00
Joe Webb,QB,CAR,DAL,0.00
Landry Jones,QB,PIT,SEA,-0.64
Markus Wheaton,WR,PIT,SEA,38.10
Brandon Marshall,WR,NYJ,MIA,37.10
Sammy Watkins,WR,BUF,KC,36.80
Calvin Johnson,WR,DET,PHI,35.30
Jeremy Maclin,WR,KC,BUF,34.00
Seth Roberts,WR,OAK,TEN,32.30
Odell Beckham Jr,WR,NYG,WAS,32.20
TY Hilton,WR,IND,TB,27.50
AJ Green,WR,CIN,LAR,24.10
Donte Moncrief,WR,IND,TB,22.40
Steve Johnson,WR,LAC,JAX,22.20
Travis Benjamin,WR,CLE,BAL,22.00
Tavon Austin,WR,LAR,CIN,21.60
Amari Cooper,WR,OAK,TEN,21.50
Jermaine Kearse,WR,SEA,PIT,20.70
