Rank,Player,Position,Week,Team,Opponent,Comp,PassAtt,CompPct,PassYds,PassYdsPerAtt,PassTD,Interceptions,QBRating,RushAtt,RushYds,RushYdsPerAtt,RushTD,Points,Year
1,Russell Wilson,QB,12,SEA,PIT,21,30,70,345,12,5,0,148,4,14,4,0,38.20,2015
2,Matthew Stafford,QB,12,DET,PHI,27,38,71,337,9,5,0,138,2,13,7,0,37.78,2015
3,Philip Rivers,QB,12,LAC,JAX,29,43,67,300,7,4,0,118,5,9,2,0,31.90,2015
4,Ryan Fitzpatrick,QB,12,NYJ,MIA,22,37,60,277,8,4,0,119,5,21,4,0,29.18,2015
5,Derek Carr,QB,12,OAK,TEN,24,37,65,330,9,3,0,120,4,5,1,0,27.70,2015
6,Tyrod Taylor,QB,12,BUF,KC,21,38,55,291,8,3,0,106,5,46,9,0,27.24,2015
7,Ryan Tannehill,QB,12,MIA,NYJ,33,58,57,351,6,3,1,85,0,0,0,0,27.04,2015
8,Ben Roethlisberger,QB,12,PIT,SEA,36,55,66,456,8,1,2,82,5,18,4,0,27.04,2015
9,Blake Bortles,QB,12,JAX,LAC,30,49,61,329,7,2,1,86,6,33,6,0,26.46,2015
10,Kirk Cousins,QB,12,WAS,NYG,20,29,69,302,10,1,0,114,4,1,0,1,25.18,2015
11,Matt Hasselbeck,QB,12,IND,TB,26,42,62,315,8,2,0,101,3,-3,-1,0,23.30,2015
12,Tom Brady,QB,12,NE,DEN,23,42,55,280,7,3,0,99,0,0,0,0,23.20,2015
13,Alex Smith,QB,12,KC,BUF,19,30,63,255,9,2,0,113,6,35,6,0,21.70,2015
14,Marcus Mariota,QB,12,TEN,OAK,17,37,46,218,6,3,2,69,1,7,7,0,21.42,2015
15,Eli Manning,QB,12,NYG,WAS,26,51,51,321,6,2,3,59,0,0,0,0,20.84,2015
16,Andy Dalton,QB,12,CIN,LAR,20,27,74,233,9,3,1,121,2,4,2,0,20.72,2015
17,Blaine Gabbert,QB,12,SF,ARI,25,36,69,318,9,1,1,94,1,11,11,0,19.82,2015
18,Cam Newton,QB,12,CAR,DAL,16,27,59,183,7,0,0,80,12,45,4,1,17.82,2015
19,Carson Palmer,QB,12,ARI,SF,24,40,60,271,7,0,0,80,3,6,2,1,17.44,2015
20,Matt Schaub,QB,12,BAL,CLE,20,34,59,232,7,2,2,75,3,10,3,0,16.28,2015
21,Jameis Winston,QB,12,TB,IND,20,36,56,245,7,1,1,74,3,27,9,0,15.50,2015
22,Mark Sanchez,QB,12,PHI,DET,19,27,70,199,7,2,0,116,2,4,2,0,15.36,2015
23,Brian Hoyer,QB,12,HOU,NO,21,27,78,205,8,2,1,108,3,-3,-1,0,14.90,2015
24,Aaron Rodgers,QB,12,GB,CHI,22,43,51,202,5,1,1,62,4,33,8,0,14.38,2015
25,Brock Osweiler,QB,12,DEN,NE,23,42,55,270,6,1,1,73,2,4,2,0,14.20,2015
26,Josh McCown,QB,12,CLE,BAL,21,38,55,212,6,1,0,80,2,12,6,0,13.68,2015
27,Jay Cutler,QB,12,CHI,GB,19,31,61,200,7,1,0,91,4,9,2,0,12.90,2015
28,Matt Ryan,QB,12,ATL,MIN,22,31,71,230,7,1,2,76,1,-1,-1,0,11.10,2015
29,Matt Cassel,QB,12,DAL,CAR,13,19,68,93,5,1,0,97,2,9,5,0,10.62,2015
30,Drew Brees,QB,12,NO,HOU,25,44,57,228,5,0,1,62,0,0,0,0,8.12,2015
31,Austin Davis,QB,12,CLE,BAL,7,10,70,77,8,1,0,126,1,7,7,0,7.78,2015
32,Nick Foles,QB,12,LAR,CIN,30,46,65,228,5,0,3,50,1,2,2,0,6.32,2015
33,Teddy Bridgewater,QB,12,MIN,ATL,20,28,71,174,6,0,1,73,4,-3,-1,0,5.66,2015
34,Sean Mannion,QB,12,LAR,CIN,6,7,86,31,4,0,0,85,0,0,0,0,1.24,2015
35,Tony Romo,QB,12,DAL,CAR,11,21,52,106,5,0,3,27,0,0,0,0,1.24,2015
36,AJ McCarron,QB,12,CIN,LAR,1,1,100,3,3,0,0,79,0,0,0,0,0.12,2015
37,Joe Webb,QB,12,CAR,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2015
38,Matt McGloin,QB,12,OAK,TEN,0,1,0,0,0,0,0,40,0,0,0,0,0.00,2015
39,Drew Stanton,QB,12,ARI,SF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2015
40,BJ Daniels,QB,12,SEA,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2015
41,Landry Jones,QB,12,PIT,SEA,1,4,25,34,9,0,2,23,0,0,0,0,-0.64,2015
