Rank,Player,Position,Week,Team,Opponent,TFL,Sacks,QBHits,Interceptions,FumRec,Safeties,DefTD,ReturnTD,PtsAllowed,Points,Year
1,Miami Dolphins,DST,8,MIA,JAX,6,4,6,2,1,0,2,0,13,28.00,2014
2,Kansas City Chiefs,DST,8,KC,LAR,5,7,14,1,0,0,0,1,7,19.00,2014
3,Minnesota Vikings,DST,8,MIN,TB,5,5,7,1,1,0,1,0,13,19.00,2014
4,Buffalo Bills,DST,8,BUF,NYJ,4,4,6,4,2,0,0,0,23,16.00,2014
5,Cleveland Browns,DST,8,CLE,OAK,6,3,3,1,2,0,0,0,13,13.00,2014
6,New England Patriots,DST,8,NE,CHI,3,3,4,1,1,0,1,0,23,13.00,2014
7,Pittsburgh Steelers,DST,8,PIT,IND,2,2,7,2,0,1,1,0,34,13.00,2014
8,Seattle Seahawks,DST,8,SEA,CAR,5,3,5,1,1,0,0,0,9,11.00,2014
9,New Orleans Saints,DST,8,NO,GB,5,4,5,2,1,0,0,0,23,10.00,2014
10,Washington Redskins,DST,8,WAS,DAL,8,5,4,0,2,0,0,0,17,10.00,2014
11,Carolina Panthers,DST,8,CAR,SEA,3,1,3,1,1,0,0,0,13,9.00,2014
12,Arizona Cardinals,DST,8,ARI,PHI,3,0,8,2,1,0,0,0,20,7.00,2014
13,Houston Texans,DST,8,HOU,TEN,3,2,5,1,1,0,0,0,16,7.00,2014
14,Baltimore Ravens,DST,8,BAL,CIN,2,2,3,1,1,0,0,0,27,6.00,2014
15,Dallas Cowboys,DST,8,DAL,WAS,8,3,6,1,0,0,0,0,20,6.00,2014
16,Denver Broncos,DST,8,DEN,LAC,7,2,6,2,0,0,0,0,21,6.00,2014
17,Jacksonville Jaguars,DST,8,JAX,MIA,4,3,7,1,0,0,0,0,27,6.00,2014
18,Cincinnati Bengals,DST,8,CIN,BAL,2,1,3,2,0,0,0,0,24,5.00,2014
19,Tampa Bay Buccaneers,DST,8,TB,MIN,6,1,5,0,0,0,0,0,19,5.00,2014
20,Detroit Lions,DST,8,DET,ATL,5,2,5,1,0,0,0,0,21,4.00,2014
21,Tennessee Titans,DST,8,TEN,HOU,7,5,8,0,0,0,0,0,30,4.00,2014
22,Los Angeles Rams,DST,8,LAR,KC,9,2,2,0,1,0,0,0,34,3.00,2014
23,Atlanta Falcons,DST,8,ATL,DET,4,0,1,1,0,0,0,0,22,2.00,2014
24,Philadelphia Eagles,DST,8,PHI,ARI,4,0,3,0,1,0,0,0,24,2.00,2014
25,Indianapolis Colts,DST,8,IND,PIT,3,0,1,0,2,0,0,0,51,2.00,2014
26,Oakland Raiders,DST,8,OAK,CLE,6,1,2,0,0,0,0,0,23,1.00,2014
27,Green Bay Packers,DST,8,GB,NO,4,2,3,0,1,0,0,0,44,0.00,2014
28,New York Jets,DST,8,NYJ,BUF,7,4,6,0,0,0,0,0,43,0.00,2014
29,Chicago Bears,DST,8,CHI,NE,4,1,1,0,0,0,0,0,51,-3.00,2014
30,Los Angeles Chargers,DST,8,LAC,DEN,3,0,1,0,0,0,0,0,35,-4.00,2014
