Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Dan Carpenter,K,8,BUF,NYJ,3,3,100,53,4,5,0.00,2014
2,Stephen Gostkowski,K,8,NE,CHI,3,3,100,39,6,6,0.00,2014
3,Shayne Graham,K,8,NO,GB,3,3,100,37,5,5,0.00,2014
4,Billy Cundiff,K,8,CLE,OAK,3,3,100,52,2,2,0.00,2014
5,Cairo Santos,K,8,KC,LAR,2,2,100,53,4,4,0.00,2014
6,Justin Tucker,K,8,BAL,CIN,3,3,100,53,1,1,0.00,2014
7,Randy Bullock,K,8,HOU,TEN,3,3,100,49,3,3,0.00,2014
8,Mason Crosby,K,8,GB,NO,3,3,100,49,2,2,0.00,2014
9,Matt Prater,K,8,DET,ATL,3,3,100,48,1,1,0.00,2014
10,Adam Vinatieri,K,8,IND,PIT,2,2,100,31,4,4,0.00,2014
11,Cody Parkey,K,8,PHI,ARI,2,2,100,54,2,2,0.00,2014
12,Mike Nugent,K,8,CIN,BAL,2,2,100,33,3,3,0.00,2014
13,Graham Gano,K,8,CAR,SEA,3,3,100,46,0,0,0.00,2014
14,Caleb Sturgis,K,8,MIA,JAX,2,2,100,43,3,3,0.00,2014
15,Steven Hauschka,K,8,SEA,CAR,2,2,100,58,1,1,0.00,2014
16,Patrick Murray,K,8,TB,MIN,2,2,100,54,1,1,0.00,2014
17,Kai Forbath,K,8,WAS,DAL,2,2,100,44,2,2,0.00,2014
18,Josh Scobee,K,8,JAX,MIA,2,3,67,40,1,1,0.00,2014
19,Blair Walsh,K,8,MIN,TB,2,3,67,46,1,1,0.00,2014
20,Nick Folk,K,8,NYJ,BUF,1,1,100,55,2,2,0.00,2014
21,Shaun Suisham,K,8,PIT,IND,0,0,0,0,7,7,0.00,2014
22,Sebastian Janikowski,K,8,OAK,CLE,2,2,100,46,1,1,0.00,2014
23,Chandler Catanzaro,K,8,ARI,PHI,1,1,100,28,3,3,0.00,2014
24,Brandon McManus,K,8,DEN,LAC,0,1,0,0,5,5,0.00,2014
25,Dan Bailey,K,8,DAL,WAS,1,1,100,21,2,2,0.00,2014
26,Ryan Succop,K,8,TEN,HOU,1,1,100,35,1,1,0.00,2014
27,Nick Novak,K,8,LAC,DEN,0,0,0,0,3,3,0.00,2014
28,Matt Bryant,K,8,ATL,DET,0,0,0,0,3,3,0.00,2014
29,Greg Zuerlein,K,8,LAR,KC,0,1,0,0,1,1,0.00,2014
30,Robbie Gould,K,8,CHI,NE,0,0,0,0,1,1,0.00,2014
31,Jordan Gay,K,8,BUF,NYJ,0,0,0,0,0,0,0.00,2014
