,Player,Position,Team,Opponent,Points,PlayerID
0,Andrew Luck,QB,IND,PIT,31.6,00-0029668
1,Aaron Rodgers,QB,GB,NO,29.82,00-0023459
2,Drew Brees,QB,NO,GB,28.04,00-0020531
3,Nick Foles,QB,PHI,ARI,26.84,00-0029567
4,Kyle Orton,QB,BUF,NYJ,26.12,00-0023541
5,Carson Palmer,QB,ARI,PHI,24.16,00-0021429
6,Matthew Stafford,QB,DET,ATL,23.9,00-0026498
7,Jay Cutler,QB,CHI,NE,23.68,00-0024226
8,Peyton Manning,QB,DEN,LAC,23.44,00-0010346
9,Andy Dalton,QB,CIN,BAL,22.04,00-0027973
10,Philip Rivers,QB,LAC,DEN,21.78,00-0022942
11,Derek Carr,QB,OAK,CLE,18.82,00-0031280
12,Colt McCoy,QB,WAS,DAL,18.56,00-0027688
13,Zach Mettenberger,QB,TEN,HOU,17.86,00-0031266
14,Matt Ryan,QB,ATL,DET,16.72,00-0026143
15,Ryan Tannehill,QB,MIA,JAX,15.64,00-0029701
16,Brian Hoyer,QB,CLE,OAK,15.1,00-0026625
17,Blake Bortles,QB,JAX,MIA,14.64,00-0031407
18,Russell Wilson,QB,SEA,CAR,14.46,00-0029263
19,Ryan Fitzpatrick,QB,HOU,TEN,14.28,00-0023682
20,Teddy Bridgewater,QB,MIN,TB,13.94,00-0031237
21,Tony Romo,QB,DAL,WAS,12.46,00-0021678
22,Alex Smith,QB,KC,LAR,11.32,00-0023436
23,Mike Glennon,QB,TB,MIN,11.14,00-0030520
24,Michael Vick,QB,NYJ,BUF,10.02,
25,Austin Davis,QB,LA,KC,9.5,00-0028957
26,Cam Newton,QB,CAR,SEA,7.24,00-0027939
27,Joe Flacco,QB,BAL,CIN,7.0,00-0026158
28,Brandon Weeden,QB,DAL,WAS,6.76,00-0029677
29,Jimmy Clausen,QB,CHI,NE,0.88,00-0027659
30,Jimmy Garoppolo,QB,NE,CHI,0.78,00-0031345
31,Joe Webb,QB,CAR,SEA,0.0,00-0027796
32,Chase Daniel,QB,KC,LAR,0.0,00-0026544
33,Luke McCown,QB,NO,GB,0.0,00-0022864
34,Matt Flynn,QB,GB,NO,-0.68,00-0026349
35,Matt Schaub,QB,OAK,CLE,-1.0,00-0022787
36,Geno Smith,QB,NYJ,BUF,-2.8,00-0030565
37,Antonio Brown,WR,PIT,IND,38.8,00-0027793
38,Brandon LaFell,WR,NE,CHI,32.4,00-0027681
39,Larry Fitzgerald,WR,ARI,PHI,32.0,00-0022921
40,Golden Tate,WR,DET,ATL,31.1,00-0027891
41,TY Hilton,WR,IND,PIT,30.5,00-0029608
42,Brandin Cooks,WR,NO,GB,27.8,00-0031236
43,Sammy Watkins,WR,BUF,NYJ,27.7,00-0031325
44,Donte Moncrief,WR,IND,PIT,27.3,00-0031339
45,Randall Cobb,WR,GB,NO,26.6,00-0028002
46,John Brown,WR,ARI,PHI,25.9,00-0031051
47,Martavis Bryant,WR,PIT,IND,25.3,00-0031373
48,Mohamed Sanu,WR,CIN,BAL,23.2,00-0029632
49,DeSean Jackson,WR,WAS,DAL,22.6,00-0026189
50,Keenan Allen,WR,LAC,DEN,22.3,00-0030279
51,Andrew Hawkins,WR,CLE,OAK,21.8,00-0027918
52,Demaryius Thomas,WR,DEN,LAC,21.5,00-0027874
53,Allen Robinson,WR,JAX,MIA,19.2,00-0031428
54,Andre Holmes,WR,OAK,CLE,17.9,00-0028263
55,Alshon Jeffery,WR,CHI,NE,16.9,00-0029137
56,Markus Wheaton,WR,PIT,IND,16.6,00-0030460
57,Cordarrelle Patterson,WR,MIN,TB,15.6,00-0030578
58,DeAndre Hopkins,WR,HOU,TEN,14.5,00-0030564
59,Davante Adams,WR,GB,NO,14.5,00-0031381
60,Robert Woods,WR,BUF,NYJ,14.0,00-0030431
61,Riley Cooper,WR,PHI,ARI,13.8,00-0027758
62,Kelvin Benjamin,WR,CAR,SEA,13.4,00-0031359
63,Justin Hunter,WR,TEN,HOU,13.1,00-0030521
64,Terrance Williams,WR,DAL,WAS,12.9,00-0030542
65,Greg Jennings,WR,MIN,TB,12.8,00-0024267
66,Andre Johnson,WR,HOU,TEN,12.5,00-0022044
67,Dwayne Bowe,WR,KC,LAR,12.4,00-0025410
68,James Jones,WR,OAK,CLE,12.2,00-0025465
69,Doug Baldwin,WR,SEA,CAR,12.1,00-0028434
70,Dez Bryant,WR,DAL,WAS,12.0,00-0027902
71,Mike Evans,WR,TB,MIN,11.8,00-0031408
72,Roddy White,WR,ATL,DET,11.6,00-0023462
73,Eric Decker,WR,NYJ,BUF,11.0,00-0027690
74,Nate Washington,WR,TEN,HOU,10.8,00-0023367
75,Jordan Matthews,WR,PHI,ARI,10.7,00-0031299
76,Julio Jones,WR,ATL,DET,9.8,00-0027944
77,Malcom Floyd,WR,LAC,DEN,9.8,00-0022414
78,Kenny Stills,WR,NO,GB,9.7,00-0030085
79,Marques Colston,WR,NO,GB,8.9,00-0024466
80,Pierre Garcon,WR,WAS,DAL,8.7,00-0026345
81,Kendall Wright,WR,TEN,HOU,8.3,00-0029708
82,Kenbrell Thompkins,WR,OAK,CLE,8.1,00-0030000
83,Taylor Gabriel,WR,CLE,OAK,8.0,00-0031228
84,Percy Harvin,WR,NYJ,BUF,8.0,00-0026998
85,Antonio Gates,TE,LAC,DEN,22.4,00-0021547
86,Martellus Bennett,TE,CHI,NE,21.5,00-0026201
87,Tim Wright,TE,NE,CHI,18.9,
88,Jason Witten,TE,DAL,WAS,18.0,00-0022127
89,Jimmy Graham,TE,NO,GB,16.9,00-0027696
90,Mychal Rivera,TE,OAK,CLE,15.3,00-0030514
91,Delanie Walker,TE,TEN,HOU,13.7,00-0024389
92,Chase Ford,TE,MIN,TB,12.1,00-0029432
93,Jordan Reed,TE,WAS,DAL,11.0,00-0030472
94,Austin Seferian-Jenkins,TE,TB,MIN,10.6,00-0031418
95,Jace Amaro,TE,NYJ,BUF,10.1,00-0031042
96,Richard Rodgers,TE,GB,NO,9.8,00-0031384
97,Zach Ertz,TE,PHI,ARI,9.8,00-0030061
98,Luke Willson,TE,SEA,CAR,9.3,00-0030089
99,Dwayne Allen,TE,IND,PIT,9.1,00-0029689
100,Lee Smith,TE,BUF,NYJ,8.5,00-0028097
101,Travis Kelce,TE,KC,LAR,8.5,00-0030506
102,Scott Chandler,TE,BUF,NYJ,8.2,00-0025516
103,Jermaine Gresham,TE,CIN,BAL,7.4,00-0027873
104,Josh Hill,TE,NO,GB,7.2,00-0030216
105,Bear Pascoe,TE,ATL,DET,7.1,00-0026931
106,Lance Kendricks,TE,LA,KC,7.1,00-0027985
107,Dion Sims,TE,MIA,JAX,7.1,00-0030422
108,Jordan Cameron,TE,CLE,OAK,7.0,00-0028040
109,Anthony Fasano,TE,KC,LAR,5.9,00-0024268
110,Niles Paul,TE,WAS,DAL,5.7,00-0028093
111,Clay Harbor,TE,JAX,MIA,4.7,00-0027725
112,Jim Dray,TE,CLE,OAK,4.7,00-0027825
113,Levine Toilolo,TE,ATL,DET,4.6,00-0030443
114,Julius Thomas,TE,DEN,LAC,4.3,00-0028067
115,Crockett Gillmore,TE,BAL,CIN,4.3,00-0030992
116,Andrew Quarless,TE,GB,NO,3.9,00-0027753
117,Dante Rosario,TE,CHI,NE,3.6,00-0025542
118,John Carlson,TE,ARI,PHI,3.6,00-0026178
119,Brent Celek,TE,PHI,ARI,2.8,00-0025549
120,Greg Olsen,TE,CAR,SEA,2.6,00-0025418
121,Ed Dickson,TE,CAR,SEA,2.3,00-0027675
122,Jared Cook,TE,LA,KC,2.1,00-0027061
123,Cooper Helfet,TE,SEA,CAR,2.1,00-0029534
124,Ladarius Green,TE,LAC,DEN,1.9,00-0029275
125,James Hanna,TE,DAL,WAS,1.7,00-0029634
126,Ryan Hewitt,TE,CIN,BAL,1.5,00-0030780
127,Coby Fleener,TE,IND,PIT,1.4,00-0029697
128,Demetrius Harris,TE,KC,LAR,1.4,00-0030155
129,Jacob Tamme,TE,DEN,LAC,1.4,00-0026267
130,Brandon Myers,TE,TB,MIN,1.3,00-0027135
131,Charles Clay,TE,MIA,JAX,1.1,00-0028112
132,Greg Scruggs,TE,SEA,CAR,0.0,00-0029308
133,Eddie Lacy,RB,GB,NO,29.2,00-0030485
134,DeMarco Murray,RB,DAL,WAS,28.1,00-0028009
135,Mark Ingram,RB,NO,GB,27.5,00-0027966
136,Jamaal Charles,RB,KC,LAR,26.1,00-0026213
137,Theo Riddick,RB,DET,ATL,21.9,00-0030107
138,Ahmad Bradshaw,RB,IND,PIT,21.7,00-0025637
139,Lorenzo Taliaferro,RB,BAL,CIN,20.9,00-0031066
140,Le'Veon Bell,RB,PIT,IND,20.8,00-0030496
141,Ronnie Hillman,RB,DEN,LAC,19.8,00-0029683
142,Knile Davis,RB,KC,LAR,16.9,00-0030280
143,Andre Ellington,RB,ARI,PHI,16.5,00-0030287
144,Chris Ivory,RB,NYJ,BUF,16.3,00-0027531
145,Denard Robinson,RB,JAX,MIA,15.8,00-0030547
146,Alfred Morris,RB,WAS,DAL,15.5,00-0029141
147,Juwan Thompson,RB,DEN,LAC,14.4,00-0030705
148,Justin Forsett,RB,BAL,CIN,13.5,00-0026373
149,Branden Oliver,RB,LAC,DEN,13.3,00-0031277
150,Lamar Miller,RB,MIA,JAX,12.9,00-0029615
151,Giovani Bernard,RB,CIN,BAL,12.7,00-0030456
152,LeSean McCoy,RB,PHI,ARI,12.7,00-0027029
153,Bobby Rainey,RB,TB,MIN,12.6,00-0029384
154,Jonathan Stewart,RB,CAR,SEA,12.4,00-0026153
155,Steven Jackson,RB,ATL,DET,12.0,00-0022736
156,Darren McFadden,RB,OAK,CLE,11.5,00-0026144
157,Ben Tate,RB,CLE,OAK,10.4,00-0027890
158,Bishop Sankey,RB,TEN,HOU,10.0,00-0031413
159,Jeremy Hill,RB,CIN,BAL,9.3,00-0031301
160,Jerick McKinnon,RB,MIN,TB,9.2,00-0031376
161,Bilal Powell,RB,NYJ,BUF,8.8,00-0028064
162,Travaris Cadet,RB,NO,GB,8.7,00-0029205
163,Jonas Gray,RB,NE,CHI,8.6,00-0029104
164,Marcel Reece,FB,OAK,CLE,8.4,00-0026393
165,Devonta Freeman,RB,ATL,DET,8.2,00-0031285
166,Joique Bell,RB,DET,ATL,8.1,00-0027218
167,Dexter McCluster,RB,TEN,HOU,8.0,00-0027651
168,Shane Vereen,RB,NE,CHI,7.5,00-0027994
169,Alfred Blue,RB,HOU,TEN,7.4,00-0031075
170,Marshawn Lynch,RB,SEA,CAR,7.4,00-0025399
171,Robert Turbin,RB,SEA,CAR,7.2,00-0029273
172,Leon Washington,RB,TEN,HOU,7.0,00-0024332
173,Zac Stacy,RB,LA,KC,6.7,00-0030536
174,Matt Asiata,RB,MIN,TB,6.7,00-0028198
175,Roy Helu,RB,WAS,DAL,6.3,00-0028043
176,Frank Summers,FB,BUF,NYJ,6.2,00-0026926
177,Jacquizz Rodgers,RB,ATL,DET,6.0,00-0028083
178,Daniel Thomas,RB,MIA,JAX,5.0,00-0028000
179,Doug Martin,RB,TB,MIN,4.6,00-0029613
180,Benjamin Cunningham,RB,LA,KC,4.5,
181,Shayne Graham,K,NO,GB,0.0,00-0019536
182,Billy Cundiff,K,CLE,OAK,0.0,00-0020972
183,Cairo Santos,K,KC,LAR,0.0,00-0031203
184,Randy Bullock,K,HOU,TEN,0.0,00-0029421
185,Justin Tucker,K,BAL,CIN,0.0,00-0029597
186,Mason Crosby,K,GB,NO,0.0,00-0025580
187,Cody Parkey,K,PHI,ARI,0.0,00-0030850
188,Matt Prater,K,DET,ATL,0.0,00-0023853
189,Adam Vinatieri,K,IND,PIT,0.0,00-0016919
190,Patrick Murray,K,TB,MIN,0.0,00-0030626
191,Caleb Sturgis,K,MIA,JAX,0.0,00-0030390
192,Steven Hauschka,K,SEA,CAR,0.0,
193,Mike Nugent,K,CIN,BAL,0.0,00-0023482
194,Graham Gano,K,CAR,SEA,0.0,00-0026858
195,Kai Forbath,K,WAS,DAL,0.0,00-0028787
196,Josh Scobee,K,JAX,MIA,0.0,00-0022874
197,Shaun Suisham,K,PIT,IND,0.0,00-0023001
198,Blair Walsh,K,MIN,TB,0.0,00-0029576
199,Nick Folk,K,NYJ,BUF,0.0,00-0025565
200,Sebastian Janikowski,K,OAK,CLE,0.0,00-0019646
201,Chandler Catanzaro,K,ARI,PHI,0.0,00-0030896
202,Dan Bailey,K,DAL,WAS,0.0,00-0028660
203,Brandon McManus,K,DEN,LAC,0.0,00-0029822
204,Ryan Succop,K,TEN,HOU,0.0,00-0026968
205,Matt Bryant,K,ATL,DET,0.0,00-0020578
206,Nick Novak,K,LAC,DEN,0.0,00-0023096
207,Greg Zuerlein,K,LA,KC,0.0,00-0029621
208,Robbie Gould,K,CHI,NE,0.0,00-0023252
209,Jordan Gay,K,BUF,NYJ,0.0,00-0030410
210,Minnesota Vikings,DST,MIN,TB,19.0,
211,Buffalo Bills,DST,BUF,NYJ,16.0,
212,New England Patriots,DST,NE,CHI,13.0,
213,Cleveland Browns,DST,CLE,OAK,13.0,
214,Pittsburgh Steelers,DST,PIT,IND,13.0,
215,Seattle Seahawks,DST,SEA,CAR,11.0,
216,New Orleans Saints,DST,NO,GB,10.0,
217,Washington Redskins,DST,WAS,DAL,10.0,
218,Carolina Panthers,DST,CAR,SEA,9.0,
219,Houston Texans,DST,HOU,TEN,7.0,
220,Arizona Cardinals,DST,ARI,PHI,7.0,
221,Denver Broncos,DST,DEN,LAC,6.0,
222,Dallas Cowboys,DST,DAL,WAS,6.0,
223,Baltimore Ravens,DST,BAL,CIN,6.0,
224,Jacksonville Jaguars,DST,JAX,MIA,6.0,
225,Tampa Bay Buccaneers,DST,TB,MIN,5.0,
226,Cincinnati Bengals,DST,CIN,BAL,5.0,
227,Detroit Lions,DST,DET,ATL,4.0,
228,Tennessee Titans,DST,TEN,HOU,4.0,
229,Los Angeles Rams,DST,LA,KC,3.0,
230,Atlanta Falcons,DST,ATL,DET,2.0,
231,Philadelphia Eagles,DST,PHI,ARI,2.0,
232,Indianapolis Colts,DST,IND,PIT,2.0,
233,Oakland Raiders,DST,OAK,CLE,1.0,
234,Green Bay Packers,DST,GB,NO,0.0,
235,New York Jets,DST,NYJ,BUF,0.0,
236,Chicago Bears,DST,CHI,NE,-3.0,
237,Los Angeles Chargers,DST,LAC,DEN,-4.0,
