Rank,Player,Position,Week,Team,Opponent,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Rec,RecYds,RecTDs,Fumbles,FumLost,Points,Year
1,Ezekiel Elliott,RB,10,DAL,PIT,21,114,5,2,2,2,95,1,0,0,43.90,2016
2,Le'Veon Bell,RB,10,PIT,DAL,17,57,3,1,10,9,77,1,1,0,34.40,2016
3,Ryan Mathews,RB,10,PHI,ATL,19,109,6,2,2,2,30,0,0,0,32.90,2016
4,DeMarco Murray,RB,10,TEN,GB,17,123,7,1,3,2,33,0,0,0,31.00,2016
5,David Johnson,RB,10,ARI,SF,19,55,3,1,7,5,46,1,0,0,27.10,2016
6,LeGarrette Blount,RB,10,NE,SEA,21,69,3,3,0,0,0,0,0,0,24.90,2016
7,CJ Prosise,RB,10,SEA,NE,17,66,4,0,7,7,87,0,0,0,22.30,2016
8,Bilal Powell,RB,10,NYJ,LAR,4,37,9,0,7,7,52,1,0,0,21.90,2016
9,Melvin Gordon,RB,10,LAC,MIA,24,70,3,0,8,5,62,0,0,0,18.20,2016
10,Darren Sproles,RB,10,PHI,ATL,2,19,10,0,10,8,57,0,0,0,15.60,2016
11,Damien Williams,RB,10,MIA,LAC,2,2,1,1,1,1,18,1,0,0,15.00,2016
12,Rashad Jennings,RB,10,NYG,CIN,15,87,6,0,6,3,22,0,0,0,13.90,2016
13,James Starks,RB,10,GB,TEN,7,33,5,0,4,3,11,1,0,0,13.40,2016
14,Kenneth Dixon,RB,10,BAL,CLE,6,38,6,0,7,5,42,0,0,0,13.00,2016
15,Matt Forte,RB,10,NYJ,LAR,20,98,5,0,3,2,11,0,0,0,12.90,2016
16,Jordan Howard,RB,10,CHI,TB,15,100,7,0,0,0,0,0,1,1,12.00,2016
17,Doug Martin,RB,10,TB,CHI,16,33,2,1,2,1,13,0,0,0,11.60,2016
18,Devonta Freeman,RB,10,ATL,PHI,12,49,4,0,3,3,32,0,0,0,11.10,2016
19,Devontae Booker,RB,10,DEN,NO,24,76,3,0,2,2,12,0,0,0,10.80,2016
20,Jeremy Hill,RB,10,CIN,NYG,15,46,3,1,0,0,0,0,0,0,10.60,2016
21,Rob Kelley,RB,10,WAS,MIN,22,97,4,0,1,1,-2,0,0,0,10.50,2016
22,Spencer Ware,RB,10,KC,CAR,13,61,5,0,3,3,11,0,0,0,10.20,2016
23,Jay Ajayi,RB,10,MIA,LAC,19,79,4,0,1,1,1,0,0,0,9.00,2016
24,TJ Yeldon,RB,10,JAX,HOU,9,32,4,0,3,3,27,0,0,0,8.90,2016
25,Terrance West,RB,10,BAL,CLE,21,65,3,0,2,1,12,0,0,0,8.70,2016
26,Matt Asiata,RB,10,MIN,WAS,9,13,1,1,1,1,2,0,0,0,8.50,2016
27,Lamar Miller,RB,10,HOU,JAX,15,83,6,0,0,0,0,0,0,0,8.30,2016
28,Mark Ingram,RB,10,NO,DEN,11,50,5,0,2,2,13,0,0,0,8.30,2016
29,Isaiah Crowell,RB,10,CLE,BAL,9,23,3,0,5,3,30,0,0,0,8.30,2016
30,Todd Gurley,RB,10,LAR,NYJ,21,64,3,0,1,1,8,0,0,0,8.20,2016
31,Benjamin Cunningham,RB,10,LAR,NYJ,6,40,7,0,5,3,7,0,1,0,7.70,2016
32,James White,RB,10,NE,SEA,2,5,3,0,4,4,32,0,0,0,7.70,2016
33,Tim Hightower,RB,10,NO,DEN,8,21,3,0,2,2,34,0,0,0,7.50,2016
34,Wendell Smallwood,RB,10,PHI,ATL,13,70,5,0,1,0,0,0,0,0,7.00,2016
35,Giovani Bernard,RB,10,CIN,NYG,7,17,2,0,5,3,19,0,0,0,6.60,2016
36,Jeremy Langford,RB,10,CHI,TB,2,16,8,0,5,4,10,0,0,0,6.60,2016
37,Akeem Hunt,RB,10,HOU,JAX,8,52,7,0,2,1,1,0,0,0,6.30,2016
38,Jerick McKinnon,RB,10,MIN,WAS,6,16,3,0,4,3,17,0,0,0,6.30,2016
39,Chris Ivory,RB,10,JAX,HOU,9,31,3,0,3,2,10,0,0,0,6.10,2016
40,Duke Johnson,RB,10,CLE,BAL,2,6,3,0,5,3,25,0,0,0,6.10,2016
41,Chris Thompson,RB,10,WAS,MIN,4,25,6,0,3,3,11,0,1,1,5.60,2016
42,Kyle Juszczyk,FB,10,BAL,CLE,1,3,3,0,3,2,4,0,0,0,4.70,2016
43,Travaris Cadet,RB,10,NO,DEN,0,0,0,0,3,2,26,0,0,0,4.60,2016
44,Ty Montgomery,RB,10,GB,TEN,3,9,3,0,2,2,11,0,0,0,4.00,2016
45,Charcandrick West,RB,10,KC,CAR,2,5,3,0,3,3,5,0,0,0,4.00,2016
46,Jonathan Stewart,RB,10,CAR,KC,13,39,3,0,1,0,0,0,0,0,3.90,2016
47,Peyton Barber,RB,10,TB,CHI,12,38,3,0,0,0,0,0,0,0,3.80,2016
48,Christine Michael,RB,10,SEA,NE,5,22,4,0,1,1,4,0,0,0,3.60,2016
49,Derrick Henry,RB,10,TEN,GB,9,31,3,0,0,0,0,0,0,0,3.10,2016
50,Paul Perkins,RB,10,NYG,CIN,9,31,3,0,3,0,0,0,0,0,3.10,2016
