Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Dustin Hopkins,K,10,WAS,MIN,4,4,100,50,2,2,0.00,2016
2,Ryan Succop,K,10,TEN,GB,2,2,100,51,5,5,0.00,2016
3,Brandon McManus,K,10,DEN,NO,3,4,75,50,2,2,0.00,2016
4,Dan Bailey,K,10,DAL,PIT,3,3,100,53,2,2,0.00,2016
5,Steven Hauschka,K,10,SEA,NE,4,4,100,41,1,2,0.00,2016
6,Cairo Santos,K,10,KC,CAR,4,4,100,47,0,0,0.00,2016
7,Chandler Catanzaro,K,10,ARI,SF,3,3,100,39,2,2,0.00,2016
8,Roberto Aguayo,K,10,TB,CHI,2,2,100,30,4,4,0.00,2016
9,Caleb Sturgis,K,10,PHI,ATL,3,5,60,48,1,1,0.00,2016
10,Phil Dawson,K,10,SF,ARI,2,2,100,53,2,2,0.00,2016
11,Matt Bryant,K,10,ATL,PHI,3,4,75,46,0,1,0.00,2016
12,Greg Zuerlein,K,10,LAR,NYJ,3,3,100,38,0,0,0.00,2016
13,Jason Myers,K,10,JAX,HOU,2,2,100,54,1,1,0.00,2016
14,Justin Tucker,K,10,BAL,CLE,2,2,100,40,2,2,0.00,2016
15,Nick Novak,K,10,HOU,JAX,1,3,33,51,3,3,0.00,2016
16,Mike Nugent,K,10,CIN,NYG,2,2,100,38,2,2,0.00,2016
17,Mason Crosby,K,10,GB,TEN,2,2,100,38,1,2,0.00,2016
18,Andrew Franks,K,10,MIA,LAC,1,1,100,27,4,4,0.00,2016
19,Connor Barth,K,10,CHI,TB,1,1,100,54,1,1,0.00,2016
20,Josh Lambo,K,10,LAC,MIA,1,1,100,45,3,3,0.00,2016
21,Chris Boswell,K,10,PIT,DAL,2,3,67,39,0,0,0.00,2016
22,Stephen Gostkowski,K,10,NE,SEA,1,1,100,30,3,3,0.00,2016
23,Graham Gano,K,10,CAR,KC,1,1,100,42,2,2,0.00,2016
24,Wil Lutz,K,10,NO,DEN,1,1,100,30,2,3,0.00,2016
25,Robbie Gould,K,10,NYG,CIN,0,0,0,0,3,3,0.00,2016
26,Blair Walsh,K,10,MIN,WAS,0,0,0,0,2,3,0.00,2016
27,Cody Parkey,K,10,CLE,BAL,0,0,0,0,1,1,0.00,2016
28,Nick Folk,K,10,NYJ,LAR,0,0,0,0,0,1,0.00,2016
