Rank,Player,Position,Week,Team,Opponent,TFL,Sacks,QBHits,Interceptions,FumRec,Safeties,DefTD,ReturnTD,PtsAllowed,Points,Year
1,Tampa Bay Buccaneers,DST,10,TB,CHI,3,4,7,2,2,1,1,0,10,24.00,2016
2,Miami Dolphins,DST,10,MIA,LAC,8,3,9,4,0,0,1,0,24,17.00,2016
3,Baltimore Ravens,DST,10,BAL,CLE,7,4,6,2,1,0,0,0,7,14.00,2016
4,Kansas City Chiefs,DST,10,KC,CAR,5,2,4,1,1,0,1,0,17,13.00,2016
5,Houston Texans,DST,10,HOU,JAX,7,2,6,1,1,0,1,0,21,12.00,2016
6,Tennessee Titans,DST,10,TEN,GB,5,5,6,2,1,0,0,0,25,11.00,2016
7,Denver Broncos,DST,10,DEN,NO,2,1,4,2,2,0,0,0,23,11.00,2016
8,Los Angeles Rams,DST,10,LAR,NYJ,5,1,4,1,0,0,0,0,6,10.00,2016
9,New Orleans Saints,DST,10,NO,DEN,7,6,15,2,0,0,0,0,25,10.00,2016
10,San Francisco 49ers,DST,10,SF,ARI,3,2,4,2,2,0,0,0,23,10.00,2016
11,New York Jets,DST,10,NYJ,LAR,7,3,9,0,0,0,0,0,9,7.00,2016
12,Washington Redskins,DST,10,WAS,MIN,7,3,8,1,0,0,0,0,20,6.00,2016
13,Carolina Panthers,DST,10,CAR,KC,5,3,7,1,0,0,0,0,20,6.00,2016
14,Arizona Cardinals,DST,10,ARI,SF,8,3,6,0,1,0,0,0,20,6.00,2016
15,Seattle Seahawks,DST,10,SEA,NE,5,2,4,1,1,0,0,0,24,6.00,2016
16,New York Giants,DST,10,NYG,CIN,6,3,6,1,0,0,0,0,20,6.00,2016
17,Cleveland Browns,DST,10,CLE,BAL,5,2,6,2,0,0,0,0,28,5.00,2016
18,Chicago Bears,DST,10,CHI,TB,7,4,7,1,0,0,0,0,36,5.00,2016
19,Philadelphia Eagles,DST,10,PHI,ATL,6,2,6,1,0,0,0,0,15,5.00,2016
20,Cincinnati Bengals,DST,10,CIN,NYG,1,1,6,2,0,0,0,0,21,5.00,2016
21,Atlanta Falcons,DST,10,ATL,PHI,4,2,2,0,1,0,0,0,24,4.00,2016
22,Minnesota Vikings,DST,10,MIN,WAS,3,1,6,0,1,0,0,0,26,3.00,2016
23,Los Angeles Chargers,DST,10,LAC,MIA,8,1,8,0,1,0,0,0,31,3.00,2016
24,Jacksonville Jaguars,DST,10,JAX,HOU,2,1,3,0,0,0,0,0,24,2.00,2016
25,New England Patriots,DST,10,NE,SEA,3,3,5,0,0,0,0,0,31,2.00,2016
26,Dallas Cowboys,DST,10,DAL,PIT,5,1,3,0,0,0,0,0,30,0.00,2016
27,Pittsburgh Steelers,DST,10,PIT,DAL,2,2,3,0,1,0,0,0,35,0.00,2016
28,Green Bay Packers,DST,10,GB,TEN,5,1,1,0,0,0,0,0,47,-3.00,2016
