Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Chandler Catanzaro,K,17,ARI,LAR,3,3,100,47,5,5,0.00,2016
2,Cairo Santos,K,17,KC,LAC,3,3,100,37,4,4,0.00,2016
3,Steven Hauschka,K,17,SEA,SF,4,4,100,33,1,2,0.00,2016
4,Nick Folk,K,17,NYJ,BUF,3,3,100,36,3,3,0.00,2016
5,Randy Bullock,K,17,CIN,BAL,2,2,100,24,3,3,0.00,2016
6,Stephen Gostkowski,K,17,NE,MIA,2,3,67,40,3,3,0.00,2016
7,Caleb Sturgis,K,17,PHI,DAL,2,3,67,33,3,3,0.00,2016
8,Josh Lambo,K,17,LAC,KC,2,2,100,35,3,3,0.00,2016
9,Jason Myers,K,17,JAX,IND,2,4,50,47,2,2,0.00,2016
10,Kai Forbath,K,17,MIN,CHI,1,1,100,21,5,5,0.00,2016
11,Matt Bryant,K,17,ATL,NO,1,1,100,22,5,5,0.00,2016
12,Wil Lutz,K,17,NO,ATL,2,2,100,40,2,2,0.00,2016
13,Matt Prater,K,17,DET,GB,1,2,50,54,3,3,0.00,2016
14,Dan Bailey,K,17,DAL,PHI,2,2,100,49,1,1,0.00,2016
15,Robbie Gould,K,17,NYG,WAS,2,2,100,40,1,1,0.00,2016
16,Mason Crosby,K,17,GB,DET,1,1,100,53,2,3,0.00,2016
17,Ryan Succop,K,17,TEN,HOU,1,1,100,35,3,3,0.00,2016
18,Graham Gano,K,17,CAR,TB,1,4,25,54,1,1,0.00,2016
19,Adam Vinatieri,K,17,IND,JAX,1,2,50,45,3,3,0.00,2016
20,Cody Parkey,K,17,CLE,PIT,1,2,50,34,3,3,0.00,2016
21,Greg Zuerlein,K,17,LAR,ARI,2,2,100,37,0,0,0.00,2016
22,Brandon McManus,K,17,DEN,OAK,1,2,50,22,3,3,0.00,2016
23,Nick Novak,K,17,HOU,TEN,1,2,50,26,2,2,0.00,2016
24,Roberto Aguayo,K,17,TB,CAR,1,3,33,33,2,2,0.00,2016
25,Justin Tucker,K,17,BAL,CIN,1,1,100,30,1,1,0.00,2016
26,Connor Barth,K,17,CHI,MIN,1,1,100,29,1,1,0.00,2016
27,Dan Carpenter,K,17,BUF,NYJ,1,1,100,34,1,1,0.00,2016
28,Dustin Hopkins,K,17,WAS,NYG,1,2,50,32,1,1,0.00,2016
29,Chris Boswell,K,17,PIT,CLE,0,0,0,0,3,3,0.00,2016
30,Phil Dawson,K,17,SF,SEA,0,0,0,0,3,3,0.00,2016
31,Andrew Franks,K,17,MIA,NE,0,0,0,0,2,2,0.00,2016
32,Michael Palardy,K,17,CAR,TB,0,0,0,0,0,0,0.00,2016
33,Matt Wile,K,17,ARI,LAR,0,0,0,0,0,0,0.00,2016
34,Sebastian Janikowski,K,17,OAK,DEN,0,0,0,0,0,0,0.00,2016
