Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Delanie Walker,TE,9,TEN,NO,8,7,88,95,2,61,12,14,0,0,0,0,0,30.50,2015
2,Tyler Eifert,TE,9,CIN,CLE,6,5,83,53,3,19,9,11,0,0,0,0,0,28.30,2015
3,Owen Daniels,TE,9,DEN,IND,9,6,67,102,1,37,11,17,0,0,0,0,0,25.20,2015
4,Martellus Bennett,TE,9,CHI,LAC,9,8,89,57,1,17,6,7,0,0,0,0,0,19.70,2015
5,Richard Rodgers,TE,9,GB,CAR,9,5,56,19,2,7,2,4,0,0,0,0,0,18.90,2015
6,Greg Olsen,TE,9,CAR,GB,7,4,57,66,1,24,9,17,0,0,0,0,0,16.60,2015
7,Garrett Celek,TE,9,SF,ATL,2,2,100,12,2,11,6,6,0,0,0,0,0,15.20,2015
8,Antonio Gates,TE,9,LAC,CHI,11,6,55,69,0,40,6,12,0,0,0,0,0,12.90,2015
9,Anthony Fasano,TE,9,TEN,NO,3,3,100,33,1,23,11,11,0,0,0,0,0,12.30,2015
10,Jacob Tamme,TE,9,ATL,SF,10,6,60,61,0,26,6,10,0,0,0,0,0,12.10,2015
11,Benjamin Watson,TE,9,NO,TEN,5,5,100,60,0,19,12,12,0,0,0,0,0,11.00,2015
12,Jordan Reed,TE,9,WAS,NE,7,3,43,18,1,9,3,6,0,0,0,0,0,10.80,2015
13,Zach Miller,TE,9,CHI,LAC,2,2,100,23,1,25,12,12,0,0,0,0,0,10.30,2015
14,Jason Witten,TE,9,DAL,PHI,8,6,75,43,0,14,5,7,0,0,0,0,0,10.30,2015
15,Josh Hill,TE,9,NO,TEN,2,2,100,21,1,11,11,11,0,0,0,0,0,10.10,2015
16,Jack Doyle,TE,9,IND,DEN,2,2,100,18,1,15,9,9,0,0,0,0,0,9.80,2015
17,Zach Ertz,TE,9,PHI,DAL,6,5,83,44,0,27,7,9,0,0,0,0,0,9.40,2015
18,Jesse James,TE,9,PIT,OAK,2,2,100,13,1,9,7,7,0,0,0,0,0,9.30,2015
19,Rob Gronkowski,TE,9,NE,WAS,5,4,80,47,0,15,9,12,0,0,0,0,0,8.70,2015
20,Clive Walford,TE,9,OAK,PIT,5,1,20,1,1,1,0,1,0,0,0,0,0,7.10,2015
21,Michael Hoomanawanui,TE,9,NO,TEN,3,1,33,1,1,1,0,1,0,0,0,0,0,7.10,2015
22,Heath Miller,TE,9,PIT,OAK,6,3,50,32,0,22,5,11,0,0,0,0,0,6.20,2015
23,Coby Fleener,TE,9,IND,DEN,6,4,67,22,0,9,4,6,0,0,0,0,0,6.20,2015
24,Gary Barnidge,TE,9,CLE,CIN,7,2,29,35,0,25,5,18,0,0,0,0,0,5.50,2015
25,Jeff Cumberland,TE,9,NYJ,JAX,3,1,33,44,0,44,15,44,0,0,0,0,0,5.40,2015
26,Kyle Rudolph,TE,9,MIN,LAR,2,2,100,30,0,15,15,15,0,0,0,0,0,5.00,2015
27,Craig Stevens,TE,9,TEN,NO,3,2,67,25,0,24,8,13,0,0,0,0,0,4.50,2015
