Rank,Player,Position,Week,Team,Opponent,TFL,Sacks,QBHits,Interceptions,FumRec,Safeties,DefTD,ReturnTD,PtsAllowed,Points,Year
1,New York Jets,DST,9,NYJ,JAX,3,6,15,2,2,0,0,0,23,14.00,2015
2,New York Giants,DST,9,NYG,TB,1,0,8,0,3,0,1,0,18,13.00,2015
3,Philadelphia Eagles,DST,9,PHI,DAL,5,4,4,1,0,0,1,0,27,12.00,2015
4,Los Angeles Chargers,DST,9,LAC,CHI,2,1,5,1,1,0,1,0,22,11.00,2015
5,New England Patriots,DST,9,NE,WAS,1,1,6,1,1,0,0,0,10,9.00,2015
6,Tennessee Titans,DST,9,TEN,NO,4,4,8,1,1,0,0,0,28,9.00,2015
7,Carolina Panthers,DST,9,CAR,GB,6,5,14,1,1,0,0,0,29,8.00,2015
8,Chicago Bears,DST,9,CHI,LAC,2,2,7,0,1,0,0,0,19,8.00,2015
9,Cincinnati Bengals,DST,9,CIN,CLE,5,3,6,0,0,0,0,0,10,7.00,2015
10,Buffalo Bills,DST,9,BUF,MIA,3,2,6,0,1,1,0,0,17,7.00,2015
11,Denver Broncos,DST,9,DEN,IND,5,1,11,0,0,0,0,1,27,7.00,2015
12,Atlanta Falcons,DST,9,ATL,SF,3,0,2,2,0,0,0,0,17,5.00,2015
13,Indianapolis Colts,DST,9,IND,DEN,5,1,9,2,0,0,0,0,24,5.00,2015
14,Washington Redskins,DST,9,WAS,NE,2,0,1,1,1,0,0,0,27,4.00,2015
15,Pittsburgh Steelers,DST,9,PIT,OAK,4,0,2,1,3,0,0,0,35,4.00,2015
16,Tampa Bay Buccaneers,DST,9,TB,NYG,5,0,2,2,0,0,0,0,32,4.00,2015
17,Los Angeles Rams,DST,9,LAR,MIN,6,1,7,1,0,0,0,0,21,3.00,2015
18,San Francisco 49ers,DST,9,SF,ATL,6,2,7,0,0,0,0,0,16,3.00,2015
19,Dallas Cowboys,DST,9,DAL,PHI,4,1,7,0,1,0,0,0,33,3.00,2015
20,Cleveland Browns,DST,9,CLE,CIN,5,2,2,0,0,0,0,0,31,3.00,2015
21,Miami Dolphins,DST,9,MIA,BUF,5,3,3,0,0,0,0,0,33,2.00,2015
22,Minnesota Vikings,DST,9,MIN,LAR,8,1,10,0,0,0,0,0,18,2.00,2015
23,New Orleans Saints,DST,9,NO,TEN,1,0,2,0,1,0,0,0,34,1.00,2015
24,Jacksonville Jaguars,DST,9,JAX,NYJ,6,2,4,0,0,0,0,0,28,1.00,2015
25,Oakland Raiders,DST,9,OAK,PIT,3,1,2,1,1,0,0,0,38,1.00,2015
26,Green Bay Packers,DST,9,GB,CAR,5,0,2,1,0,0,0,0,37,-2.00,2015
