Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Jack Doyle,TE,1,IND,DET,4,3,75,35,2,16,9,12,0,0,0,0,0,18.50,2016
2,Julius Thomas,TE,1,JAX,GB,5,5,100,64,1,22,13,13,0,0,0,0,0,17.40,2016
3,Dwayne Allen,TE,1,IND,DET,6,4,67,53,1,19,9,13,0,0,0,0,0,17.30,2016
4,Eric Ebron,TE,1,DET,IND,5,5,100,46,1,13,9,9,0,0,0,0,0,15.60,2016
5,Jason Witten,TE,1,DAL,NYG,14,9,64,66,0,17,5,7,0,0,0,0,0,15.60,2016
6,Greg Olsen,TE,1,CAR,DEN,9,7,78,73,0,18,8,10,0,0,0,0,0,14.30,2016
7,Travis Kelce,TE,1,KC,LAC,7,6,86,74,0,20,11,12,0,0,0,0,0,13.40,2016
8,Jordan Reed,TE,1,WAS,PIT,11,7,64,64,0,14,6,9,0,0,0,0,0,13.40,2016
9,Zach Ertz,TE,1,PHI,CLE,7,6,86,58,0,15,8,10,0,0,0,0,0,11.80,2016
10,Jacob Tamme,TE,1,ATL,TB,8,6,75,51,0,19,6,9,0,0,0,0,0,11.10,2016
11,Kyle Rudolph,TE,1,MIN,TEN,8,4,50,65,0,21,8,16,0,0,0,0,0,10.50,2016
12,Austin Seferian-Jenkins,TE,1,TB,ATL,1,1,100,30,1,30,30,30,0,0,0,0,0,10.00,2016
13,Vance McDonald,TE,1,SF,LAR,3,2,67,14,1,8,5,7,0,0,0,0,0,9.40,2016
14,Larry Donnell,TE,1,NYG,DAL,2,1,50,15,1,15,8,15,0,0,0,0,0,8.50,2016
15,Jermaine Gresham,TE,1,ARI,NE,4,4,100,41,0,15,10,10,0,0,0,0,0,8.10,2016
16,Jesse James,TE,1,PIT,WAS,7,5,71,31,0,8,4,6,0,0,0,0,0,8.10,2016
17,CJ Uzomah,TE,1,CIN,NYJ,5,2,40,59,0,54,12,30,0,0,0,0,0,7.90,2016
18,Brandon Myers,TE,1,TB,ATL,1,1,100,4,1,4,4,4,0,0,0,0,0,7.40,2016
19,Delanie Walker,TE,1,TEN,MIN,5,3,60,42,0,26,8,14,0,0,0,0,0,7.20,2016
20,Dennis Pitta,TE,1,BAL,BUF,4,3,75,39,0,27,10,13,0,0,0,0,0,6.90,2016
21,Marcedes Lewis,TE,1,JAX,GB,2,2,100,48,0,37,24,24,0,0,0,0,0,6.80,2016
