Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Jabar Gaffney,WR,17,DEN,KC,19,14,74,213,0,29,11,15,0,0,0,0,0,38.30,2009
2,Sidney Rice,WR,17,MIN,NYG,6,6,100,112,2,50,19,19,0,0,0,0,0,32.20,2009
3,Malcom Floyd,WR,17,LAC,WAS,14,9,64,140,0,50,10,16,0,0,0,0,0,26.00,2009
4,Julian Edelman,WR,17,NE,HOU,15,10,67,103,0,25,7,10,0,0,0,0,0,23.30,2009
5,Devin Aromashodu,WR,17,CHI,DET,8,5,63,46,2,12,6,9,0,0,0,0,0,21.60,2009
6,Calvin Johnson,WR,17,DET,CHI,10,6,60,86,1,23,9,14,1,4,0,0,0,21.00,2009
7,Patrick Crayton,WR,17,DAL,PHI,6,4,67,99,1,32,17,25,0,0,0,0,0,19.90,2009
8,Davone Bess,WR,17,MIA,PIT,6,5,83,85,1,34,14,17,0,0,0,0,0,19.50,2009
9,Malcolm Kelly,WR,17,WAS,LAC,6,5,83,109,0,84,18,22,0,0,0,0,0,18.90,2009
10,Roddy White,WR,17,ATL,TB,8,6,75,66,1,19,8,11,0,0,0,0,0,18.60,2009
11,Chaz Schilens,WR,17,OAK,BAL,9,8,89,99,0,22,11,12,0,0,0,0,0,17.90,2009
12,Dwayne Jarrett,WR,17,CAR,NO,5,5,100,68,1,30,14,14,0,0,0,0,0,17.80,2009
13,Jacoby Jones,WR,17,HOU,NE,6,5,83,65,1,17,11,13,0,0,0,0,0,17.50,2009
14,Terrell Owens,WR,17,BUF,IND,8,4,50,65,1,41,8,16,0,0,0,0,0,16.50,2009
15,Miles Austin,WR,17,DAL,PHI,8,7,88,90,0,40,11,13,0,0,0,0,0,16.00,2009
16,Steve Smith,WR,17,NYG,MIN,12,10,83,57,0,8,5,6,0,0,0,0,0,15.70,2009
17,Jerricho Cotchery,WR,17,NYJ,CIN,6,5,83,39,0,14,7,8,1,6,1,0,0,15.50,2009
18,Muhsin Muhammad,WR,17,CAR,NO,10,7,70,85,0,24,9,12,0,0,0,0,0,15.50,2009
19,Brandon Stokley,WR,17,DEN,KC,8,5,63,43,1,17,5,9,0,0,0,0,0,15.30,2009
20,Brad Smith,WR,17,NYJ,CIN,0,0,0,0,0,0,0,0,4,92,1,0,0,15.20,2009
21,Percy Harvin,WR,17,MIN,NYG,10,7,70,59,0,18,6,8,1,22,0,0,0,15.10,2009
22,Lee Evans,WR,17,BUF,IND,6,4,67,49,1,21,8,12,0,0,0,0,0,14.90,2009
23,Mike Wallace,WR,17,PIT,MIA,3,2,67,64,1,54,21,32,0,0,0,0,0,14.40,2009
24,Nate Washington,WR,17,TEN,SEA,8,6,75,83,0,29,10,14,0,0,0,0,0,14.30,2009
25,Bryant Johnson,WR,17,DET,CHI,6,4,67,42,1,12,7,11,0,0,0,0,0,14.20,2009
26,Hines Ward,WR,17,PIT,MIA,11,8,73,61,0,13,6,8,0,0,0,0,0,14.10,2009
27,Louis Murphy,WR,17,OAK,BAL,9,6,67,59,0,20,7,10,2,17,0,0,0,13.60,2009
28,Brandon Lloyd,WR,17,DEN,KC,13,4,31,95,0,44,7,24,0,0,0,0,0,13.50,2009
29,Mike Thomas,WR,17,JAX,CLE,10,7,70,65,0,22,7,9,0,0,0,0,0,13.50,2009
30,Brian Hartline,WR,17,MIA,PIT,4,2,50,34,0,24,9,17,2,20,1,0,0,13.40,2009
31,Andre Johnson,WR,17,HOU,NE,9,6,67,65,0,22,7,11,1,7,0,1,0,13.20,2009
32,Chris Chambers,WR,17,KC,DEN,8,5,63,80,0,43,10,16,0,0,0,0,0,13.00,2009
33,Randy Moss,WR,17,NE,HOU,6,5,83,75,0,41,13,15,0,0,0,0,0,12.50,2009
34,Donald Driver,WR,17,GB,ARI,6,6,100,65,0,19,11,11,0,0,0,0,0,12.50,2009
35,Deion Branch,WR,17,SEA,TEN,8,4,50,77,0,35,10,19,0,0,0,0,0,11.70,2009
36,Craig Davis,WR,17,LAC,WAS,7,6,86,52,0,11,7,9,1,4,0,0,0,11.60,2009
37,Santana Moss,WR,17,WAS,LAC,9,6,67,55,0,16,6,9,0,0,0,0,0,11.50,2009
38,JohnnieLee Higgins,WR,17,OAK,BAL,4,4,100,71,0,21,18,18,0,0,0,0,0,11.10,2009
39,Joshua Cribbs,WR,17,CLE,JAX,0,0,0,0,0,0,0,0,6,47,1,1,0,10.70,2009
40,Larry Fitzgerald,WR,17,ARI,GB,7,3,43,17,1,12,2,6,0,0,0,0,0,10.70,2009
41,Devin Hester,WR,17,CHI,DET,4,3,75,75,0,48,19,25,0,0,0,0,0,10.50,2009
42,Jeremy Maclin,WR,17,PHI,DAL,8,4,50,58,0,31,7,15,0,0,0,0,0,9.80,2009
43,TJ Houshmandzadeh,WR,17,SEA,TEN,6,3,50,66,0,25,11,22,0,0,0,0,0,9.60,2009
44,Antonio Bryant,WR,17,TB,ATL,9,2,22,15,1,8,2,8,0,0,0,0,0,9.50,2009
45,Michael Crabtree,WR,17,SF,LAR,8,3,38,58,0,38,7,19,0,0,0,0,0,8.80,2009
46,Michael Jenkins,WR,17,ATL,TB,7,4,57,45,0,30,6,11,0,0,0,0,0,8.50,2009
47,Justin Gage,WR,17,TEN,SEA,7,4,57,38,0,13,5,10,0,0,0,0,0,7.80,2009
48,Terrance Copper,WR,17,KC,DEN,2,2,100,57,0,50,29,29,0,0,0,0,0,7.70,2009
49,Reggie Wayne,WR,17,IND,BUF,7,5,71,21,0,10,3,4,0,0,0,0,0,7.10,2009
50,Bernard Berrian,WR,17,MIN,NYG,3,2,67,50,0,40,17,25,0,0,0,0,0,7.00,2009
