Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Ryan Longwell,K,17,MIN,NYG,3,3,100,36,5,5,0.00,2009
2,Ryan Succop,K,17,KC,DEN,3,3,100,47,5,5,0.00,2009
3,Robbie Gould,K,17,CHI,DET,3,3,100,44,4,4,0.00,2009
4,Jay Feely,K,17,NYJ,CIN,3,3,100,40,4,4,0.00,2009
5,Rian Lindell,K,17,BUF,IND,3,3,100,36,3,3,0.00,2009
6,Jeff Reed,K,17,PIT,MIA,3,3,100,33,3,3,0.00,2009
7,John Kasay,K,17,CAR,NO,3,3,100,41,2,2,0.00,2009
8,Phil Dawson,K,17,CLE,JAX,3,3,100,33,2,2,0.00,2009
9,Jason Hanson,K,17,DET,CHI,3,3,100,48,2,2,0.00,2009
10,Stephen Gostkowski,K,17,NE,HOU,2,2,100,51,3,3,0.00,2009
11,Nate Kaeding,K,17,LAC,WAS,3,3,100,47,2,2,0.00,2009
12,Josh Brown,K,17,LAR,SF,2,3,67,54,0,0,0.00,2009
13,Matt Bryant,K,17,ATL,TB,2,3,67,36,2,2,0.00,2009
14,Graham Gano,K,17,WAS,LAC,2,2,100,25,2,2,0.00,2009
15,Mason Crosby,K,17,GB,ARI,1,1,100,26,4,4,0.00,2009
16,Sebastian Janikowski,K,17,OAK,BAL,2,2,100,39,1,1,0.00,2009
17,Olindo Mare,K,17,SEA,TEN,2,2,100,35,1,1,0.00,2009
18,Shaun Suisham,K,17,DAL,PHI,1,2,50,44,3,3,0.00,2009
19,Dan Carpenter,K,17,MIA,PIT,1,1,100,25,3,3,0.00,2009
20,Matt Prater,K,17,DEN,KC,1,1,100,25,3,3,0.00,2009
21,Josh Scobee,K,17,JAX,CLE,1,2,50,47,2,2,0.00,2009
22,Rob Bironas,K,17,TEN,SEA,1,2,50,47,2,2,0.00,2009
23,Garrett Hartley,K,17,NO,CAR,1,1,100,35,1,1,0.00,2009
24,Kris Brown,K,17,HOU,NE,0,2,0,0,4,4,0.00,2009
25,Shane Andrus,K,17,SF,LAR,0,0,0,0,4,4,0.00,2009
26,Connor Barth,K,17,TB,ATL,1,1,100,48,1,1,0.00,2009
27,Thomas Howard,K,17,OAK,BAL,0,0,0,0,0,0,0.00,2009
28,Billy Cundiff,K,17,BAL,OAK,0,2,0,0,3,3,0.00,2009
29,Matt Stover,K,17,IND,BUF,0,0,0,0,1,1,0.00,2009
30,Lawrence Tynes,K,17,NYG,MIN,0,0,0,0,1,1,0.00,2009
31,Neil Rackers,K,17,ARI,GB,0,0,0,0,1,1,0.00,2009
32,Rhys Lloyd,K,17,CAR,NO,0,0,0,0,0,0,0.00,2009
33,David Akers,K,17,PHI,DAL,0,1,0,0,0,0,0.00,2009
34,David Buehler,K,17,DAL,PHI,0,0,0,0,0,0,0.00,2009
35,Shayne Graham,K,17,CIN,NYJ,0,0,0,0,0,0,0.00,2009
