Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Jack Doyle,TE,7,IND,TEN,10,9,90,78,1,24,8,9,0,0,0,0,0,22.80,2016
2,Delanie Walker,TE,7,TEN,IND,8,7,88,84,1,26,11,12,0,0,0,0,0,21.40,2016
3,Rob Gronkowski,TE,7,NE,PIT,4,4,100,93,1,37,23,23,0,0,0,0,0,19.30,2016
4,Vernon Davis,TE,7,WAS,DET,6,6,100,79,0,27,13,13,0,0,0,0,0,13.90,2016
5,Gary Barnidge,TE,7,CLE,CIN,7,6,86,66,0,17,9,11,0,0,0,0,0,12.60,2016
6,Lance Kendricks,TE,7,LAR,NYG,9,7,78,55,0,11,6,8,0,0,0,0,0,12.50,2016
7,Julius Thomas,TE,7,JAX,OAK,7,3,43,20,1,9,3,7,0,0,0,0,0,11.00,2016
8,Kyle Rudolph,TE,7,MIN,PHI,11,5,46,55,0,22,5,11,0,0,0,0,0,10.50,2016
9,Jimmy Graham,TE,7,SEA,ARI,10,5,50,53,0,14,5,11,0,0,0,0,0,10.30,2016
10,Antonio Gates,TE,7,LAC,ATL,10,5,50,38,0,13,4,8,0,0,0,0,0,8.80,2016
11,Jacob Tamme,TE,7,ATL,LAC,3,1,33,17,1,17,6,17,0,0,0,0,0,8.70,2016
12,CJ Fiedorowicz,TE,7,HOU,DEN,7,5,71,35,0,12,5,7,0,0,0,0,0,8.50,2016
13,Dennis Pitta,TE,7,BAL,NYJ,10,4,40,40,0,12,4,10,0,0,0,0,0,8.00,2016
14,Erik Swoope,TE,7,IND,TEN,5,2,40,51,0,34,10,26,0,0,0,0,0,7.10,2016
15,Coby Fleener,TE,7,NO,KC,2,2,100,44,0,30,22,22,0,0,0,1,0,6.40,2016
16,Zach Miller,TE,7,CHI,GB,5,2,40,40,0,26,8,20,0,0,0,0,0,6.00,2016
17,Cameron Brate,TE,7,TB,SF,3,3,100,29,0,17,10,10,0,0,0,0,0,5.90,2016
18,Charles Clay,TE,7,BUF,MIA,5,2,40,29,0,18,6,15,0,0,0,0,0,4.90,2016
19,Travis Kelce,TE,7,KC,NO,3,2,67,24,0,14,8,12,0,0,0,0,0,4.40,2016
20,Jesse James,TE,7,PIT,NE,2,2,100,18,0,10,9,9,0,0,0,0,0,3.80,2016
21,Clay Harbor,TE,7,DET,WAS,2,2,100,16,0,9,8,8,0,0,0,0,0,3.60,2016
