Player,Position,Team,Opponent,Points
Aaron Rodgers,QB,GB,CHI,27.74
Kirk Cousins,QB,WAS,DET,25.54
Tyrod Taylor,QB,BUF,MIA,24.34
Andy Dalton,QB,CIN,CLE,23.32
Jameis Winston,QB,TB,SF,21.66
Kevin Hogan,QB,CLE,CIN,21.40
Philip Rivers,QB,LAC,ATL,19.64
Tom Brady,QB,NE,PIT,18.18
Matthew Stafford,QB,DET,WAS,17.84
Marcus Mariota,QB,TEN,IND,17.68
Carson Palmer,QB,ARI,SEA,17.48
Alex Smith,QB,KC,NO,17.26
Ryan Tannehill,QB,MIA,BUF,16.26
Colin Kaepernick,QB,SF,TB,16.12
Blake Bortles,QB,JAX,OAK,15.14
Matt Ryan,QB,ATL,LAC,14.72
Landry Jones,QB,PIT,NE,14.24
Derek Carr,QB,OAK,JAX,12.40
Case Keenum,QB,LAR,NYG,11.94
Trevor Siemian,QB,DEN,HOU,10.18
Sam Bradford,QB,MIN,PHI,9.86
Russell Wilson,QB,SEA,ARI,9.70
Carson Wentz,QB,PHI,MIN,9.12
Ryan Fitzpatrick,QB,NYJ,BAL,8.70
Geno Smith,QB,NYJ,BAL,8.50
Joe Flacco,QB,BAL,NYJ,8.02
Eli Manning,QB,NYG,LAR,7.64
Brock Osweiler,QB,HOU,DEN,5.84
Cody Kessler,QB,CLE,CIN,3.08
Brian Hoyer,QB,CHI,GB,1.96
Matt Barkley,QB,CHI,GB,1.14
Kellen Clemens,QB,LAC,ATL,0.00
Mike Evans,WR,TB,SF,29.60
Julio Jones,WR,ATL,LAC,29.40
TY Hilton,WR,IND,TEN,29.30
Randall Cobb,WR,GB,CHI,28.60
Michael Thomas,WR,NO,KC,26.00
Mike Wallace,WR,BAL,NYJ,25.00
Kenny Stills,WR,MIA,BUF,24.00
Tyrell Williams,WR,LAC,ATL,24.00
Michael Crabtree,WR,OAK,JAX,23.60
Tavon Austin,WR,LAR,NYG,22.70
Antonio Brown,WR,PIT,NE,21.90
Jamison Crowder,WR,WAS,DET,20.80
Marqise Lee,WR,JAX,OAK,20.70
Cordarrelle Patterson,WR,MIN,PHI,19.70
Marquise Goodwin,WR,BUF,MIA,19.30
Brandin Cooks,WR,NO,KC,18.80
Russell Shepard,WR,TB,SF,18.70
Brandon LaFell,WR,CIN,CLE,18.30
Willie Snead,WR,NO,KC,17.70
Demaryius Thomas,WR,DEN,HOU,16.00
Larry Fitzgerald,WR,ARI,SEA,16.00
Quincy Enunwa,WR,NYJ,BAL,15.30
Golden Tate,WR,DET,WAS,15.30
Jarvis Landry,WR,MIA,BUF,14.80
Julian Edelman,WR,NE,PIT,14.00
Josh Huff,WR,PHI,MIN,13.90
Marvin Jones,WR,DET,WAS,13.40
Brian Quick,WR,LAR,NYG,13.20
Tyreek Hill,WR,KC,NO,13.10
Doug Baldwin,WR,SEA,ARI,12.90
Emmanuel Sanders,WR,DEN,HOU,12.60
Darrius Heyward-Bey,WR,PIT,NE,12.00
JJ Nelson,WR,ARI,SEA,11.80
Anquan Boldin,WR,DET,WAS,11.80
Michael Floyd,WR,ARI,SEA,11.50
Victor Cruz,WR,NYG,LAR,10.50
Robby Anderson,WR,NYJ,BAL,10.10
Tajae Sharpe,WR,TEN,IND,9.90
Odell Beckham Jr,WR,NYG,LAR,9.90
Travis Benjamin,WR,LAC,ATL,9.40
Dorial Green-Beckham,WR,PHI,MIN,8.80
Dontrelle Inman,WR,LAC,ATL,8.80
DeAndre Hopkins,WR,HOU,DEN,8.60
Kamar Aiken,WR,BAL,NYJ,8.50
Allen Hurns,WR,JAX,OAK,8.50
DeSean Jackson,WR,WAS,DET,8.50
Seth Roberts,WR,OAK,JAX,8.20
Sterling Shepard,WR,NYG,LAR,8.20
Rob Gronkowski,TE,NE,PIT,19.30
Vernon Davis,TE,WAS,DET,13.90
Gary Barnidge,TE,CLE,CIN,12.60
Lance Kendricks,TE,LAR,NYG,12.50
Julius Thomas,TE,JAX,OAK,11.00
Kyle Rudolph,TE,MIN,PHI,10.50
Jimmy Graham,TE,SEA,ARI,10.30
Antonio Gates,TE,LAC,ATL,8.80
Jacob Tamme,TE,ATL,LAC,8.70
CJ Fiedorowicz,TE,HOU,DEN,8.50
