Player,Position,Team,Opponent,Points
Philip Rivers,QB,LAC,OAK,31.36
Marcus Mariota,QB,TEN,MIA,30.52
Brian Hoyer,QB,CHI,IND,26.78
Derek Carr,QB,OAK,LAC,25.98
Andrew Luck,QB,IND,CHI,25.18
Andy Dalton,QB,CIN,DAL,22.16
Blaine Gabbert,QB,SF,ARI,21.48
Matthew Stafford,QB,DET,PHI,19.80
Sam Bradford,QB,MIN,HOU,18.64
Dak Prescott,QB,DAL,CIN,18.48
Carson Wentz,QB,PHI,DET,17.92
Aaron Rodgers,QB,GB,NYG,17.86
Tyrod Taylor,QB,BUF,LAR,15.76
Jameis Winston,QB,TB,CAR,15.36
Ryan Fitzpatrick,QB,NYJ,PIT,15.10
Matt Ryan,QB,ATL,DEN,14.98
Paxton Lynch,QB,DEN,ATL,13.72
Kirk Cousins,QB,WAS,BAL,13.30
Joe Flacco,QB,BAL,WAS,13.00
Drew Stanton,QB,ARI,SF,12.76
Eli Manning,QB,NYG,GB,11.06
Charlie Whitehurst,QB,CLE,NE,10.38
Brock Osweiler,QB,HOU,MIN,10.36
Case Keenum,QB,LAR,BUF,8.84
Derek Anderson,QB,CAR,TB,8.52
Cody Kessler,QB,CLE,NE,6.48
Ryan Tannehill,QB,MIA,TEN,5.64
Landry Jones,QB,PIT,NYJ,-0.20
Jimmy Garoppolo,QB,NE,CLE,-0.30
Amari Cooper,WR,OAK,LAC,30.80
Cameron Meredith,WR,CHI,IND,30.60
Adam Thielen,WR,MIN,HOU,28.70
Brandon Marshall,WR,NYJ,PIT,28.40
Jeremy Kerley,WR,SF,ARI,27.20
Brandon LaFell,WR,CIN,DAL,26.80
Larry Fitzgerald,WR,ARI,SF,26.10
Tyrell Williams,WR,LAC,OAK,25.70
Antonio Brown,WR,PIT,NYJ,22.80
Randall Cobb,WR,GB,NYG,22.80
Travis Benjamin,WR,LAC,OAK,21.70
Mike Evans,WR,TB,CAR,20.90
Davante Adams,WR,GB,NYG,19.50
Chris Hogan,WR,NE,CLE,18.60
DeAndre Hopkins,WR,HOU,MIN,16.60
Pierre Garcon,WR,WAS,BAL,16.60
Odell Beckham Jr,WR,NYG,GB,16.60
Demaryius Thomas,WR,DEN,ATL,15.90
Andrew Hawkins,WR,CLE,NE,15.60
Tavon Austin,WR,LAR,BUF,15.50
Cole Beasley,WR,DAL,CIN,15.30
Emmanuel Sanders,WR,DEN,ATL,15.00
Cordarrelle Patterson,WR,MIN,HOU,14.60
Jordy Nelson,WR,GB,NYG,13.80
Michael Crabtree,WR,OAK,LAC,13.70
Marvin Jones,WR,DET,PHI,13.70
Mike Wallace,WR,BAL,WAS,13.30
Rishard Matthews,WR,TEN,MIA,13.20
Alshon Jeffery,WR,CHI,IND,12.70
Kenny Britt,WR,LAR,BUF,12.50
Jamison Crowder,WR,WAS,BAL,12.50
Terrance Williams,WR,DAL,CIN,12.00
Kelvin Benjamin,WR,CAR,TB,12.00
Eddie Royal,WR,CHI,IND,11.30
Josh Huff,WR,PHI,DET,10.50
Jordan Matthews,WR,PHI,DET,10.50
Terrelle Pryor,WR,CLE,NE,10.30
Andre Johnson,WR,TEN,MIA,9.30
Marquise Goodwin,WR,BUF,LAR,9.30
Quincy Enunwa,WR,NYJ,PIT,9.10
Devante Parker,WR,MIA,TEN,9.00
AJ Green,WR,CIN,DAL,9.00
Jaelen Strong,WR,HOU,MIN,8.90
Anquan Boldin,WR,DET,PHI,8.80
Julian Edelman,WR,NE,CLE,8.50
Brian Quick,WR,LAR,BUF,8.10
Golden Tate,WR,DET,PHI,7.50
Justin Hunter,WR,BUF,LAR,7.40
Rob Gronkowski,TE,NE,CLE,18.90
Delanie Walker,TE,TEN,MIA,17.60
Dwayne Allen,TE,IND,CHI,17.00
Hunter Henry,TE,LAC,OAK,16.40
Jesse James,TE,PIT,NYJ,16.30
Zach Miller,TE,CHI,IND,14.30
Jordan Reed,TE,WAS,BAL,13.30
Dennis Pitta,TE,BAL,WAS,12.90
Crockett Gillmore,TE,BAL,WAS,12.80
Gary Barnidge,TE,CLE,NE,12.60
Charles Clay,TE,BUF,LAR,12.30
Antonio Gates,TE,LAC,OAK,12.00
CJ Fiedorowicz,TE,HOU,MIN,10.10
CJ Uzomah,TE,CIN,DAL,9.30
Connor Hamlett,TE,CLE,NE,8.70
Jason Witten,TE,DAL,CIN,7.30
Zach Ertz,TE,PHI,DET,6.70
Tyler Kroft,TE,CIN,DAL,5.90
Will Tye,TE,NYG,GB,5.70
Cameron Brate,TE,TB,CAR,4.80
Jerell Adams,TE,NYG,GB,4.70
Vernon Davis,TE,WAS,BAL,4.50
Lance Kendricks,TE,LAR,BUF,4.40
Austin Seferian-Jenkins,TE,NYJ,PIT,3.70
Kyle Rudolph,TE,MIN,HOU,3.50
Xavier Grimble,TE,PIT,NYJ,3.30
Ryan Griffin,TE,HOU,MIN,2.80
Jack Doyle,TE,IND,CHI,2.80
Austin Hooper,TE,ATL,DEN,2.40
Dominique Jones,TE,MIA,TEN,2.40
Brandon Myers,TE,TB,CAR,2.20
Anthony Fasano,TE,TEN,MIA,2.00
Brandon Bostick,TE,NYJ,PIT,1.90
Richard Rodgers,TE,GB,NYG,1.60
Dion Sims,TE,MIA,TEN,1.60
Trey Burton,TE,PHI,DET,1.50
Blake Bell,TE,SF,ARI,1.40
Jermaine Gresham,TE,ARI,SF,1.40
Garrett Celek,TE,SF,ARI,1.40
Jacob Tamme,TE,ATL,DEN,1.10
Clay Harbor,TE,DET,PHI,0.00
