Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Adam Vinatieri,K,5,IND,CHI,5,5,100,54,2,2,0.00,2016
2,Sebastian Janikowski,K,5,OAK,LAC,4,5,80,56,2,2,0.00,2016
3,Greg Zuerlein,K,5,LAR,BUF,4,4,100,54,1,1,0.00,2016
4,Caleb Sturgis,K,5,PHI,DET,3,3,100,50,2,2,0.00,2016
5,Connor Barth,K,5,CHI,IND,3,4,75,49,2,2,0.00,2016
6,Matt Bryant,K,5,ATL,DEN,3,3,100,46,2,2,0.00,2016
7,Mason Crosby,K,5,GB,NYG,3,3,100,44,2,2,0.00,2016
8,Brandon McManus,K,5,DEN,ATL,3,3,100,46,1,1,0.00,2016
9,Josh Brown,K,5,NYG,GB,3,3,100,47,1,1,0.00,2016
10,Roberto Aguayo,K,5,TB,CAR,3,5,60,38,0,0,0.00,2016
11,Chandler Catanzaro,K,5,ARI,SF,1,1,100,36,4,4,0.00,2016
12,Stephen Gostkowski,K,5,NE,CLE,1,2,50,31,4,4,0.00,2016
13,Nick Novak,K,5,HOU,MIN,2,3,67,38,1,1,0.00,2016
14,Blair Walsh,K,5,MIN,HOU,1,1,100,19,4,4,0.00,2016
15,Nick Folk,K,5,NYJ,PIT,2,2,100,48,1,1,0.00,2016
16,Chris Boswell,K,5,PIT,NYJ,1,1,100,47,4,4,0.00,2016
17,Josh Lambo,K,5,LAC,OAK,1,1,100,36,4,4,0.00,2016
18,Matt Prater,K,5,DET,PHI,1,1,100,29,3,3,0.00,2016
19,Ryan Succop,K,5,TEN,MIA,1,1,100,40,3,4,0.00,2016
20,Dan Carpenter,K,5,BUF,LAR,1,1,100,23,3,4,0.00,2016
21,Andrew Franks,K,5,MIA,TEN,1,1,100,24,2,2,0.00,2016
22,Justin Tucker,K,5,BAL,WAS,1,1,100,31,1,1,0.00,2016
23,Dustin Hopkins,K,5,WAS,BAL,1,2,50,27,1,2,0.00,2016
24,Dan Bailey,K,5,DAL,CIN,0,0,0,0,4,4,0.00,2016
25,Phil Dawson,K,5,SF,ARI,0,0,0,0,3,3,0.00,2016
26,Mike Nugent,K,5,CIN,DAL,0,1,0,0,2,2,0.00,2016
27,Graham Gano,K,5,CAR,TB,0,1,0,0,2,2,0.00,2016
28,Cody Parkey,K,5,CLE,NE,0,0,0,0,1,1,0.00,2016
