Rank,Player,Position,Week,Team,Opponent,Comp,PassAtt,CompPct,PassYds,PassYdsPerAtt,PassTD,Interceptions,QBRating,RushAtt,RushYds,RushYdsPerAtt,RushTD,Points,Year
1,Cam Newton,QB,17,CAR,TB,21,26,81,293,11,2,0,139,6,10,2,2,32.72,2015
2,Kellen Moore,QB,17,DAL,WAS,33,48,69,435,9,3,2,101,1,0,0,0,29.40,2015
3,Ben Roethlisberger,QB,17,PIT,CLE,24,36,67,349,10,3,2,103,2,-2,-1,0,28.76,2015
4,Ryan Tannehill,QB,17,MIA,NE,25,38,66,350,9,2,0,113,3,17,6,0,26.70,2015
5,Matthew Stafford,QB,17,DET,CHI,28,39,72,298,8,3,0,119,6,10,2,0,24.92,2015
6,Matt Ryan,QB,17,ATL,NO,24,36,67,334,9,2,1,103,1,0,0,0,23.36,2015
7,Eli Manning,QB,17,NYG,PHI,24,43,56,302,7,2,0,93,1,9,9,0,22.98,2015
8,Sam Bradford,QB,17,PHI,NYG,30,38,79,320,8,2,1,108,2,-2,-1,0,22.60,2015
9,Jameis Winston,QB,17,TB,CAR,29,47,62,325,7,0,2,65,3,14,5,1,21.40,2015
10,Russell Wilson,QB,17,SEA,ARI,19,28,68,197,7,3,0,124,5,13,3,0,21.18,2015
11,Blaine Gabbert,QB,17,SF,LAR,28,44,64,354,8,1,1,87,7,7,1,0,20.86,2015
12,Drew Brees,QB,17,NO,ATL,32,42,76,323,8,1,0,106,3,-5,-2,0,19.42,2015
13,Kirk Cousins,QB,17,WAS,DAL,12,15,80,176,12,3,0,155,0,0,0,0,19.04,2015
14,Tyrod Taylor,QB,17,BUF,NYJ,18,28,64,182,7,0,0,83,10,51,5,1,18.38,2015
15,Alex Smith,QB,17,KC,OAK,14,24,58,156,7,2,2,71,9,61,7,0,18.34,2015
16,Philip Rivers,QB,17,LAC,DEN,21,35,60,228,7,2,1,86,2,5,3,0,16.62,2015
17,Jay Cutler,QB,17,CHI,DET,17,23,74,245,11,2,3,97,1,11,11,0,15.90,2015
18,Aaron Rodgers,QB,17,GB,MIN,28,44,64,291,7,1,1,81,3,12,4,0,14.84,2015
19,AJ McCarron,QB,17,CIN,BAL,17,27,63,160,6,2,0,104,3,2,1,0,14.60,2015
20,Ryan Mallett,QB,17,BAL,CIN,30,56,54,292,5,1,2,60,1,4,4,0,14.08,2015
21,Ryan Fitzpatrick,QB,17,NYJ,BUF,16,37,43,181,5,2,3,43,2,12,6,0,13.44,2015
22,Brian Hoyer,QB,17,HOU,JAX,25,40,63,249,6,1,1,78,0,0,0,0,12.96,2015
23,Derek Carr,QB,17,OAK,KC,21,33,64,194,6,1,1,77,2,12,6,0,11.96,2015
24,Josh Freeman,QB,17,IND,TEN,15,28,54,149,5,1,1,66,8,24,3,0,11.36,2015
25,Brock Osweiler,QB,17,DEN,LAC,14,22,64,232,11,1,2,76,0,0,0,0,10.28,2015
26,Case Keenum,QB,17,LAR,SF,22,37,60,231,6,0,0,78,1,2,2,0,9.44,2015
27,Colt McCoy,QB,17,WAS,DAL,7,11,64,128,12,1,0,134,3,-3,-1,0,8.82,2015
28,Austin Davis,QB,17,CLE,PIT,24,46,52,240,5,0,2,49,3,22,7,0,8.80,2015
29,Carson Palmer,QB,17,ARI,SEA,12,25,48,129,5,1,1,60,0,0,0,0,8.16,2015
30,Alex Tanney,QB,17,TEN,IND,10,14,71,99,7,1,0,115,0,0,0,0,7.96,2015
31,Zach Mettenberger,QB,17,TEN,IND,5,13,39,38,3,0,1,15,2,4,2,1,6.92,2015
32,Blake Bortles,QB,17,JAX,HOU,17,32,53,239,8,0,2,51,0,0,0,0,6.56,2015
33,Ryan Lindley,QB,17,IND,TEN,6,10,60,58,6,1,0,110,0,0,0,0,6.32,2015
34,Tom Brady,QB,17,NE,MIA,12,21,57,134,6,0,0,76,1,-1,-1,0,5.26,2015
35,Teddy Bridgewater,QB,17,MIN,GB,10,19,53,99,5,0,1,46,2,2,1,0,3.16,2015
36,Peyton Manning,QB,17,DEN,LAC,5,9,56,69,8,0,0,80,2,-2,-1,0,2.56,2015
37,Drew Stanton,QB,17,ARI,SEA,8,18,44,84,5,0,2,19,0,0,0,0,1.36,2015
38,Tarvaris Jackson,QB,17,SEA,ARI,3,4,75,28,7,0,0,94,2,-2,-1,0,0.92,2015
39,Jimmy Garoppolo,QB,17,NE,MIA,1,4,25,6,2,0,0,40,0,0,0,0,0.24,2015
40,BJ Daniels,QB,17,HOU,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2015
41,EJ Manuel,QB,17,BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2015
42,Joe Webb,QB,17,CAR,TB,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2015
43,Matt Cassel,QB,17,DAL,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2015
44,Derek Anderson,QB,17,CAR,TB,0,0,0,0,0,0,0,0,2,-2,-1,0,-0.20,2015
