Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Matt Bryant,K,13,ATL,ARI,5,5,100,45,2,2,0.00,2014
2,Connor Barth,K,13,DEN,KC,5,5,100,37,2,2,0.00,2014
3,Cody Parkey,K,13,PHI,DAL,4,4,100,31,3,3,0.00,2014
4,Justin Tucker,K,13,BAL,LAC,4,4,100,33,3,3,0.00,2014
5,Dan Carpenter,K,13,BUF,CLE,4,5,80,49,2,2,0.00,2014
6,Mason Crosby,K,13,GB,NE,4,5,80,35,2,2,0.00,2014
7,Steven Hauschka,K,13,SEA,SF,4,4,100,46,1,1,0.00,2014
8,Nick Novak,K,13,LAC,BAL,2,2,100,52,4,4,0.00,2014
9,Matt Prater,K,13,DET,CHI,2,2,100,46,4,4,0.00,2014
10,Greg Zuerlein,K,13,LAR,OAK,1,1,100,38,7,7,0.00,2014
11,Shaun Suisham,K,13,PIT,NO,3,4,75,49,1,1,0.00,2014
12,Caleb Sturgis,K,13,MIA,NYJ,3,4,75,44,1,1,0.00,2014
13,Kai Forbath,K,13,WAS,IND,2,2,100,29,3,3,0.00,2014
14,Randy Bullock,K,13,HOU,TEN,1,2,50,37,6,6,0.00,2014
15,Patrick Murray,K,13,TB,CIN,2,2,100,42,1,1,0.00,2014
16,Blair Walsh,K,13,MIN,CAR,1,1,100,39,4,4,0.00,2014
17,Adam Vinatieri,K,13,IND,WAS,0,0,0,0,7,7,0.00,2014
18,Graham Gano,K,13,CAR,MIN,2,2,100,35,1,1,0.00,2014
19,Josh Scobee,K,13,JAX,NYG,2,2,100,43,1,1,0.00,2014
20,Nick Folk,K,13,NYJ,MIA,2,4,50,45,1,1,0.00,2014
21,Josh Brown,K,13,NYG,JAX,1,2,50,33,3,3,0.00,2014
22,Robbie Gould,K,13,CHI,DET,1,1,100,35,2,2,0.00,2014
23,Shayne Graham,K,13,NO,PIT,0,0,0,0,5,5,0.00,2014
24,Dan Bailey,K,13,DAL,PHI,1,1,100,28,1,1,0.00,2014
25,Billy Cundiff,K,13,CLE,BUF,1,2,50,22,1,1,0.00,2014
26,Chandler Catanzaro,K,13,ARI,ATL,1,1,100,44,1,1,0.00,2014
27,Cairo Santos,K,13,KC,DEN,1,1,100,39,1,1,0.00,2014
28,Phil Dawson,K,13,SF,SEA,1,1,100,40,0,0,0.00,2014
29,Ryan Succop,K,13,TEN,HOU,0,0,0,0,3,3,0.00,2014
30,Stephen Gostkowski,K,13,NE,GB,0,1,0,0,3,3,0.00,2014
31,Mike Nugent,K,13,CIN,TB,0,0,0,0,2,2,0.00,2014
32,Jordan Gay,K,13,BUF,CLE,0,0,0,0,0,0,0.00,2014
33,Sebastian Janikowski,K,13,OAK,LAR,0,0,0,0,0,0,0.00,2014
